representation,component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
Physicochemical,1,4.897747,0.193262,0.193262
Physicochemical,2,3.353984,0.132346,0.325609
Physicochemical,3,2.908436,0.114765,0.440374
Physicochemical,4,1.791444,0.070689,0.511064
Physicochemical,5,1.541313,0.060819,0.571883
Physicochemical,6,1.383867,0.054607,0.62649
Physicochemical,7,1.248374,0.04926,0.67575
Physicochemical,8,1.198142,0.047278,0.723028
Physicochemical,9,1.111047,0.043841,0.766869
Physicochemical,10,0.982934,0.038786,0.805655
Physicochemical,11,0.864963,0.034131,0.839786
Physicochemical,12,0.706808,0.02789,0.867676
Physicochemical,13,0.64035,0.025268,0.892944
Physicochemical,14,0.561698,0.022164,0.915109
Physicochemical,15,0.479712,0.018929,0.934038
Physicochemical,16,0.407369,0.016075,0.950112
Physicochemical,17,0.334041,0.013181,0.963293
Physicochemical,18,0.273803,0.010804,0.974097
Physicochemical,19,0.242825,0.009582,0.983679
Physicochemical,20,0.223098,0.008803,0.992482
Physicochemical,21,0.156349,0.006169,0.998652
Physicochemical,22,0.03405,0.001344,0.999996
Physicochemical,23,0.000114,4e-06,1.0
Physicochemical,24,0.0,0.0,1.0
Physicochemical,25,0.0,0.0,1.0
ProtBERT,1,1.189446,0.634931,0.634931
ProtBERT,2,0.136766,0.073006,0.707938
ProtBERT,3,0.078495,0.041901,0.749839
ProtBERT,4,0.074486,0.039761,0.789599
ProtBERT,5,0.051922,0.027716,0.817316
ProtBERT,6,0.045287,0.024175,0.84149
ProtBERT,7,0.036983,0.019742,0.861232
ProtBERT,8,0.027636,0.014752,0.875984
ProtBERT,9,0.025136,0.013418,0.889402
ProtBERT,10,0.017073,0.009114,0.898515
ProtBERT,11,0.016241,0.00867,0.907185
ProtBERT,12,0.014786,0.007893,0.915078
ProtBERT,13,0.01367,0.007297,0.922375
ProtBERT,14,0.012092,0.006455,0.92883
ProtBERT,15,0.01151,0.006144,0.934974
ProtBERT,16,0.008712,0.00465,0.939625
ProtBERT,17,0.008125,0.004337,0.943962
ProtBERT,18,0.008079,0.004313,0.948275
ProtBERT,19,0.006852,0.003658,0.951932
ProtBERT,20,0.006212,0.003316,0.955248
ProtBERT,21,0.005681,0.003033,0.958281
ProtBERT,22,0.005279,0.002818,0.961099
ProtBERT,23,0.004855,0.002592,0.96369
ProtBERT,24,0.004611,0.002461,0.966152
ProtBERT,25,0.004236,0.002261,0.968413
ProtBERT,26,0.003769,0.002012,0.970425
ProtBERT,27,0.003705,0.001978,0.972403
ProtBERT,28,0.003369,0.001798,0.974201
ProtBERT,29,0.003037,0.001621,0.975822
ProtBERT,30,0.002948,0.001574,0.977395
ProtBERT,31,0.002891,0.001543,0.978939
ProtBERT,32,0.002622,0.0014,0.980338
ProtBERT,33,0.002462,0.001314,0.981653
