representation,method,K,silhouette,calinski_harabasz,davies_bouldin,cluster_size_min,cluster_size_max,cluster_size_vector,cluster_balance_warning
Physicochemical,K-Means,2,0.1101489827532038,10.496306411821784,2.482552410665641,37,37,"[37, 37]",NONE
Physicochemical,K-Means,3,0.0920474284825634,8.954737560989361,2.411804788073359,23,26,"[23, 26, 25]",NONE
Physicochemical,K-Means,4,0.0732723516067449,7.711618965623377,2.314170577994433,12,26,"[19, 26, 17, 12]",NONE
Physicochemical,K-Means,5,0.0905694755659366,6.908854220410369,2.0822775462780814,2,21,"[21, 19, 11, 21, 2]",SMALL_CLUSTER
Physicochemical,K-Means,6,0.1024783508502047,6.31200237099088,1.5736762481474609,1,29,"[21, 20, 29, 1, 2, 1]",SINGLETON_DOMINATED
Physicochemical,K-Means,7,0.0865162093899072,6.009258785136916,1.8871633688886476,2,21,"[4, 21, 2, 8, 20, 4, 15]",SMALL_CLUSTER
Physicochemical,K-Means,8,0.0612180762057891,5.654020240924183,1.9314524965412256,2,17,"[8, 17, 7, 16, 9, 12, 2, 3]",SMALL_CLUSTER
Physicochemical,K-Means,9,0.0777353631160648,5.562509187516189,1.5686614664430187,1,21,"[6, 21, 10, 13, 1, 16, 1, 1, 5]",SINGLETON_DOMINATED
Physicochemical,K-Means,10,0.0453845604155569,5.5177935353411245,1.7610400916802915,1,18,"[11, 18, 13, 10, 1, 4, 2, 4, 3, 8]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,2,0.1502430014716421,7.901139588640482,2.471661879048981,16,58,"[58, 16]",NONE
Physicochemical,Hierarchical_Ward,3,0.0540687330927296,7.263162390535188,2.444674279288314,15,43,"[43, 16, 15]",NONE
Physicochemical,Hierarchical_Ward,4,0.0593341815454752,6.513698916630626,2.5263420800761263,15,27,"[16, 27, 15, 16]",NONE
Physicochemical,Hierarchical_Ward,5,0.0671885288972337,6.072790081467924,2.271781831652352,2,27,"[14, 27, 15, 16, 2]",SMALL_CLUSTER
Physicochemical,Hierarchical_Ward,6,0.0718808486802438,5.781402417847,1.9453405753672195,1,27,"[27, 16, 15, 13, 2, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,7,0.0650688111472938,5.631542829611683,1.9766550679880583,1,22,"[5, 16, 15, 13, 2, 1, 22]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,8,0.0704914269754142,5.55604136609044,1.739808112501743,1,22,"[16, 13, 15, 4, 2, 1, 22, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,9,0.0787756189759369,5.537419596389735,1.6563988874249258,1,22,"[15, 13, 6, 4, 2, 1, 22, 1, 10]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,10,0.0714170478405398,5.569071342373389,1.53601696371015,1,22,"[13, 4, 6, 10, 2, 1, 22, 1, 14, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,2,0.3153173240103114,3.0429470497256297,0.5384382295113982,1,73,"[73, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,3,0.2889355483414534,4.230738268971712,0.860085847166428,1,71,"[71, 1, 2]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,4,0.2670203283973599,3.9763268446241615,0.7712914797094125,1,70,"[70, 1, 2, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,5,0.2496818430991446,3.893151592011001,0.7154225118079995,1,69,"[69, 1, 2, 1, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,6,0.2283746523783968,4.203148816179929,0.8141210241677809,1,67,"[67, 1, 2, 1, 1, 2]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,7,0.1993980486594114,4.019717795905994,0.7783915507462575,1,66,"[2, 1, 66, 1, 1, 2, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,8,0.146257669151115,3.6967737494737873,0.6482113625840522,1,66,"[66, 1, 2, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,9,0.1303395349947766,3.91607580489422,0.7879410377818639,1,63,"[63, 3, 2, 1, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,10,0.0965511200618252,3.7659172419894458,0.7738521929135416,1,62,"[62, 3, 2, 1, 1, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,2,0.1072176124716414,7.322128709846172,2.68457528223108,20,54,"[20, 54]",NONE
Physicochemical,Hierarchical_Complete,3,0.1014480880152085,5.9825037488806245,2.049249230688031,2,54,"[54, 18, 2]",SMALL_CLUSTER
Physicochemical,Hierarchical_Complete,4,0.104711444328997,5.508460997307655,1.8681238955758437,2,52,"[52, 18, 2, 2]",SMALL_CLUSTER
Physicochemical,Hierarchical_Complete,5,0.1113237566044889,5.276728608436996,1.565663484377339,1,51,"[51, 18, 2, 2, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,6,0.0522634391184022,5.449039241290921,1.909524468778171,1,33,"[18, 2, 18, 33, 1, 2]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,7,0.0591771990034401,5.478348076547811,1.8171593049899293,1,33,"[2, 33, 18, 16, 1, 2, 2]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,8,0.0601664719304985,5.24817578382081,1.5364009272589536,1,33,"[33, 16, 18, 1, 1, 2, 2, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,9,0.0613770899384827,5.115665208748191,1.4104899386143834,1,32,"[32, 16, 18, 1, 1, 2, 2, 1, 1]",SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,10,0.0675648297579868,5.292088194759098,1.4586401534676674,1,18,"[16, 14, 18, 1, 18, 2, 2, 1, 1, 1]",SINGLETON_DOMINATED
ProtBERT,K-Means,2,0.5237074494361877,77.04849797447885,0.8163537406591973,15,59,"[59, 15]",NONE
ProtBERT,K-Means,3,0.4339277446269989,50.77900622169295,1.054734572184819,5,57,"[5, 57, 12]",NONE
ProtBERT,K-Means,4,0.2511723041534424,41.92851072576276,1.4548564717749204,5,45,"[45, 5, 13, 11]",NONE
ProtBERT,K-Means,5,0.240705132484436,34.45101336268844,1.4156416214312917,5,46,"[6, 46, 10, 7, 5]",NONE
ProtBERT,K-Means,6,0.2433734387159347,30.30267711882476,1.2211957780183436,1,46,"[6, 46, 10, 1, 4, 7]",SINGLETON_DOMINATED
ProtBERT,K-Means,7,0.1322259157896042,27.795702721102103,1.4670709762269794,1,28,"[7, 14, 4, 28, 14, 1, 6]",SINGLETON_DOMINATED
ProtBERT,K-Means,8,0.1380903571844101,25.94551680931669,1.4795231480434912,1,24,"[8, 6, 8, 4, 24, 1, 16, 7]",SINGLETON_DOMINATED
ProtBERT,K-Means,9,0.1799659878015518,24.175218690608077,1.2217763891335118,1,37,"[10, 4, 37, 3, 3, 7, 3, 1, 6]",SINGLETON_DOMINATED
ProtBERT,K-Means,10,0.1519488245248794,22.734003711840383,1.3397581536640168,1,28,"[7, 4, 8, 28, 11, 6, 1, 5, 1, 3]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,2,0.5237074494361877,77.04849797447885,0.8163537406591973,15,59,"[15, 59]",NONE
ProtBERT,Hierarchical_Ward,3,0.4488503336906433,49.87249115005473,1.04149271938255,5,59,"[59, 5, 10]",NONE
ProtBERT,Hierarchical_Ward,4,0.2315549403429031,40.29486985196647,1.4386541097146763,5,49,"[49, 5, 10, 10]",NONE
ProtBERT,Hierarchical_Ward,5,0.1964161694049835,33.77594991886021,1.690806949289302,5,38,"[5, 38, 10, 10, 11]",NONE
ProtBERT,Hierarchical_Ward,6,0.1933643370866775,29.68588063560199,1.4495094333744918,1,38,"[38, 11, 10, 10, 4, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,7,0.1858744621276855,27.017786249670493,1.4397681486457916,1,33,"[11, 10, 10, 33, 4, 1, 5]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,8,0.1853459328413009,25.23920336191281,1.2914070151203156,1,33,"[10, 10, 7, 33, 4, 1, 5, 4]",SINGLETON_DOMINATED
