representation,K,seed_1,seed_2,assignment_ARI
Physicochemical,2,42,123,1.0
Physicochemical,2,42,456,1.0
Physicochemical,2,42,789,1.0
Physicochemical,2,42,2026,1.0
Physicochemical,2,123,456,1.0
Physicochemical,2,123,789,1.0
Physicochemical,2,123,2026,1.0
Physicochemical,2,456,789,1.0
Physicochemical,2,456,2026,1.0
Physicochemical,2,789,2026,1.0
Physicochemical,3,42,123,1.0
Physicochemical,3,42,456,0.8789289929924347
Physicochemical,3,42,789,0.917458771171034
Physicochemical,3,42,2026,0.9578374301219015
Physicochemical,3,123,456,0.8789289929924347
Physicochemical,3,123,789,0.917458771171034
Physicochemical,3,123,2026,0.9578374301219015
Physicochemical,3,456,789,0.9580336439351236
Physicochemical,3,456,2026,0.9176516704673078
Physicochemical,3,789,2026,0.9579116184502001
Physicochemical,4,42,123,0.5768024828817002
Physicochemical,4,42,456,0.9216688334745649
Physicochemical,4,42,789,0.5505912138645102
Physicochemical,4,42,2026,0.5896762835511447
Physicochemical,4,123,456,0.572064563176415
Physicochemical,4,123,789,0.6288249653105362
Physicochemical,4,123,2026,0.4070571439371251
Physicochemical,4,456,789,0.5399544770005177
Physicochemical,4,456,2026,0.5310022920998013
Physicochemical,4,789,2026,0.49481597061934784
Physicochemical,5,42,123,0.4979222386309028
Physicochemical,5,42,456,0.41760100463754646
Physicochemical,5,42,789,0.5330312535365417
Physicochemical,5,42,2026,0.5967540675528772
Physicochemical,5,123,456,0.476984840836544
Physicochemical,5,123,789,0.5419068418067995
Physicochemical,5,123,2026,0.49347408499342144
Physicochemical,5,456,789,0.5045386147694865
Physicochemical,5,456,2026,0.4329289614353889
Physicochemical,5,789,2026,0.5329930767060458
Physicochemical,6,42,123,0.5777705367241844
Physicochemical,6,42,456,0.3913570106727251
Physicochemical,6,42,789,0.27098143259293733
Physicochemical,6,42,2026,0.4942217192281775
Physicochemical,6,123,456,0.4557594511692288
Physicochemical,6,123,789,0.32592579988315834
Physicochemical,6,123,2026,0.5114196145372498
Physicochemical,6,456,789,0.22506183253502549
Physicochemical,6,456,2026,0.37018858339503663
Physicochemical,6,789,2026,0.39638800997463847
Physicochemical,7,42,123,0.38415038989368133
Physicochemical,7,42,456,0.567528422763097
Physicochemical,7,42,789,0.39234609118239283
Physicochemical,7,42,2026,0.4750394444590614
Physicochemical,7,123,456,0.6059527363239912
Physicochemical,7,123,789,0.21134386197680938
Physicochemical,7,123,2026,0.35787018680174965
Physicochemical,7,456,789,0.34931009502633376
Physicochemical,7,456,2026,0.46955960974772076
Physicochemical,7,789,2026,0.3736005194871664
Physicochemical,8,42,123,0.32941072770855423
Physicochemical,8,42,456,0.27438735746286397
Physicochemical,8,42,789,0.27507913515742133
Physicochemical,8,42,2026,0.3613195588657659
Physicochemical,8,123,456,0.28315510643647995
Physicochemical,8,123,789,0.4288893896776312
Physicochemical,8,123,2026,0.40878996957936736
Physicochemical,8,456,789,0.31581643555305233
Physicochemical,8,456,2026,0.40908529236004904
