analysis_type,representation,retained_PCs,cumulative_variance,method,K,silhouette,calinski_harabasz,davies_bouldin,cluster_size_min,cluster_size_max,ARI,NMI,purity
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,2,0.11742928176635412,11.111477773192519,2.400083137811498,37,37,0.0333866493895649,0.12306380239363521,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,3,0.09899205137671005,9.517569857419476,2.3315533489230043,23,26,0.038691718713469825,0.14170793498708623,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,4,0.08601603103030188,8.242319821135931,2.252604383701504,13,24,0.01588745391803072,0.17245190022037987,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,5,0.0997906894554213,7.344772984300911,1.9244167788397124,1,27,0.0026530798679908524,0.15750135249376082,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,6,0.07011654761398756,6.710766533884649,2.0498902492756574,4,19,0.02474619544256605,0.15152567365574318,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,7,0.08428035222552631,6.4970752215351695,1.819344090747796,1,24,-0.027914923872417712,0.09233326951638547,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,8,0.0696775742065225,6.347604581152432,1.6560667775946887,1,23,0.0045779254838103495,0.11687706755659708,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,9,0.08272570647482808,6.095754340974421,1.716100091962814,1,18,-0.01287323100982608,0.12410200783191694,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,K-Means,10,0.06979048189807069,6.117490977219843,1.4185095668404315,1,18,0.013505627386380555,0.13753335562144312,0.7432432432432432
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,2,0.1294921960050155,8.776745538009967,2.310187231039496,17,57,0.11524484255405264,0.08481127063189073,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,3,0.08165318998345587,7.678558691292133,2.5968904603134355,17,32,0.030531567162573523,0.08743267237602964,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,4,0.06624175999065743,6.8578332371812305,2.4112717298801356,10,25,0.05885942103283407,0.10090152940534129,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,5,0.07266772684322476,6.3265886844764,2.1771465409057416,2,25,0.06030159495165619,0.11147606562349006,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,6,0.07835695701385159,6.07117115413823,2.0855155412228106,2,22,0.02171985905418795,0.11172799078624429,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,7,0.07353168873061144,5.922613959820747,1.823291193620635,1,22,0.023274522402113723,0.11820370405980175,0.7432432432432432
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,8,0.07494559194133883,5.882709227760108,1.7461345826129329,1,22,0.005771770743882873,0.13435029189576067,0.7432432432432432
