representation,method,K,silhouette,CH,DB,ARI,NMI,purity,stability_ARI_mean,stability_ARI_SD,cluster_size_min,cluster_size_max,cluster_balance_warning
Physicochemical,K-Means,2,0.1101489827532038,10.496306411821784,2.482552410665641,0.0333866493895649,0.1230638023936352,0.7297297297297297,1.0,0.0,37,37,NONE
Physicochemical,K-Means,3,0.0920474284825634,8.954737560989361,2.411804788073359,0.0386917187134698,0.1417079349870862,0.7297297297297297,0.9342047321423372,0.0367716365441474,23,26,NONE
Physicochemical,K-Means,4,0.0732723516067449,7.711618965623377,2.314170577994433,0.0200398275301909,0.1577941658099062,0.7297297297297297,0.5812458225915662,0.1270069369449007,12,26,NONE
Physicochemical,K-Means,5,0.0905694755659366,6.908854220410369,2.0822775462780814,-0.0087173116744829,0.1030140744998967,0.7297297297297297,0.5028134984905555,0.0501031954535953,2,21,SMALL_CLUSTER
Physicochemical,K-Means,6,0.1024783508502047,6.31200237099088,1.5736762481474609,0.0001243455989041,0.1332579963095232,0.7297297297297297,0.4019073990712362,0.1047281098267533,1,29,SINGLETON_DOMINATED
Physicochemical,K-Means,7,0.0865162093899072,6.009258785136916,1.8871633688886476,0.0156516735398484,0.1495784206242844,0.7297297297297297,0.4186701357662003,0.1088155645773014,2,21,SMALL_CLUSTER
Physicochemical,K-Means,8,0.0612180762057891,5.654020240924183,1.9314524965412256,-0.0043705612265865,0.135252220312,0.7297297297297297,0.3438081301912207,0.0550557036293584,2,17,SMALL_CLUSTER
Physicochemical,K-Means,9,0.0777353631160648,5.562509187516189,1.5686614664430187,-0.0089354119284565,0.1445735360848933,0.7297297297297297,0.3765744795604052,0.1017474193982305,1,21,SINGLETON_DOMINATED
Physicochemical,K-Means,10,0.0453845604155569,5.5177935353411245,1.7610400916802915,0.0098641862579952,0.1581747757078381,0.7297297297297297,0.32407319216341,0.0608556149246681,1,18,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,2,0.1502430014716421,7.901139588640482,2.471661879048981,0.0902310780493225,0.2436458616880595,0.7297297297297297,1.0,0.0,16,58,NONE
Physicochemical,Hierarchical_Ward,3,0.0540687330927296,7.263162390535188,2.444674279288314,0.0974242094005994,0.1954581442470274,0.7297297297297297,1.0,0.0,15,43,NONE
Physicochemical,Hierarchical_Ward,4,0.0593341815454752,6.513698916630626,2.5263420800761263,0.0423776965424312,0.1611973739730332,0.7297297297297297,1.0,0.0,15,27,NONE
Physicochemical,Hierarchical_Ward,5,0.0671885288972337,6.072790081467924,2.271781831652352,0.0395360089185037,0.165267896643675,0.7297297297297297,1.0,0.0,2,27,SMALL_CLUSTER
Physicochemical,Hierarchical_Ward,6,0.0718808486802438,5.781402417847,1.9453405753672195,0.0387142598008338,0.1672807858209182,0.7297297297297297,1.0,0.0,1,27,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,7,0.0650688111472938,5.631542829611683,1.9766550679880583,0.0082510420423095,0.168006198060854,0.7297297297297297,1.0,0.0,1,22,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,8,0.0704914269754142,5.55604136609044,1.739808112501743,0.0059169343741446,0.1656665805288959,0.7297297297297297,1.0,0.0,1,22,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,9,0.0787756189759369,5.537419596389735,1.6563988874249258,0.0009278589654372,0.1583979371166498,0.7297297297297297,1.0,0.0,1,22,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Ward,10,0.0714170478405398,5.569071342373389,1.53601696371015,0.0009446178942984,0.1609090775517505,0.7297297297297297,1.0,0.0,1,22,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,2,0.3153173240103114,3.0429470497256297,0.5384382295113982,-0.0192459305291471,0.0106357647648761,0.7297297297297297,1.0,0.0,1,73,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,3,0.2889355483414534,4.230738268971712,0.860085847166428,-0.0538530208632464,0.0281168949492223,0.7297297297297297,1.0,0.0,1,71,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,4,0.2670203283973599,3.9763268446241615,0.7712914797094125,-0.0700042400552135,0.0351235066727198,0.7297297297297297,1.0,0.0,1,70,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,5,0.2496818430991446,3.893151592011001,0.7154225118079995,-0.0851854273190653,0.0413539922066314,0.7297297297297297,1.0,0.0,1,69,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,6,0.2283746523783968,4.203148816179929,0.8141210241677809,-0.0435334876118536,0.0748655945264529,0.7297297297297297,1.0,0.0,1,67,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,7,0.1993980486594114,4.019717795905994,0.7783915507462575,-0.0581302047286954,0.0778971562800657,0.7297297297297297,1.0,0.0,1,66,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,8,0.146257669151115,3.6967737494737873,0.6482113625840522,-0.0571967176757595,0.1059381882361508,0.7432432432432432,1.0,0.0,1,66,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,9,0.1303395349947766,3.91607580489422,0.7879410377818639,0.0361940667204408,0.1795272380205448,0.7567567567567568,1.0,0.0,1,63,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Average,10,0.0965511200618252,3.7659172419894458,0.7738521929135416,0.0209782167875227,0.1769732817462727,0.7567567567567568,1.0,0.0,1,62,SINGLETON_DOMINATED
