representation,method,K,mean_stability_ARI,std_stability_ARI,min_stability_ARI,max_stability_ARI
Physicochemical,K-Means,2,1.0,0.0,1.0,1.0
Physicochemical,K-Means,3,0.9342047321423372,0.03677163654414747,0.8789289929924347,1.0
Physicochemical,K-Means,4,0.5812458225915662,0.1270069369449007,0.4070571439371251,0.9216688334745649
Physicochemical,K-Means,5,0.5028134984905555,0.05010319545359536,0.41760100463754646,0.5967540675528772
Physicochemical,K-Means,6,0.4019073990712362,0.10472810982675332,0.22506183253502549,0.5777705367241844
Physicochemical,K-Means,7,0.4186701357662003,0.10881556457730143,0.21134386197680938,0.6059527363239912
Physicochemical,K-Means,8,0.34380813019122075,0.05505570362935845,0.27438735746286397,0.4288893896776312
Physicochemical,K-Means,9,0.37657447956040524,0.1017474193982305,0.2252867139197511,0.5476537564686133
Physicochemical,K-Means,10,0.32407319216341,0.06085561492466816,0.21750523993986415,0.4437215560735473
ProtBERT,K-Means,2,1.0,0.0,1.0,1.0
ProtBERT,K-Means,3,1.0,0.0,1.0,1.0
ProtBERT,K-Means,4,0.9826017776569858,0.021308383585937146,0.9565044441424646,1.0
ProtBERT,K-Means,5,0.9002119496209395,0.07631851100205748,0.7645495204399957,1.0
ProtBERT,K-Means,6,0.6879677027026054,0.18793534547264912,0.4976812499277198,0.9569841317182343
ProtBERT,K-Means,7,0.6258930888435148,0.11303949931593851,0.4680014341617598,0.8096497655411959
ProtBERT,K-Means,8,0.6610944415040559,0.12353363042889219,0.5252840068902366,0.8870980926177414
ProtBERT,K-Means,9,0.6012023753528093,0.08161595413428006,0.4613449953025729,0.7870374617956202
ProtBERT,K-Means,10,0.6584216974076232,0.12825377759181558,0.5234992999543077,0.9016721821264017
Combined_Feature_Standardized,K-Means,2,1.0,0.0,1.0,1.0
Combined_Feature_Standardized,K-Means,3,0.9821587646500779,0.021850961494107337,0.9553969116251949,1.0
Combined_Feature_Standardized,K-Means,4,0.9528657185511472,0.02936578959597033,0.8972352975446665,1.0
Combined_Feature_Standardized,K-Means,5,0.8790419886088621,0.05217441351761821,0.8149955320007333,1.0
Combined_Feature_Standardized,K-Means,6,0.8273362379355497,0.041343000786700945,0.7716412701452868,0.906571706053739
Combined_Feature_Standardized,K-Means,7,0.7276638041108919,0.09679071935295086,0.5569319827646589,0.8600911051670516
Combined_Feature_Standardized,K-Means,8,0.7677426432272816,0.04134439447072024,0.6770992132960292,0.844197960560406
Combined_Feature_Standardized,K-Means,9,0.7567123221038277,0.07333518787735932,0.6827612524286454,0.8944030498305544
Combined_Feature_Standardized,K-Means,10,0.6850188396901219,0.05892632708647335,0.5956178864699315,0.7640849267546816
Combined_Equal_Block,K-Means,2,1.0,0.0,1.0,1.0
Combined_Equal_Block,K-Means,3,0.9562593690862018,0.033729281257510416,0.9129240860557989,1.0
Combined_Equal_Block,K-Means,4,0.5661080960427122,0.14805576619825325,0.4246830718542066,0.8729962784445704
Combined_Equal_Block,K-Means,5,0.5481394495907193,0.12353708542043972,0.318799036419934,0.7833409091376541
Combined_Equal_Block,K-Means,6,0.544039373367922,0.09011286826246934,0.41068865335369703,0.7360504948093444
Combined_Equal_Block,K-Means,7,0.5479024576872634,0.08421768022941575,0.384163806807545,0.7028248577167188
Combined_Equal_Block,K-Means,8,0.5075371782942486,0.07523172689108526,0.40989666576686973,0.6227888394675035
Combined_Equal_Block,K-Means,9,0.43903272792212267,0.09673961341315682,0.28979806690326193,0.6301501096718397
Combined_Equal_Block,K-Means,10,0.4961416646794004,0.051574332788117995,0.43051981017287744,0.591383570624128
