representation,model,weighting,true_class,predicted_class,raw_count,row_normalized,total_samples
Physicochemical,Logistic_Regression,Unweighted,Immediate-Early,Immediate-Early,10,0.4,370
Physicochemical,Logistic_Regression,Unweighted,Immediate-Early,Early,5,0.2,370
Physicochemical,Logistic_Regression,Unweighted,Immediate-Early,Late,10,0.4,370
Physicochemical,Logistic_Regression,Unweighted,Early,Immediate-Early,0,0.0,370
Physicochemical,Logistic_Regression,Unweighted,Early,Early,19,0.25333333333333335,370
Physicochemical,Logistic_Regression,Unweighted,Early,Late,56,0.7466666666666667,370
Physicochemical,Logistic_Regression,Unweighted,Late,Immediate-Early,6,0.022222222222222223,370
Physicochemical,Logistic_Regression,Unweighted,Late,Early,46,0.17037037037037037,370
Physicochemical,Logistic_Regression,Unweighted,Late,Late,218,0.8074074074074075,370
Physicochemical,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,18,0.72,370
Physicochemical,Logistic_Regression,Class_Balanced,Immediate-Early,Early,2,0.08,370
Physicochemical,Logistic_Regression,Class_Balanced,Immediate-Early,Late,5,0.2,370
Physicochemical,Logistic_Regression,Class_Balanced,Early,Immediate-Early,0,0.0,370
Physicochemical,Logistic_Regression,Class_Balanced,Early,Early,31,0.41333333333333333,370
Physicochemical,Logistic_Regression,Class_Balanced,Early,Late,44,0.5866666666666667,370
Physicochemical,Logistic_Regression,Class_Balanced,Late,Immediate-Early,17,0.06296296296296296,370
Physicochemical,Logistic_Regression,Class_Balanced,Late,Early,84,0.3111111111111111,370
Physicochemical,Logistic_Regression,Class_Balanced,Late,Late,169,0.6259259259259259,370
Physicochemical,SVM_Linear,Unweighted,Immediate-Early,Immediate-Early,20,0.8,370
Physicochemical,SVM_Linear,Unweighted,Immediate-Early,Early,0,0.0,370
Physicochemical,SVM_Linear,Unweighted,Immediate-Early,Late,5,0.2,370
Physicochemical,SVM_Linear,Unweighted,Early,Immediate-Early,0,0.0,370
Physicochemical,SVM_Linear,Unweighted,Early,Early,19,0.25333333333333335,370
Physicochemical,SVM_Linear,Unweighted,Early,Late,56,0.7466666666666667,370
Physicochemical,SVM_Linear,Unweighted,Late,Immediate-Early,21,0.07777777777777778,370
Physicochemical,SVM_Linear,Unweighted,Late,Early,44,0.16296296296296298,370
Physicochemical,SVM_Linear,Unweighted,Late,Late,205,0.7592592592592593,370
Physicochemical,SVM_Linear,Class_Balanced,Immediate-Early,Immediate-Early,20,0.8,370
Physicochemical,SVM_Linear,Class_Balanced,Immediate-Early,Early,0,0.0,370
Physicochemical,SVM_Linear,Class_Balanced,Immediate-Early,Late,5,0.2,370
Physicochemical,SVM_Linear,Class_Balanced,Early,Immediate-Early,0,0.0,370
Physicochemical,SVM_Linear,Class_Balanced,Early,Early,34,0.4533333333333333,370
Physicochemical,SVM_Linear,Class_Balanced,Early,Late,41,0.5466666666666666,370
Physicochemical,SVM_Linear,Class_Balanced,Late,Immediate-Early,21,0.07777777777777778,370
Physicochemical,SVM_Linear,Class_Balanced,Late,Early,101,0.37407407407407406,370
Physicochemical,SVM_Linear,Class_Balanced,Late,Late,148,0.5481481481481482,370
Physicochemical,SVM_RBF,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Physicochemical,SVM_RBF,Unweighted,Immediate-Early,Early,0,0.0,370
Physicochemical,SVM_RBF,Unweighted,Immediate-Early,Late,25,1.0,370
Physicochemical,SVM_RBF,Unweighted,Early,Immediate-Early,0,0.0,370
Physicochemical,SVM_RBF,Unweighted,Early,Early,0,0.0,370
Physicochemical,SVM_RBF,Unweighted,Early,Late,75,1.0,370
Physicochemical,SVM_RBF,Unweighted,Late,Immediate-Early,0,0.0,370
Physicochemical,SVM_RBF,Unweighted,Late,Early,1,0.003703703703703704,370
Physicochemical,SVM_RBF,Unweighted,Late,Late,269,0.9962962962962963,370
Physicochemical,SVM_RBF,Class_Balanced,Immediate-Early,Immediate-Early,8,0.32,370
Physicochemical,SVM_RBF,Class_Balanced,Immediate-Early,Early,1,0.04,370
Physicochemical,SVM_RBF,Class_Balanced,Immediate-Early,Late,16,0.64,370
Physicochemical,SVM_RBF,Class_Balanced,Early,Immediate-Early,0,0.0,370
Physicochemical,SVM_RBF,Class_Balanced,Early,Early,37,0.49333333333333335,370
Physicochemical,SVM_RBF,Class_Balanced,Early,Late,38,0.5066666666666667,370
Physicochemical,SVM_RBF,Class_Balanced,Late,Immediate-Early,1,0.003703703703703704,370
Physicochemical,SVM_RBF,Class_Balanced,Late,Early,66,0.24444444444444444,370
Physicochemical,SVM_RBF,Class_Balanced,Late,Late,203,0.7518518518518519,370
Physicochemical,Random_Forest,Unweighted,Immediate-Early,Immediate-Early,1,0.04,370
Physicochemical,Random_Forest,Unweighted,Immediate-Early,Early,0,0.0,370
Physicochemical,Random_Forest,Unweighted,Immediate-Early,Late,24,0.96,370
Physicochemical,Random_Forest,Unweighted,Early,Immediate-Early,0,0.0,370
Physicochemical,Random_Forest,Unweighted,Early,Early,9,0.12,370
Physicochemical,Random_Forest,Unweighted,Early,Late,66,0.88,370
Physicochemical,Random_Forest,Unweighted,Late,Immediate-Early,0,0.0,370
Physicochemical,Random_Forest,Unweighted,Late,Early,12,0.044444444444444446,370
Physicochemical,Random_Forest,Unweighted,Late,Late,258,0.9555555555555556,370
Physicochemical,Random_Forest,Class_Balanced,Immediate-Early,Immediate-Early,15,0.6,370
Physicochemical,Random_Forest,Class_Balanced,Immediate-Early,Early,0,0.0,370
Physicochemical,Random_Forest,Class_Balanced,Immediate-Early,Late,10,0.4,370
Physicochemical,Random_Forest,Class_Balanced,Early,Immediate-Early,0,0.0,370
Physicochemical,Random_Forest,Class_Balanced,Early,Early,42,0.56,370
Physicochemical,Random_Forest,Class_Balanced,Early,Late,33,0.44,370
Physicochemical,Random_Forest,Class_Balanced,Late,Immediate-Early,18,0.06666666666666667,370
Physicochemical,Random_Forest,Class_Balanced,Late,Early,55,0.2037037037037037,370
Physicochemical,Random_Forest,Class_Balanced,Late,Late,197,0.7296296296296296,370
Physicochemical,XGBoost,Unweighted,Immediate-Early,Immediate-Early,5,0.2,370
Physicochemical,XGBoost,Unweighted,Immediate-Early,Early,0,0.0,370
Physicochemical,XGBoost,Unweighted,Immediate-Early,Late,20,0.8,370
Physicochemical,XGBoost,Unweighted,Early,Immediate-Early,0,0.0,370
Physicochemical,XGBoost,Unweighted,Early,Early,17,0.22666666666666666,370
Physicochemical,XGBoost,Unweighted,Early,Late,58,0.7733333333333333,370
Physicochemical,XGBoost,Unweighted,Late,Immediate-Early,1,0.003703703703703704,370
Physicochemical,XGBoost,Unweighted,Late,Early,25,0.09259259259259259,370
Physicochemical,XGBoost,Unweighted,Late,Late,244,0.9037037037037037,370
Physicochemical,XGBoost,Class_Balanced,Immediate-Early,Immediate-Early,11,0.44,370
Physicochemical,XGBoost,Class_Balanced,Immediate-Early,Early,1,0.04,370
Physicochemical,XGBoost,Class_Balanced,Immediate-Early,Late,13,0.52,370
Physicochemical,XGBoost,Class_Balanced,Early,Immediate-Early,0,0.0,370
Physicochemical,XGBoost,Class_Balanced,Early,Early,32,0.4266666666666667,370
Physicochemical,XGBoost,Class_Balanced,Early,Late,43,0.5733333333333334,370
Physicochemical,XGBoost,Class_Balanced,Late,Immediate-Early,13,0.04814814814814815,370
Physicochemical,XGBoost,Class_Balanced,Late,Early,36,0.13333333333333333,370
Physicochemical,XGBoost,Class_Balanced,Late,Late,221,0.8185185185185185,370
ProtBERT,Logistic_Regression,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,Logistic_Regression,Unweighted,Immediate-Early,Early,0,0.0,370
ProtBERT,Logistic_Regression,Unweighted,Immediate-Early,Late,25,1.0,370
ProtBERT,Logistic_Regression,Unweighted,Early,Immediate-Early,0,0.0,370
ProtBERT,Logistic_Regression,Unweighted,Early,Early,35,0.4666666666666667,370
ProtBERT,Logistic_Regression,Unweighted,Early,Late,40,0.5333333333333333,370
ProtBERT,Logistic_Regression,Unweighted,Late,Immediate-Early,1,0.003703703703703704,370
ProtBERT,Logistic_Regression,Unweighted,Late,Early,9,0.03333333333333333,370
ProtBERT,Logistic_Regression,Unweighted,Late,Late,260,0.9629629629629629,370
ProtBERT,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,12,0.48,370
