representation,model,weighting,seed,repeat,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,precision_IE,recall_IE,f1_IE,precision_Early,recall_Early,f1_Early,precision_Late,recall_Late,f1_Late
Physicochemical,Logistic_Regression,Unweighted,42,1,1,0.8,0.6060606060606061,0.5,0.6060606060606061,0.5222222222222223,0.7933333333333333,0.6252659008841843,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,0.8181818181818182,0.9
Physicochemical,Logistic_Regression,Unweighted,42,1,2,0.4666666666666667,0.2929292929292929,0.2888888888888889,0.2929292929292929,0.2833333333333333,0.49,-0.09495002196669013,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,0.6666666666666666,0.5454545454545454,0.6
Physicochemical,Logistic_Regression,Unweighted,42,1,3,0.6666666666666666,0.6060606060606061,0.5833333333333334,0.6060606060606061,0.5942028985507246,0.6405797101449276,0.1301433441770828,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.8181818181818182,0.782608695652174
Physicochemical,Logistic_Regression,Unweighted,42,1,4,0.6,0.27272727272727276,0.25,0.27272727272727276,0.2608695652173913,0.5739130434782609,-0.07293249574894728,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8181818181818182,0.782608695652174
Physicochemical,Logistic_Regression,Unweighted,42,1,5,0.5,0.2333333333333333,0.21212121212121213,0.2333333333333333,0.2222222222222222,0.47619047619047616,-0.24488114955757184,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.7,0.6666666666666666
Physicochemical,Logistic_Regression,Unweighted,123,2,1,0.7333333333333333,0.41414141414141414,0.4230769230769231,0.41414141414141414,0.41111111111111115,0.6911111111111111,0.22885182707624924,0.0,0.0,0.0,0.5,0.3333333333333333,0.4,0.7692307692307693,0.9090909090909091,0.8333333333333334
Physicochemical,Logistic_Regression,Unweighted,123,2,2,0.6666666666666666,0.6060606060606061,0.4166666666666667,0.6060606060606061,0.4830917874396135,0.6183574879227053,0.15380577039109783,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.75,0.8181818181818182,0.782608695652174
Physicochemical,Logistic_Regression,Unweighted,123,2,3,0.8,0.7474747474747474,0.7777777777777778,0.7474747474747474,0.7565217391304347,0.7843478260869564,0.4850797373873086,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,0.8333333333333334,0.9090909090909091,0.8695652173913043
Physicochemical,Logistic_Regression,Unweighted,123,2,4,0.6666666666666666,0.30303030303030304,0.2380952380952381,0.30303030303030304,0.26666666666666666,0.5866666666666667,-0.13644420572745383,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.9090909090909091,0.8
Physicochemical,Logistic_Regression,Unweighted,123,2,5,0.7857142857142857,0.5222222222222223,0.494949494949495,0.5222222222222223,0.5079365079365079,0.7551020408163265,0.46456538905166156,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.9,0.8571428571428571
Physicochemical,Logistic_Regression,Unweighted,456,3,1,0.7333333333333333,0.3333333333333333,0.2619047619047619,0.3333333333333333,0.29333333333333333,0.6453333333333333,0.1559362351170901,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,1.0,0.88
Physicochemical,Logistic_Regression,Unweighted,456,3,2,0.6,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.6,0.0425531914893617,1.0,1.0,1.0,0.0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
Physicochemical,Logistic_Regression,Unweighted,456,3,3,0.4,0.1818181818181818,0.19999999999999998,0.1818181818181818,0.19047619047619047,0.41904761904761906,-0.36099743619057767,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5454545454545454,0.5714285714285714
Physicochemical,Logistic_Regression,Unweighted,456,3,4,0.6666666666666666,0.6868686868686869,0.6833333333333332,0.6868686868686869,0.6825396825396824,0.6825396825396824,0.2679711003789361,1.0,1.0,1.0,0.25,0.3333333333333333,0.2857142857142857,0.8,0.7272727272727273,0.7619047619047619
Physicochemical,Logistic_Regression,Unweighted,456,3,5,0.7142857142857143,0.48888888888888893,0.43333333333333335,0.48888888888888893,0.45714285714285713,0.6938775510204082,0.33756997551928847,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285714,0.8,0.8,0.8
Physicochemical,Logistic_Regression,Unweighted,789,4,1,0.6666666666666666,0.6868686868686869,0.6833333333333332,0.6868686868686869,0.6825396825396824,0.6825396825396824,0.2679711003789361,1.0,1.0,1.0,0.25,0.3333333333333333,0.2857142857142857,0.8,0.7272727272727273,0.7619047619047619
Physicochemical,Logistic_Regression,Unweighted,789,4,2,0.7333333333333333,0.7171717171717171,0.6060606060606061,0.7171717171717171,0.6282828282828282,0.7244444444444444,0.37896836447993354,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,0.4,0.8181818181818182,0.8181818181818182,0.8181818181818182
Physicochemical,Logistic_Regression,Unweighted,789,4,3,0.6,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.6,0.0425531914893617,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7272727272727273,0.7272727272727273,0.7272727272727273
Physicochemical,Logistic_Regression,Unweighted,789,4,4,0.6666666666666666,0.30303030303030304,0.2380952380952381,0.30303030303030304,0.26666666666666666,0.5866666666666667,-0.13644420572745383,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.9090909090909091,0.8
Physicochemical,Logistic_Regression,Unweighted,789,4,5,0.9285714285714286,0.8888888888888888,0.9696969696969697,0.8888888888888888,0.9174603174603174,0.9231292517006803,0.8377513011180089,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,0.9090909090909091,1.0,0.9523809523809523
