representation,model,weighting,true_class,predicted_class,transition_type,is_correct,transition_count,fraction_of_true_class,total_oof_prediction_instances
Physicochemical,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,Immediate-Early -> Immediate-Early,True,18,0.72,25
Physicochemical,Logistic_Regression,Class_Balanced,Immediate-Early,Early,Immediate-Early -> Early,False,2,0.08,25
Physicochemical,Logistic_Regression,Class_Balanced,Immediate-Early,Late,Immediate-Early -> Late,False,5,0.2,25
Physicochemical,Logistic_Regression,Class_Balanced,Early,Immediate-Early,Early -> Immediate-Early,False,0,0.0,75
Physicochemical,Logistic_Regression,Class_Balanced,Early,Early,Early -> Early,True,31,0.41333333333333333,75
Physicochemical,Logistic_Regression,Class_Balanced,Early,Late,Early -> Late,False,44,0.5866666666666667,75
Physicochemical,Logistic_Regression,Class_Balanced,Late,Immediate-Early,Late -> Immediate-Early,False,17,0.06296296296296296,270
Physicochemical,Logistic_Regression,Class_Balanced,Late,Early,Late -> Early,False,84,0.3111111111111111,270
Physicochemical,Logistic_Regression,Class_Balanced,Late,Late,Late -> Late,True,169,0.6259259259259259,270
ProtBERT,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,Immediate-Early -> Immediate-Early,True,12,0.48,25
ProtBERT,Logistic_Regression,Class_Balanced,Immediate-Early,Early,Immediate-Early -> Early,False,0,0.0,25
ProtBERT,Logistic_Regression,Class_Balanced,Immediate-Early,Late,Immediate-Early -> Late,False,13,0.52,25
ProtBERT,Logistic_Regression,Class_Balanced,Early,Immediate-Early,Early -> Immediate-Early,False,0,0.0,75
ProtBERT,Logistic_Regression,Class_Balanced,Early,Early,Early -> Early,True,53,0.7066666666666667,75
ProtBERT,Logistic_Regression,Class_Balanced,Early,Late,Early -> Late,False,22,0.29333333333333333,75
ProtBERT,Logistic_Regression,Class_Balanced,Late,Immediate-Early,Late -> Immediate-Early,False,41,0.15185185185185185,270
ProtBERT,Logistic_Regression,Class_Balanced,Late,Early,Late -> Early,False,25,0.09259259259259259,270
ProtBERT,Logistic_Regression,Class_Balanced,Late,Late,Late -> Late,True,204,0.7555555555555555,270
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,Immediate-Early -> Immediate-Early,True,20,0.8,25
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Immediate-Early,Early,Immediate-Early -> Early,False,0,0.0,25
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Immediate-Early,Late,Immediate-Early -> Late,False,5,0.2,25
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Early,Immediate-Early,Early -> Immediate-Early,False,0,0.0,75
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Early,Early,Early -> Early,True,52,0.6933333333333334,75
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Early,Late,Early -> Late,False,23,0.30666666666666664,75
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Late,Immediate-Early,Late -> Immediate-Early,False,27,0.1,270
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Late,Early,Late -> Early,False,32,0.11851851851851852,270
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Late,Late,Late -> Late,True,211,0.7814814814814814,270
Combined_Equal_Block,SVM_Linear,Class_Balanced,Immediate-Early,Immediate-Early,Immediate-Early -> Immediate-Early,True,17,0.68,25
Combined_Equal_Block,SVM_Linear,Class_Balanced,Immediate-Early,Early,Immediate-Early -> Early,False,0,0.0,25
Combined_Equal_Block,SVM_Linear,Class_Balanced,Immediate-Early,Late,Immediate-Early -> Late,False,8,0.32,25
Combined_Equal_Block,SVM_Linear,Class_Balanced,Early,Immediate-Early,Early -> Immediate-Early,False,0,0.0,75
Combined_Equal_Block,SVM_Linear,Class_Balanced,Early,Early,Early -> Early,True,56,0.7466666666666667,75
Combined_Equal_Block,SVM_Linear,Class_Balanced,Early,Late,Early -> Late,False,19,0.25333333333333335,75
Combined_Equal_Block,SVM_Linear,Class_Balanced,Late,Immediate-Early,Late -> Immediate-Early,False,22,0.08148148148148149,270
Combined_Equal_Block,SVM_Linear,Class_Balanced,Late,Early,Late -> Early,False,40,0.14814814814814814,270
Combined_Equal_Block,SVM_Linear,Class_Balanced,Late,Late,Late -> Late,True,208,0.7703703703703704,270
Physicochemical,Random_Forest,Class_Balanced,Immediate-Early,Immediate-Early,Immediate-Early -> Immediate-Early,True,15,0.6,25
Physicochemical,Random_Forest,Class_Balanced,Immediate-Early,Early,Immediate-Early -> Early,False,0,0.0,25
Physicochemical,Random_Forest,Class_Balanced,Immediate-Early,Late,Immediate-Early -> Late,False,10,0.4,25
Physicochemical,Random_Forest,Class_Balanced,Early,Immediate-Early,Early -> Immediate-Early,False,0,0.0,75
Physicochemical,Random_Forest,Class_Balanced,Early,Early,Early -> Early,True,42,0.56,75
Physicochemical,Random_Forest,Class_Balanced,Early,Late,Early -> Late,False,33,0.44,75
Physicochemical,Random_Forest,Class_Balanced,Late,Immediate-Early,Late -> Immediate-Early,False,18,0.06666666666666667,270
Physicochemical,Random_Forest,Class_Balanced,Late,Early,Late -> Early,False,55,0.2037037037037037,270
Physicochemical,Random_Forest,Class_Balanced,Late,Late,Late -> Late,True,197,0.7296296296296296,270
