feature_name,overall_mean,overall_std,correct_proteins_mean (acc >= 0.80),correct_proteins_std,incorrect_proteins_mean (acc < 0.50),incorrect_proteins_std,standardized_mean_diff_cohens_d,n_correct_samples,n_incorrect_samples
sequence_length,522.9459459459459,438.7703915917968,467.6296296296296,295.11186179809323,657.2352941176471,711.7344621673719,-0.4415880350143102,54,17
molecular_weight,56458.950956757006,46890.06595931214,50406.36830555573,31704.70027427846,71228.75790000046,75731.04975085561,-0.45416551945908795,54,17
aromaticity,0.06909191142339063,0.021621134218777857,0.07060842370507234,0.020107448354230527,0.062262810245419964,0.02595136065463657,0.38630300708494214,54,17
instability_index,51.43137179520306,11.105228079036817,51.33882657826557,10.473806318672384,52.92118449851574,12.572681120004619,-0.14389993807185789,54,17
isoelectric_point,7.757939385079049,1.7899475080016332,7.736739709642199,1.5880253167166665,8.133072785770192,2.287907633467158,-0.22327806988860344,54,17
aa_A,0.11921130906390325,0.029401402764670088,0.11953719013237964,0.02776610440020971,0.11799590515812233,0.03559591322745773,0.05178056525938476,54,17
aa_C,0.01981837684994326,0.011054823231281,0.020582360467451048,0.011028142618508204,0.01616805859989035,0.010564647662944338,0.40415063376514326,54,17
aa_D,0.05121265920415325,0.014996435376143662,0.04914854102901764,0.014214692834227877,0.056884415382839115,0.016380456331295014,-0.5246348112964838,54,17
aa_E,0.04578974080972483,0.011763752301636564,0.04341946017991184,0.011750793457357342,0.05142286574034877,0.009672897403251189,-0.7080759424194251,54,17
aa_F,0.03214382605751226,0.014871786069535972,0.031746884240413734,0.014448643237786501,0.03135704395896663,0.016230664658851278,0.026197389735043836,54,17
aa_G,0.07914763907852446,0.02190810830629434,0.08193623514195335,0.02431774300511646,0.06935913249802726,0.008289857547178753,0.5800380024973849,54,17
aa_H,0.0260383284920641,0.009918055350474053,0.02604905349213846,0.010591484851733942,0.026078726744718703,0.008399326143619374,-0.0029305430979224808,54,17
aa_I,0.030025451474169015,0.014179077762105722,0.03152732573236991,0.014338913788170322,0.024516813653338566,0.012082043438754395,0.5062335274109856,54,17
aa_K,0.016088005018138538,0.011119497450660692,0.014196998782939653,0.009808445571048088,0.020289633644633827,0.013602285383523703,-0.5637445237922942,54,17
aa_L,0.09492437344754197,0.0249910566175782,0.09805700056173426,0.02312328065351175,0.08517856603040828,0.02945089440970575,0.5206535566129503,54,17
aa_M,0.019047446499362984,0.009006016184078909,0.019301201469728517,0.009196199808715066,0.018751746531279995,0.008767221730755049,0.06038943185870585,54,17
aa_N,0.02213955111061759,0.010085492809138072,0.021465759240969082,0.009055950201345458,0.023738380100482664,0.012523525653491565,-0.2279908135088972,54,17
aa_P,0.09311539282494642,0.03600967755332836,0.09151877358368583,0.030631766036722595,0.10118646703852152,0.04977533768609538,-0.26862587932661025,54,17
aa_Q,0.029231756885852084,0.010010813637548568,0.02982228921035086,0.009806911639718625,0.027478527839627807,0.01114545282810333,0.23129854805287395,54,17
aa_R,0.08849026283915848,0.024620809951799695,0.08452623548282553,0.01876732512839636,0.10416540499543298,0.03415367014301322,-0.8443331161190648,54,17
aa_S,0.06404998699731088,0.019626995671903187,0.06480029389824456,0.020896940734709577,0.06260091466560669,0.016716677330526373,0.10993847423359134,54,17
aa_T,0.0615701321519871,0.01790155942612556,0.06094360265072873,0.019594603405351872,0.064177892589467,0.012713741438133745,-0.17739828470010138,54,17
aa_V,0.07100767582921035,0.01851232205005393,0.07255925523849796,0.0190550156384841,0.06774373854183348,0.017053257850731567,0.2587592789501199,54,17
aa_W,0.011938165139420748,0.0071109620859402985,0.012975663752801379,0.007048373681371729,0.009199387613306236,0.006908087061391078,0.5382306075984191,54,17
aa_Y,0.02500992022645753,0.011115171139627749,0.025885875711857135,0.01085231144870596,0.02170637867314702,0.01170632894797025,0.37802220910351814,54,17
