representation,model,weighting_scheme,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,recall_Early_mean,recall_Early_std,recall_Late_mean,recall_Late_std
Physicochemical,Logistic_Regression,Unweighted,0.6675675675675675,0.05455845740050365,0.48691358024691356,0.07054667107580676,0.5128733339442888,0.06773740564217688,0.17217878493207417,0.10193669807225954,0.4,0.1414213562373095,0.48428571428571426,0.1381732127971767,0.2533333333333333,0.055777335102271695,0.8074074074074075,0.05943261679956004
Physicochemical,Logistic_Regression,Inverse_Frequency,0.5891891891891892,0.061631104059412835,0.5864197530864198,0.06704851776278772,0.5389695118219521,0.06472478808318148,0.1867865946261699,0.10117281094377115,0.72,0.10954451150103325,0.6013986013986014,0.0941678782131662,0.4133333333333333,0.09888264649460884,0.6259259259259259,0.060575656421467124
Physicochemical,Logistic_Regression,Square_Root,0.6270270270270271,0.0511018118951055,0.5602469135802469,0.05159696317370497,0.5461517799365271,0.04669073529319814,0.18559336693684822,0.0694668326125547,0.6399999999999999,0.08944271909999162,0.6048484848484847,0.06066663639390157,0.3333333333333333,0.047140452079103175,0.7074074074074075,0.06599455437483503
ProtBERT,Logistic_Regression,Unweighted,0.7972972972972974,0.009555497043061474,0.4765432098765432,0.004364856673991053,0.4875764549003095,0.008792449005796248,0.4403526888252346,0.03013077809869284,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.962962962962963,0.013094570021973121
ProtBERT,Logistic_Regression,Inverse_Frequency,0.727027027027027,0.024173707864862577,0.6474074074074074,0.04038943182718304,0.600187222542343,0.029038523175513285,0.4352236776795146,0.047814777314654736,0.4800000000000001,0.1095445115010332,0.3071428571428571,0.06056236829512812,0.7066666666666667,0.059628479399994425,0.7555555555555555,0.02414519409334316
ProtBERT,Logistic_Regression,Square_Root,0.772972972972973,0.011306216574784781,0.494320987654321,0.011731643474770018,0.49655661605669354,0.011235715149741494,0.40484572643433997,0.029832415330682146,0.0,0.0,0.0,0.0,0.5866666666666667,0.029814239699997188,0.8962962962962961,0.010143010324169787
Combined_Equal_Block,Logistic_Regression,Unweighted,0.745945945945946,0.017619465960007175,0.411358024691358,0.01310620447120021,0.4132053096838641,0.01494151332436409,0.25743947033585257,0.04830287110807283,0.0,0.0,0.0,0.0,0.29333333333333333,0.036514837167011066,0.9407407407407407,0.02414519409334311
Combined_Equal_Block,Logistic_Regression,Inverse_Frequency,0.7648648648648648,0.022612433149569608,0.7582716049382715,0.019547541692540617,0.680919116383472,0.024270030635077496,0.5139357537128623,0.03480439805102631,0.8,0.0,0.5609523809523809,0.06427689533865505,0.6933333333333332,0.07601169500660922,0.7814814814814814,0.04014719146051633
Combined_Equal_Block,Logistic_Regression,Square_Root,0.7513513513513513,0.022612433149569615,0.49827160493827166,0.067769794218242,0.5100603904397008,0.07473806677601813,0.34849914221118483,0.0723644999046725,0.12000000000000002,0.1788854381999832,0.13333333333333333,0.1987615979999813,0.49333333333333335,0.07601169500660918,0.8814814814814813,0.02111435972405811
Combined_Equal_Block,SVM_Linear,Unweighted,0.7432432432432432,0.021366740947083653,0.4575308641975309,0.03145847622281221,0.470809748971668,0.035875108725831654,0.30786056489557123,0.05866941115375702,0.04,0.08944271909999159,0.05,0.1118033988749895,0.44000000000000006,0.059628479399994376,0.8925925925925926,0.015493704195075501
Combined_Equal_Block,SVM_Linear,Inverse_Frequency,0.7594594594594595,0.022204968547506747,0.7323456790123457,0.03320046679303037,0.6708904601018091,0.02972127054907744,0.5064972181367566,0.032541039437560954,0.68,0.10954451150103325,0.5348051948051948,0.08660259447695108,0.7466666666666667,0.055777335102271744,0.7703703703703704,0.036099238314107274
Combined_Equal_Block,SVM_Linear,Square_Root,0.7621621621621621,0.0263426874184026,0.5804938271604938,0.04537267987739111,0.5828316031111983,0.04596953981623647,0.4285800031756417,0.04550640077317167,0.27999999999999997,0.17888543819998318,0.25875901875901874,0.17074379437609286,0.6133333333333333,0.07302967433402213,0.8481481481481481,0.03562108159568766
Physicochemical,Random_Forest,Unweighted,0.7324324324324325,0.029296599173890298,0.3851851851851852,0.04649750514880611,0.3800612091771369,0.06959902836933256,0.16069779515999422,0.1411377850334423,0.04,0.08944271909999159,0.06666666666666667,0.14907119849998599,0.15999999999999998,0.11155467020454339,0.9555555555555555,0.02111435972405811
Physicochemical,Random_Forest,Inverse_Frequency,0.6864864864864864,0.05001825817113985,0.6298765432098766,0.04389579046637144,0.595568660316822,0.05646894657448576,0.33609025434731377,0.09161324130771212,0.6,0.0,0.5271128871128872,0.07901250410797879,0.5599999999999999,0.10110500592068732,0.7296296296296296,0.051719407569514604
Physicochemical,Random_Forest,Square_Root,0.7405405405405405,0.029296599173890266,0.540246913580247,0.0900625534109565,0.5715599299167515,0.10188146015095069,0.31745636794925336,0.09837695385638202,0.36,0.21908902300206642,0.4507936507936508,0.26408424562648153,0.3866666666666666,0.08692269873603532,0.874074074074074,0.027467401804058003
