excluded_protein_id,excluded_gene,excluded_temporal_class,remaining_sample_size,cv_splits_used,balanced_accuracy_mean,delta_balanced_accuracy,macro_f1_mean,delta_macro_f1,mcc_mean,delta_mcc,recall_IE_mean,delta_recall_IE
YP_009137073.1,RL1,Late,73,5,0.7625995807127882,0.0043279757745167124,0.7007618778118837,0.01984276142841168,0.5184915900866329,0.004555836373770661,0.8,0.0
YP_009137074.1,RL2,Immediate-Early,73,4,0.6333333333333333,-0.1249382716049382,0.5909335845133407,-0.08998553187013136,0.4442530325828871,-0.06968272112997514,0.4,-0.4
YP_009137075.1,UL1,Late,73,5,0.7518658280922432,-0.006405776846028277,0.6726653210407613,-0.008253795342710757,0.49515381381120127,-0.018781939901660993,0.8,0.0
YP_009137076.1,UL2,Early,73,5,0.7590828924162257,0.0008112874779542256,0.6747613786787284,-0.006157737704743593,0.5026530141734261,-0.011282739539436148,0.8,0.0
YP_009137077.1,UL3,Late,73,5,0.7543815513626835,-0.003890053575588026,0.676754678329027,-0.004164438054444997,0.5023411965691245,-0.011594557143737805,0.8,0.0
YP_009137078.1,UL4,Late,73,5,0.7632704402515723,0.004998835313300809,0.6836689893124623,0.0027498729289903157,0.5184948164810632,0.00455906276820095,0.8,0.0
YP_009137079.1,UL5,Early,73,5,0.7319223985890652,-0.026349206349206344,0.6586886739011508,-0.0222304424823212,0.465874369474564,-0.048061384238298255,0.8,0.0
YP_009137080.1,UL6,Late,73,5,0.7632704402515724,0.00499883531330092,0.6842743937857605,0.00335527740228847,0.5179444827607285,0.0040087290478662,0.8,0.0
YP_009137081.1,UL7,Late,73,5,0.7645283018867924,0.0062566969485209345,0.6876023733903918,0.0066832570069197406,0.5209005976812738,0.0069648439684115715,0.8,0.0
YP_009137082.1,UL8,Early,73,5,0.7677248677248677,0.009453262786596195,0.68903112974696,0.008112013363487991,0.5288473905560979,0.014911636843235598,0.8,0.0
YP_009137083.1,UL9,Early,73,5,0.7342151675485009,-0.02405643738977059,0.6585218694066939,-0.02239724697677814,0.46577092465813363,-0.04816482905472863,0.8,0.0
YP_009137084.1,UL10,Late,73,5,0.7613417190775682,0.003070114139296698,0.6866911197881664,0.005772003404694415,0.5179200347188108,0.003984281005948498,0.8,0.0
YP_009137085.1,UL11,Late,73,5,0.769559748427673,0.011288143489401548,0.7048300620167425,0.023910945633270453,0.5350641757402279,0.021128422027365645,0.8,0.0
YP_009137086.1,UL12,Early,73,5,0.7282186948853615,-0.030052910052909998,0.6516575430077662,-0.029261573375705785,0.4541908550845141,-0.05974489862834814,0.8,0.0
YP_009137087.1,UL13,Early,73,5,0.7532627865961199,-0.005008818342151611,0.6730611830333662,-0.007857933350105872,0.4982021762339781,-0.015733577478884153,0.8,0.0
YP_009137088.1,UL14,Late,73,5,0.760083857442348,0.0018122525040764614,0.685106156755563,0.004187040372090944,0.513606077354231,-0.0003296763586312368,0.8,0.0
YP_009137089.1,UL15,Late,73,5,0.7867505241090147,0.02847891917074319,0.7003546453546454,0.0194355289711734,0.5618356919299143,0.047899938217052074,0.8,0.0
YP_009137090.1,UL16,Late,73,5,0.7575681341719078,-0.0007034707663636786,0.6762230011569788,-0.004696115226493269,0.5080473075325971,-0.005888446180265183,0.8,0.0
YP_009137091.1,UL17,Late,73,5,0.7556394129979036,-0.0026321919403679006,0.6771206922775893,-0.003798424105882714,0.5087845349658868,-0.005151218746975439,0.8,0.0
YP_009137092.1,UL18,Late,73,5,0.7531236897274634,-0.005147915210808152,0.6731395624842659,-0.007779553899206149,0.5007202054985809,-0.013215548214281392,0.8,0.0
YP_009137093.1,UL19,Late,73,5,0.7511949685534592,-0.007076636384812263,0.6736483533644748,-0.007270763018997206,0.49965666925536734,-0.014279084457494928,0.8,0.0
YP_009137094.1,UL20,Late,73,5,0.7518658280922432,-0.006405776846028277,0.6727102579157337,-0.008208858467738334,0.49462864003460655,-0.019307113678255716,0.8,0.0
YP_009137095.1,UL21,Late,73,5,0.7556394129979036,-0.0026321919403679006,0.6768405850616162,-0.004078531321855872,0.5076089666798761,-0.00632678703298617,0.8,0.0
YP_009137096.1,UL22,Late,73,5,0.7588259958071278,0.0005543908688563359,0.6787621671405277,-0.002156949242944295,0.5106392350609136,-0.0032965186519486878,0.8,0.0
YP_009137097.1,UL23,Early,73,5,0.7613756613756615,0.0031040564373899793,0.674243055459371,-0.006676060924101002,0.5024757242985942,-0.011460029414268047,0.8,0.0
YP_009137098.1,UL24,Late,73,5,0.7581551362683439,-0.00011646866992764959,0.6796911172199976,-0.0012279991634743803,0.5151328505170432,0.0011970968041808971,0.8,0.0
YP_009137099.1,UL25,Late,73,5,0.7607547169811321,0.002483112042860558,0.6754414246269145,-0.005477691756557546,0.5112701533433939,-0.0026656003694683905,0.8,0.0
YP_009137100.1,UL26,Late,73,5,0.7563102725366877,-0.001961332401583804,0.6712047243973086,-0.009714391986163418,0.5041435049480977,-0.009792248764764588,0.8,0.0
YP_009137101.1,UL26.5,Late,73,5,0.7531236897274634,-0.005147915210808152,0.6710407763588796,-0.009878340024592425,0.49954685189282405,-0.014388901820038213,0.8,0.0
YP_009137102.1,UL27,Late,73,5,0.7714884696016773,0.01321686466340577,0.6896674913110077,0.008748374927535663,0.5382317526182454,0.024295998905383143,0.8,0.0
YP_009137103.1,UL28,Late,73,5,0.7620125786163523,0.0037409736780807945,0.6764112577367279,-0.0045078586467440784,0.5154303842113899,0.0014946304985276049,0.8,0.0
YP_009137104.1,UL29,Early,73,5,0.7592592592592592,0.0009876543209876854,0.6786537403322394,-0.0022653760512326704,0.5102576980259361,-0.0036780556869261405,0.8,0.0
YP_009137105.1,UL30,Early,73,5,0.7493827160493828,-0.008888888888888724,0.6600388248921834,-0.02088029149128867,0.4801603046390942,-0.03377544907376806,0.8,0.0
YP_009137106.1,UL31,Late,73,5,0.758825995807128,0.000554390868856447,0.676556642999307,-0.0043624733841650665,0.511476571473044,-0.002459182239818225,0.8,0.0
YP_009137107.1,UL32,Late,73,5,0.7689727463312369,0.010701141392965408,0.6867652086443837,0.005846092260911706,0.5305618790657355,0.016626125352873222,0.8,0.0
YP_009137108.1,UL33,Late,73,5,0.7645283018867925,0.0062566969485210455,0.6835996251390484,0.0026805087555763496,0.522709925349829,0.008774171636966699,0.8,0.0
YP_009137109.1,UL34,Late,73,5,0.7632704402515723,0.004998835313300809,0.6801802073667196,-0.0007389090167524426,0.5194244674445591,0.005488713731696793,0.8,0.0
YP_009137110.1,UL35,Late,73,5,0.7575681341719078,-0.0007034707663636786,0.6747561196690857,-0.0061629967143863595,0.507563754139176,-0.006371999573686282,0.8,0.0
YP_009137111.1,UL36,Late,73,5,0.759412997903564,0.001141392965292476,0.6825037438331495,0.001584627449677467,0.5184105750446302,0.004474821331767909,0.8,0.0
YP_009137112.1,UL37,Late,73,5,0.7620125786163522,0.0037409736780806835,0.6789770917049615,-0.0019420246785105677,0.5153066646842456,0.00137091097138331,0.8,0.0
YP_009137113.1,UL38,Late,73,5,0.758825995807128,0.000554390868856447,0.6778902858485983,-0.0030288305348736833,0.5111868757475035,-0.0027488779653587203,0.8,0.0
YP_009137114.1,UL39,Early,73,5,0.7410934744268076,-0.017178130511463885,0.6550994352258935,-0.02581968115757849,0.4676452363469738,-0.04629051736588846,0.8,0.0
YP_009137115.1,UL40,Early,73,5,0.7493827160493828,-0.008888888888888724,0.6600388248921834,-0.02088029149128867,0.4801603046390942,-0.03377544907376806,0.8,0.0
YP_009137116.1,UL41,Late,73,5,0.7645283018867925,0.0062566969485210455,0.6839115116168533,0.00299239523338124,0.5236042244496897,0.009668470736827417,0.8,0.0
YP_009137117.1,UL42,Early,73,5,0.7460317460317459,-0.01223985890652557,0.6636360755837076,-0.017283040799764393,0.4829311065260102,-0.031004647186852086,0.8,0.0
YP_009137118.1,UL43,Late,73,5,0.7543815513626834,-0.003890053575588137,0.6746296674589936,-0.006289448924478469,0.5035526970644373,-0.010383056648424982,0.8,0.0
YP_009137119.1,UL44,Late,73,5,0.7480922431865829,-0.010179361751688654,0.6642289227092941,-0.0166901936741779,0.4850438128370639,-0.028891940875798383,0.8,0.0
YP_009137120.1,UL45,Late,73,5,0.7613417190775682,0.003070114139296698,0.6820543605794038,0.001135244195931806,0.5191172160776688,0.005181462364806544,0.8,0.0
YP_009137121.1,UL46,Late,73,5,0.7568972746331237,-0.001374330305147775,0.6788417962659559,-0.002077320117516157,0.5114831784854613,-0.002452575227400944,0.8,0.0
YP_009137122.1,UL47,Late,73,5,0.7600838574423481,0.0018122525040765725,0.679812184421218,-0.0011069319622539764,0.515507462351266,0.0015717086384037238,0.8,0.0
YP_009137123.1,UL48,Late,73,5,0.7632704402515723,0.004998835313300809,0.6831807984792456,0.0022616820957735984,0.5176148404574649,0.0036790867446026,0.8,0.0
YP_009137124.1,UL49,Late,73,5,0.7651153039832286,0.0068436990449570745,0.6945025993065179,0.013583482923045898,0.5287441355235742,0.014808381810711979,0.8,0.0
YP_009137125.1,UL49A,Late,73,5,0.7645283018867925,0.0062566969485210455,0.6825402985015347,0.001621182118062725,0.5236314939185538,0.009695740205691528,0.8,0.0
YP_009137126.1,UL50,Early,73,5,0.7388007054673722,-0.019470899470899306,0.6577834513762499,-0.023135665007222084,0.4655246573048248,-0.04841109640803748,0.8,0.0
YP_009137127.1,UL51,Late,73,5,0.7632704402515724,0.00499883531330092,0.6803378883278433,-0.0005812280556287686,0.5199778126708686,0.006042058958006358,0.8,0.0
YP_009137128.1,UL52,Early,73,5,0.7820105820105819,0.02373897707231043,0.6961939050685569,0.015274788685084917,0.5547803707820729,0.04084461706921061,0.8,0.0
YP_009137129.1,UL53,Late,73,5,0.7543815513626835,-0.003890053575588026,0.6732961148315789,-0.007623001551893105,0.5040922784507754,-0.009843475262086843,0.8,0.0
YP_009137130.1,UL54,Immediate-Early,73,4,0.5951851851851852,-0.16308641975308635,0.5583062858106539,-0.12261283057281813,0.3854768679793537,-0.12845888573350855,0.35,-0.45000000000000007
YP_009137131.1,UL55,Late,73,5,0.7506079664570231,-0.007663638481248403,0.6690322731243035,-0.011886843259168556,0.49234551980130686,-0.0215902339115554,0.8,0.0
YP_009137132.1,UL56,Late,73,5,0.7575681341719078,-0.0007034707663636786,0.6767585065950191,-0.004160609788452896,0.5079905632950202,-0.005945190417842028,0.8,0.0
YP_009137135.1,RS1,Immediate-Early,73,4,0.6471604938271606,-0.11111111111111094,0.5954718597910211,-0.0854472565924509,0.4122181571882041,-0.10171759652465817,0.5,-0.30000000000000004
YP_009137136.1,US1,Immediate-Early,73,4,0.6508641975308642,-0.10740740740740728,0.6018570640084909,-0.0790620523749811,0.4233756571016798,-0.09056009661118247,0.5,-0.30000000000000004
YP_009137137.1,US2,Late,73,5,0.7575681341719077,-0.0007034707663637896,0.676743811316927,-0.004175305066545065,0.508432662968141,-0.005503090744721217,0.8,0.0
YP_009137138.1,US3,Early,73,5,0.7592592592592592,0.0009876543209876854,0.6786866741078927,-0.0022324422755792828,0.509773698692087,-0.004162055020775268,0.8,0.0
YP_009137139.1,US4,Late,73,5,0.7632704402515723,0.004998835313300809,0.6823774326935075,0.0014583163100354568,0.5197644458678601,0.0058286921549978166,0.8,0.0
