representation,model,weighting,precision_IE_mean,precision_IE_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,precision_Early_mean,precision_Early_std,recall_Early_mean,recall_Early_std,f1_Early_mean,f1_Early_std,precision_Late_mean,precision_Late_std,recall_Late_mean,recall_Late_std,f1_Late_mean,f1_Late_std
Combined_Equal_Block,Logistic_Regression,Class_Balanced,0.5099999999999999,0.3806062415556412,0.8,0.408248290463863,0.5893333333333333,0.3651128694080878,0.6238095238095238,0.2760245122595143,0.6933333333333332,0.2873892701417236,0.6375238095238095,0.2474246413290525,0.8913073593073593,0.0837246508499882,0.7825454545454545,0.1293371531059568,0.8254704742947037,0.0789192213183895
Combined_Equal_Block,Logistic_Regression,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.4493333333333333,0.4236219488595409,0.2933333333333333,0.2775554665954843,0.3321904761904761,0.2966628448886294,0.7676405816405817,0.0457287301772921,0.9403636363636364,0.0772762922528806,0.8428662858118235,0.041044072217263
Combined_Equal_Block,Random_Forest,Class_Balanced,0.04,0.1384437310486345,0.08,0.2768874620972691,0.0533333333333333,0.1845916413981794,0.7926666666666666,0.2041853732926692,0.7199999999999999,0.2293307493394477,0.728190476190476,0.1794787531350397,0.8461869241869243,0.0628860054942722,0.8810909090909089,0.0931881003056049,0.860179107848673,0.0604726724696994
Combined_Equal_Block,Random_Forest,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5826666666666667,0.4120713260805436,0.44,0.3294214906749687,0.474095238095238,0.3268880271789182,0.796882672882673,0.0577361738496335,0.9476363636363636,0.0737746550281186,0.8627782694803288,0.0421078795139263
Combined_Equal_Block,SVM_Linear,Class_Balanced,0.42,0.3636237371545238,0.68,0.4760952285695233,0.4999999999999999,0.3818813079129866,0.6078095238095238,0.1728139567373974,0.7466666666666666,0.2411392712690078,0.6495238095238095,0.1583810645324078,0.8944040404040403,0.0864859875249128,0.7712727272727272,0.1122239496543989,0.8210813090231585,0.0690352153759751
Combined_Equal_Block,SVM_Linear,Unweighted,0.02,0.1,0.04,0.2,0.0266666666666666,0.1333333333333333,0.6226666666666666,0.377794525772547,0.44,0.3,0.4780952380952381,0.2780044426688411,0.7892363192363193,0.0598984222993938,0.8923636363636362,0.0839650983507244,0.8344328467870803,0.0481191540157396
Combined_Equal_Block,SVM_RBF,Class_Balanced,0.12,0.3316624790355399,0.12,0.3316624790355399,0.12,0.3316624790355399,0.596,0.337758131738609,0.4666666666666666,0.3042903097250923,0.4891428571428571,0.2693197107082282,0.8038563658563659,0.0660342362661593,0.9145454545454544,0.081353901567629,0.8529267297157458,0.0546483357930784
Combined_Equal_Block,SVM_RBF,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1658312395177699,0.0533333333333333,0.1575271875417536,0.0548571428571428,0.1542857142857143,0.7334212454212455,0.0209350834103568,0.9734545454545456,0.0522180214397807,0.8355094760312152,0.0187280772492294
Combined_Equal_Block,XGBoost,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.6233333333333333,0.371994125799897,0.4933333333333333,0.334995854037363,0.5169523809523809,0.3030958927161598,0.7965805305805307,0.062439067731389,0.885090909090909,0.1030485723552869,0.8337126573341408,0.0572250794378286
Combined_Equal_Block,XGBoost,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5426666666666666,0.438618411732922,0.3466666666666666,0.3115076837528041,0.3963809523809524,0.3216380269933319,0.7757178377178378,0.0593821138255111,0.9330909090909092,0.08413716991248,0.8447243987134148,0.0550278219747424
