Representation,Classifier,Confusion_Matrix
Physicochemical,Logistic Regression,"[[20, 0, 55], [8, 10, 7], [50, 11, 209]]"
Physicochemical,SVM (RBF),"[[1, 0, 74], [0, 0, 25], [2, 0, 268]]"
Physicochemical,Random Forest,"[[14, 0, 61], [0, 0, 25], [12, 2, 256]]"
Physicochemical,XGBoost,"[[14, 0, 61], [0, 8, 17], [33, 1, 236]]"
ProtBERT,Logistic Regression,"[[38, 0, 37], [0, 0, 25], [15, 13, 242]]"
ProtBERT,SVM (RBF),"[[4, 0, 71], [0, 0, 25], [9, 0, 261]]"
ProtBERT,Random Forest,"[[30, 0, 45], [0, 0, 25], [12, 1, 257]]"
ProtBERT,XGBoost,"[[31, 0, 44], [0, 0, 25], [13, 5, 252]]"
Combined,Logistic Regression,"[[38, 0, 37], [0, 0, 25], [13, 15, 242]]"
Combined,SVM (RBF),"[[4, 0, 71], [0, 0, 25], [8, 0, 262]]"
Combined,Random Forest,"[[32, 0, 43], [0, 0, 25], [10, 0, 260]]"
Combined,XGBoost,"[[33, 0, 42], [0, 0, 25], [14, 6, 250]]"
