Representation,Classifier,Accuracy_Mean,Accuracy_Std,Macro_Precision_Mean,Macro_Precision_Std,Macro_Recall_Mean,Macro_Recall_Std,Macro_F1_Mean,Macro_F1_Std
Physicochemical,Logistic Regression,0.6457142857142857,0.10639420985728716,0.42459270359270357,0.1724986677203962,0.48028282828282826,0.1654389109668945,0.43743608150473146,0.15653991472463036
Physicochemical,SVM (RBF),0.7268571428571429,0.030323426654677937,0.25665934065934065,0.06919961467349582,0.33535353535353535,0.025232315145044027,0.2870324786324786,0.03586866995587563
Physicochemical,Random Forest,0.7293333333333334,0.05278081146550248,0.3708083028083028,0.1449581892209771,0.3782222222222223,0.05874175009969504,0.3573916865742953,0.08598395392135558
Physicochemical,XGBoost,0.6975238095238094,0.06181121136444535,0.42874059274059273,0.1723799527432097,0.4604040404040404,0.1490468304170937,0.43544369446978143,0.15606609984497738
ProtBERT,Logistic Regression,0.7563809523809524,0.06231628782181397,0.516132904132904,0.09246940980611917,0.4677979797979798,0.07453714333236397,0.4704093857832988,0.07174711946148465
ProtBERT,SVM (RBF),0.715809523809524,0.03578012978001658,0.26922588522588525,0.08109899654356549,0.33995959595959596,0.03999906130925919,0.2958214577692838,0.05077375110861751
ProtBERT,Random Forest,0.7752380952380952,0.05095015571464862,0.47547001147001144,0.13377492721323123,0.45090909090909087,0.0829454701922026,0.4387361083361083,0.09308316182940672
ProtBERT,XGBoost,0.764,0.07713791871318128,0.4865343545343545,0.1358822243343238,0.44892929292929296,0.08791295283863741,0.445884121675426,0.09985579076653366
Combined,Logistic Regression,0.7559999999999999,0.06649338023076037,0.5271181411181411,0.09279776662266111,0.46767676767676764,0.07529637391062982,0.47335298324863545,0.07298083934197416
Combined,SVM (RBF),0.7186666666666668,0.03254635626491004,0.26951892551892553,0.0809726465203582,0.3412929292929293,0.03919225241970178,0.2964977862716993,0.05041501725858805
Combined,Random Forest,0.788952380952381,0.05240207366376869,0.49512554112554114,0.13029579350302226,0.46343434343434337,0.08117693594296882,0.45695647347821267,0.09512618609831992
Combined,XGBoost,0.7638095238095238,0.08032812527222685,0.4942195582195582,0.1334784535201191,0.4552727272727272,0.09196714034132496,0.45322946232511446,0.10162170284895343
