Functional Category,0,1,2,3
Capsid Portal,0,1,0,0
Capsid Scaffolding,0,0,1,0
Capsid Scaffolding/Protease,0,0,1,0
Capsid Vertex/Packaging,1,0,0,1
Capsid/Major,1,0,0,0
Capsid/Small Capsid,0,0,0,1
Capsid/Triplex,0,1,0,1
DNA Packaging,1,0,0,0
DNA Packaging/Terminase,3,0,0,0
DNA Recombination/Processing,0,1,0,0
DNA Replication/Origin Binding,1,0,0,0
DNA Replication/Polymerase,1,0,0,0
DNA Replication/Processivity,0,1,0,0
DNA Replication/Repair,0,1,0,0
DNA Replication/Replication Fork,2,0,0,1
DNA Replication/SSB,1,0,0,0
Envelope,0,0,0,1
Envelope/Egress,1,0,0,0
Envelope/Membrane,0,0,0,1
Glycoprotein/Attachment,0,1,0,0
Glycoprotein/Cell-to-Cell Spread,0,2,0,0
Glycoprotein/Entry,1,2,0,2
Glycoprotein/Entry & Fusion,1,0,0,1
Glycoprotein/Immune Evasion,0,0,0,1
Glycoprotein/Primary Receptor Binding,0,1,0,0
Host Shutoff,0,1,0,0
Immune Evasion,0,0,1,0
Neurovirulence/Host Defense,0,0,1,0
Nuclear Egress,0,3,0,1
Nucleotide Metabolism,2,1,0,1
Pathogenicity/Egress,0,1,1,0
Protein Kinase,0,1,0,0
Protein Kinase/Anti-apoptotic,0,1,0,0
RNA Export/Processing,0,0,1,0
RNA-binding/PKR Antagonist,0,0,1,0
Regulatory/Transactivator,0,0,3,0
Tegument,0,6,2,0
Tegument/Anterograde Transport,0,0,1,0
Tegument/Immune Modulation,0,1,0,0
Tegument/Inner Tegument,1,0,0,0
Tegument/Large Tegument,1,0,0,0
Tegument/Major,0,0,1,0
Tegument/Membrane,0,0,1,0
Tegument/Secondary Envelopment,0,0,2,0
Tegument/Transactivator,1,0,0,0
