,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
length,0.30755483432294806,0.6060083104654447,0.4913403809475564,0.025779382039252174,-0.3530833247822053,-0.12977536177231616,0.26813365670518063,-0.1622099755762181,-0.06021732978785498,0.16178199129151957,-0.03647292896962644,-0.11281365878340603,0.07796335541681415,-0.0795519694032569,-0.018371922841830573,-0.07827957340522869,0.00855070115176163,-0.04426498434586111,-0.048511345544924846,-0.05074300861274685,0.017735301622120836,-0.0021879931697892023,-0.007525409808323891,1.5571750176535262e-29,1.5077431149017258e-32
mw_kda,0.3252977605050484,0.6073499024394239,0.47598952783341897,0.024521827435203068,-0.353104850216667,-0.13431136548589268,0.26743390531423744,-0.15535939887768485,-0.05889506696528216,0.1681010447008739,-0.039968578394575474,-0.11853091762656072,0.0792025223272403,-0.0822171789151795,-0.024963359279216554,-0.07918934345858102,0.004012291764345158,-0.04186447968142601,-0.04178742886217991,-0.048199872979347864,0.016067778504245844,0.002241896304653179,0.007542998350990476,-1.5434834245269807e-29,-4.78959106105694e-32
isoelectric_point,-0.3621028941514049,-0.5406475626410188,-0.17428157546006876,0.20538774010377592,-0.3450731572755634,-0.2957434747261868,0.05459954038869117,0.35158397730547336,0.20822602184829755,0.29012623495111745,0.13658347798300044,0.024107546328591054,0.061145720303655365,-0.11105258599394918,-0.012138981892517522,-0.03988698057278336,0.032532784735660514,0.026772472875985075,-0.016024204471911736,-0.06301598535105422,0.02005481818442149,0.11665150810604896,-0.00013616965979784858,2.509468016437114e-31,4.069965997625341e-32
instability_index,-0.632835035583871,-0.029041798272482433,-0.3132931714387248,-0.3450261399071273,-0.11563712819271216,-0.016342005390549755,0.16578218429147737,-0.33280900929336565,0.2317435741110537,0.13910228735807342,-0.10961920558549548,-0.059633495369968974,-0.11107342058203618,-0.046670771482759665,0.1513075375464949,0.05583992804895557,-0.06635415432659889,0.2579068376342686,-0.07891179996691344,-0.00394516018598586,0.1910928273819088,-0.021500946731476667,4.790048100044923e-05,-3.8914236951908466e-31,6.97468717109559e-33
aromaticity,0.8489720279780073,-0.16221594822150182,-0.029117880378827912,-0.27312118260451745,-0.11316930996278302,0.03761277911125496,-0.20411744963614142,-0.008396308420220927,0.18544568603090136,0.010974558533436717,0.2407796866453355,-0.05852862379699292,-0.008770837932054448,0.031155031029516222,-0.16192522765595838,-0.040416548871815165,-0.06649378375020239,0.06157744152258469,-0.02263504226349191,-0.03321045010388147,0.02288220360905586,-0.008228879330628975,-3.2916187883054215e-05,6.3389138301385e-16,-6.109361473910377e-18
aa_A,-0.10277622666034361,0.1457724004231616,0.765741722778553,-0.026872952841417046,0.030539126383197973,0.12805347652924698,-0.2369039203788228,0.0006606567038041923,0.1831585813315089,0.015829230069606594,0.06897225728312124,0.39470886049738,0.09620563106765001,-0.05829139680579222,0.10242234203285197,0.27001137553343524,0.1399143973782362,-0.017903387552611866,-0.02823305431109481,-0.07660076324415806,0.06617286618135297,0.003052993942623283,0.0001005801772029379,6.11435304567263e-17,1.0462182366420116e-16
aa_C,0.18062357086729355,-0.41097400638633813,-0.11439801417023615,-0.21419547520923812,0.21700138246607276,0.35481556059508457,0.42927342957417447,-0.04024626282689381,-0.3837918988357452,0.22583690752837002,0.09370349631569791,-0.10806629150938607,-0.1859515699359151,-0.17000818601213996,-0.17833993604509904,0.15431068764108682,0.22217136290110331,0.010894406306883509,-0.07751519446701605,-0.019714522830985702,-0.021392029795305755,0.011824317605655034,-9.266074793442773e-07,2.2989750738960825e-17,3.933743488360981e-17
aa_D,-0.11668125645742854,0.7169691925662244,-0.11661518327679313,-0.30823635189255344,0.2421868886447639,-0.03364708364473258,-0.33124240264666593,0.14404639873585331,-0.060347709012681716,0.05640551712610824,-0.06969255835084485,-0.12579395822950065,-0.12977779300077374,0.15509259162926592,-0.009443381663047801,-0.18413269468917834,0.2004723212697,-0.06311776008944718,-0.07726073864901943,0.13702090077827828,0.11233364784526727,0.0569439619443304,-4.004693854834034e-05,3.118677739639656e-17,5.336325038884914e-17
aa_E,-0.03846389365874022,0.7936973330439147,-0.23232806258440972,-0.1816701711098243,0.26143849565936184,0.12360505670400002,0.07689070851103819,0.09343024274235606,-0.13055341298782092,-0.009171772847585663,-0.05732929766972166,-0.05903485233173875,0.1541366391270608,-0.011611083423448413,-0.09484004237720113,0.13559078599950095,-0.15275271988667613,0.15777439870389298,0.23580436406801009,-0.11691583538226065,-0.028388440426899288,0.05946469464162507,-0.0001519681752523344,2.4464048633925086e-17,4.1860085002817374e-17
aa_F,0.7690866128549417,0.044319041034762,-0.07912363839394884,-0.1012946176422956,0.05446980547026115,-0.2342930621300828,-0.09034737503498433,0.04345227470090357,-0.04288043345291116,0.0012233961885255455,0.47518777835103493,-0.006301743656374371,-0.20036464140850122,0.058710605816442385,-0.06605147310894136,0.06631875245898947,-0.20197248217924435,-0.027235889189847172,-0.06226942902748134,-0.04849990524882405,0.08938105213609761,-0.004183516259785818,-9.574964241878333e-06,-4.0508551173409225e-16,5.712193522185811e-17
