Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
PC1,0.1932624441012972,0.1932624441012972
PC2,0.1323463920649769,0.3256088361662741
PC3,0.11476531310825247,0.44037414927452656
PC4,0.07068939855343184,0.5110635478279584
PC5,0.0608193761911579,0.5718829240191163
PC6,0.05460663682196981,0.6264895608410861
PC7,0.049260182887038956,0.675749743728125
PC8,0.04727803946459095,0.723027783192716
PC9,0.04384131824827407,0.7668691014409901
PC10,0.038786051992134245,0.8056551534331243
PC11,0.034130958432486286,0.8397861118656106
PC12,0.02789025507830707,0.8676763669439177
PC13,0.025267852064688755,0.8929442190086064
PC14,0.02216429475578189,0.9151085137643883
PC15,0.018929180164280475,0.9340376939286688
PC16,0.01607455840633774,0.9501122523350065
PC17,0.013181072890181047,0.9632933252251875
PC18,0.010804100858318604,0.9740974260835061
PC19,0.009581753296671531,0.9836791793801777
PC20,0.00880331366229314,0.9924824930424708
PC21,0.0061694359716970215,0.9986519290141679
PC22,0.0013435882927933201,0.9999955173069612
PC23,4.482693038707792e-06,0.9999999999999999
PC24,2.8471012709313597e-32,0.9999999999999999
PC25,3.285311024679795e-33,0.9999999999999999
