protein_id,gene,sequence_length,temporal_class,physicochemical_row,protbert_row,combined_row,alignment_status
YP_009137073.1,RL1,248,Late,0,0,0,PASS
YP_009137074.1,RL2,775,Immediate-Early,1,1,1,PASS
YP_009137075.1,UL1,224,Late,2,2,2,PASS
YP_009137076.1,UL2,334,Early,3,3,3,PASS
YP_009137077.1,UL3,224,Late,4,4,4,PASS
YP_009137078.1,UL4,199,Late,5,5,5,PASS
YP_009137079.1,UL5,882,Early,6,6,6,PASS
YP_009137080.1,UL6,676,Late,7,7,7,PASS
YP_009137081.1,UL7,296,Late,8,8,8,PASS
YP_009137082.1,UL8,750,Early,9,9,9,PASS
YP_009137083.1,UL9,851,Early,10,10,10,PASS
YP_009137084.1,UL10,473,Late,11,11,11,PASS
YP_009137085.1,UL11,96,Late,12,12,12,PASS
YP_009137086.1,UL12,626,Early,13,13,13,PASS
YP_009137087.1,UL13,518,Early,14,14,14,PASS
YP_009137088.1,UL14,219,Late,15,15,15,PASS
YP_009137089.1,UL15,735,Late,16,16,16,PASS
YP_009137090.1,UL16,373,Late,17,17,17,PASS
YP_009137091.1,UL17,703,Late,18,18,18,PASS
YP_009137092.1,UL18,318,Late,19,19,19,PASS
YP_009137093.1,UL19,1374,Late,20,20,20,PASS
YP_009137094.1,UL20,222,Late,21,21,21,PASS
YP_009137095.1,UL21,535,Late,22,22,22,PASS
YP_009137096.1,UL22,838,Late,23,23,23,PASS
YP_009137097.1,UL23,376,Early,24,24,24,PASS
YP_009137098.1,UL24,269,Late,25,25,25,PASS
YP_009137099.1,UL25,580,Late,26,26,26,PASS
YP_009137100.1,UL26,635,Late,27,27,27,PASS
YP_009137101.1,UL26.5,329,Late,28,28,28,PASS
YP_009137102.1,UL27,904,Late,29,29,29,PASS
YP_009137103.1,UL28,785,Late,30,30,30,PASS
YP_009137104.1,UL29,1196,Early,31,31,31,PASS
YP_009137105.1,UL30,1235,Early,32,32,32,PASS
YP_009137106.1,UL31,306,Late,33,33,33,PASS
YP_009137107.1,UL32,596,Late,34,34,34,PASS
YP_009137108.1,UL33,130,Late,35,35,35,PASS
YP_009137109.1,UL34,275,Late,36,36,36,PASS
YP_009137110.1,UL35,112,Late,37,37,37,PASS
YP_009137111.1,UL36,3139,Late,38,38,38,PASS
YP_009137112.1,UL37,1123,Late,39,39,39,PASS
YP_009137113.1,UL38,465,Late,40,40,40,PASS
YP_009137114.1,UL39,1137,Early,41,41,41,PASS
YP_009137115.1,UL40,340,Early,42,42,42,PASS
YP_009137116.1,UL41,489,Late,43,43,43,PASS
YP_009137117.1,UL42,488,Early,44,44,44,PASS
YP_009137118.1,UL43,417,Late,45,45,45,PASS
YP_009137119.1,UL44,511,Late,46,46,46,PASS
YP_009137120.1,UL45,172,Late,47,47,47,PASS
YP_009137121.1,UL46,718,Late,48,48,48,PASS
YP_009137122.1,UL47,693,Late,49,49,49,PASS
YP_009137123.1,UL48,490,Late,50,50,50,PASS
YP_009137124.1,UL49,301,Late,51,51,51,PASS
YP_009137125.1,UL49A,91,Late,52,52,52,PASS
YP_009137126.1,UL50,371,Early,53,53,53,PASS
YP_009137127.1,UL51,244,Late,54,54,54,PASS
YP_009137128.1,UL52,1058,Early,55,55,55,PASS
YP_009137129.1,UL53,338,Late,56,56,56,PASS
YP_009137130.1,UL54,512,Immediate-Early,57,57,57,PASS
YP_009137131.1,UL55,186,Late,58,58,58,PASS
YP_009137132.1,UL56,234,Late,59,59,59,PASS
YP_009137135.1,RS1,1298,Immediate-Early,60,60,60,PASS
YP_009137136.1,US1,420,Immediate-Early,61,61,61,PASS
YP_009137137.1,US2,291,Late,62,62,62,PASS
YP_009137138.1,US3,481,Early,63,63,63,PASS
YP_009137139.1,US4,238,Late,64,64,64,PASS
YP_009137140.1,US5,92,Late,65,65,65,PASS
YP_009137141.1,US6,394,Late,66,66,66,PASS
YP_009137142.1,US7,390,Late,67,67,67,PASS
YP_009137143.1,US8,550,Late,68,68,68,PASS
YP_009137144.1,US8A,159,Late,69,69,69,PASS
YP_009137145.1,US9,90,Late,70,70,70,PASS
YP_009137146.1,US10,312,Late,71,71,71,PASS
YP_009137147.1,US11,161,Late,72,72,72,PASS
YP_009137148.1,US12,88,Immediate-Early,73,73,73,PASS
