protein_id,gene,length,embedding_dim
YP_009137073.1,YP_009137073.1 RL1,248,1024
YP_009137074.1,YP_009137074.1 RL2,775,1024
YP_009137075.1,YP_009137075.1 UL1,224,1024
YP_009137076.1,YP_009137076.1 UL2,334,1024
YP_009137077.1,YP_009137077.1 UL3,224,1024
YP_009137078.1,YP_009137078.1 UL4,199,1024
YP_009137079.1,YP_009137079.1 UL5,882,1024
YP_009137080.1,YP_009137080.1 UL6,676,1024
YP_009137081.1,YP_009137081.1 UL7,296,1024
YP_009137082.1,YP_009137082.1 UL8,750,1024
YP_009137083.1,YP_009137083.1 UL9,851,1024
YP_009137084.1,YP_009137084.1 UL10,473,1024
YP_009137085.1,YP_009137085.1 UL11,96,1024
YP_009137086.1,YP_009137086.1 UL12,626,1024
YP_009137087.1,YP_009137087.1 UL13,518,1024
YP_009137088.1,YP_009137088.1 UL14,219,1024
YP_009137089.1,YP_009137089.1 UL15,735,1024
YP_009137090.1,YP_009137090.1 UL16,373,1024
YP_009137091.1,YP_009137091.1 UL17,703,1024
YP_009137092.1,YP_009137092.1 UL18,318,1024
YP_009137093.1,YP_009137093.1 UL19,1374,1024
YP_009137094.1,YP_009137094.1 UL20,222,1024
YP_009137095.1,YP_009137095.1 UL21,535,1024
YP_009137096.1,YP_009137096.1 UL22,838,1024
YP_009137097.1,YP_009137097.1 UL23,376,1024
YP_009137098.1,YP_009137098.1 UL24,269,1024
YP_009137099.1,YP_009137099.1 UL25,580,1024
YP_009137100.1,YP_009137100.1 UL26,635,1024
YP_009137101.1,YP_009137101.1 UL26.5,329,1024
YP_009137102.1,YP_009137102.1 UL27,904,1024
YP_009137103.1,YP_009137103.1 UL28,785,1024
YP_009137104.1,YP_009137104.1 UL29,1196,1024
YP_009137105.1,YP_009137105.1 UL30,1235,1024
YP_009137106.1,YP_009137106.1 UL31,306,1024
YP_009137107.1,YP_009137107.1 UL32,596,1024
YP_009137108.1,YP_009137108.1 UL33,130,1024
YP_009137109.1,YP_009137109.1 UL34,275,1024
YP_009137110.1,YP_009137110.1 UL35,112,1024
YP_009137111.1,YP_009137111.1 UL36,3139,1024
YP_009137112.1,YP_009137112.1 UL37,1123,1024
YP_009137113.1,YP_009137113.1 UL38,465,1024
YP_009137114.1,YP_009137114.1 UL39,1137,1024
YP_009137115.1,YP_009137115.1 UL40,340,1024
YP_009137116.1,YP_009137116.1 UL41,489,1024
YP_009137117.1,YP_009137117.1 UL42,488,1024
YP_009137118.1,YP_009137118.1 UL43,417,1024
YP_009137119.1,YP_009137119.1 UL44,511,1024
YP_009137120.1,YP_009137120.1 UL45,172,1024
YP_009137121.1,YP_009137121.1 UL46,718,1024
YP_009137122.1,YP_009137122.1 UL47,693,1024
YP_009137123.1,YP_009137123.1 UL48,490,1024
YP_009137124.1,YP_009137124.1 UL49,301,1024
YP_009137125.1,YP_009137125.1 UL49A,91,1024
YP_009137126.1,YP_009137126.1 UL50,371,1024
YP_009137127.1,YP_009137127.1 UL51,244,1024
YP_009137128.1,YP_009137128.1 UL52,1058,1024
YP_009137129.1,YP_009137129.1 UL53,338,1024
YP_009137130.1,YP_009137130.1 UL54,512,1024
YP_009137131.1,YP_009137131.1 UL55,186,1024
YP_009137132.1,YP_009137132.1 UL56,234,1024
YP_009137135.1,YP_009137135.1 RS1,1298,1024
YP_009137136.1,YP_009137136.1 US1,420,1024
YP_009137137.1,YP_009137137.1 US2,291,1024
YP_009137138.1,YP_009137138.1 US3,481,1024
YP_009137139.1,YP_009137139.1 US4,238,1024
YP_009137140.1,YP_009137140.1 US5,92,1024
YP_009137141.1,YP_009137141.1 US6,394,1024
YP_009137142.1,YP_009137142.1 US7,390,1024
YP_009137143.1,YP_009137143.1 US8,550,1024
YP_009137144.1,YP_009137144.1 US8A,159,1024
YP_009137145.1,YP_009137145.1 US9,90,1024
YP_009137146.1,YP_009137146.1 US10,312,1024
YP_009137147.1,YP_009137147.1 US11,161,1024
YP_009137148.1,YP_009137148.1 US12,88,1024
