protein_id,gene,temporal_class,representation,configuration,TSNE1,TSNE2
YP_009137073.1,RL1,Late,Physicochemical,primary_perp15,-2.761466,-9.658978
YP_009137074.1,RL2,Immediate-Early,Physicochemical,primary_perp15,0.37543,-8.277693
YP_009137075.1,UL1,Late,Physicochemical,primary_perp15,-2.855576,3.91752
YP_009137076.1,UL2,Early,Physicochemical,primary_perp15,0.400517,-5.013007
YP_009137077.1,UL3,Late,Physicochemical,primary_perp15,1.61912,-4.930624
YP_009137078.1,UL4,Late,Physicochemical,primary_perp15,-4.373845,6.421712
YP_009137079.1,UL5,Early,Physicochemical,primary_perp15,2.62417,4.909286
YP_009137080.1,UL6,Late,Physicochemical,primary_perp15,-2.229614,-1.62571
YP_009137081.1,UL7,Late,Physicochemical,primary_perp15,-0.605654,2.499554
YP_009137082.1,UL8,Early,Physicochemical,primary_perp15,-1.426139,-0.305816
YP_009137083.1,UL9,Early,Physicochemical,primary_perp15,1.134905,3.707932
YP_009137084.1,UL10,Late,Physicochemical,primary_perp15,-8.708968,0.313648
YP_009137085.1,UL11,Late,Physicochemical,primary_perp15,3.539973,-7.459381
YP_009137086.1,UL12,Early,Physicochemical,primary_perp15,0.48544,-6.043983
YP_009137087.1,UL13,Early,Physicochemical,primary_perp15,-0.222349,5.682608
YP_009137088.1,UL14,Late,Physicochemical,primary_perp15,5.735828,-3.407568
YP_009137089.1,UL15,Late,Physicochemical,primary_perp15,1.986764,5.343984
YP_009137090.1,UL16,Late,Physicochemical,primary_perp15,-0.070275,-2.733934
YP_009137091.1,UL17,Late,Physicochemical,primary_perp15,-2.810694,-3.156911
YP_009137092.1,UL18,Late,Physicochemical,primary_perp15,-4.634977,-3.844308
YP_009137093.1,UL19,Late,Physicochemical,primary_perp15,3.557281,2.324952
YP_009137094.1,UL20,Late,Physicochemical,primary_perp15,-1.356941,1.916478
YP_009137095.1,UL21,Late,Physicochemical,primary_perp15,-3.278322,-2.651567
YP_009137096.1,UL22,Late,Physicochemical,primary_perp15,-0.286173,-0.009704
YP_009137097.1,UL23,Early,Physicochemical,primary_perp15,-4.270608,2.457917
YP_009137098.1,UL24,Late,Physicochemical,primary_perp15,2.886288,-4.495014
YP_009137099.1,UL25,Late,Physicochemical,primary_perp15,3.339428,0.686347
YP_009137100.1,UL26,Late,Physicochemical,primary_perp15,1.639692,-9.313498
YP_009137101.1,UL26.5,Late,Physicochemical,primary_perp15,1.962449,-9.987891
YP_009137102.1,UL27,Late,Physicochemical,primary_perp15,3.765088,5.441099
YP_009137103.1,UL28,Late,Physicochemical,primary_perp15,2.13655,0.001118
YP_009137104.1,UL29,Early,Physicochemical,primary_perp15,3.16751,3.428763
YP_009137105.1,UL30,Early,Physicochemical,primary_perp15,4.04452,4.360213
YP_009137106.1,UL31,Late,Physicochemical,primary_perp15,-1.743449,5.063644
YP_009137107.1,UL32,Late,Physicochemical,primary_perp15,1.315542,-0.631441
YP_009137108.1,UL33,Late,Physicochemical,primary_perp15,5.789891,-2.700551
YP_009137109.1,UL34,Late,Physicochemical,primary_perp15,-4.568314,-0.559397
YP_009137110.1,UL35,Late,Physicochemical,primary_perp15,-5.248995,1.95005
YP_009137111.1,UL36,Late,Physicochemical,primary_perp15,1.22925,1.791904
YP_009137112.1,UL37,Late,Physicochemical,primary_perp15,0.689753,0.513254
YP_009137113.1,UL38,Late,Physicochemical,primary_perp15,-3.398436,-0.900758
YP_009137114.1,UL39,Early,Physicochemical,primary_perp15,2.18065,3.38033
YP_009137115.1,UL40,Early,Physicochemical,primary_perp15,-2.505456,7.743954
YP_009137116.1,UL41,Late,Physicochemical,primary_perp15,-2.750556,5.393896
YP_009137117.1,UL42,Early,Physicochemical,primary_perp15,2.309743,-2.501142
YP_009137118.1,UL43,Late,Physicochemical,primary_perp15,-6.096901,-2.375709
YP_009137119.1,UL44,Late,Physicochemical,primary_perp15,-5.67719,-7.35937
YP_009137120.1,UL45,Late,Physicochemical,primary_perp15,-6.661107,-4.214005
YP_009137121.1,UL46,Late,Physicochemical,primary_perp15,-0.664991,-5.366934
YP_009137122.1,UL47,Late,Physicochemical,primary_perp15,-2.731652,-4.164688
YP_009137123.1,UL48,Late,Physicochemical,primary_perp15,4.796827,0.006632
YP_009137124.1,UL49,Late,Physicochemical,primary_perp15,-1.228451,-9.419771
YP_009137125.1,UL49A,Late,Physicochemical,primary_perp15,-5.855702,-0.33111
YP_009137126.1,UL50,Early,Physicochemical,primary_perp15,-4.477302,-2.410975
YP_009137127.1,UL51,Late,Physicochemical,primary_perp15,5.016552,-5.914035
YP_009137128.1,UL52,Early,Physicochemical,primary_perp15,2.065516,0.694226
YP_009137129.1,UL53,Late,Physicochemical,primary_perp15,-9.069016,0.941899
YP_009137130.1,UL54,Immediate-Early,Physicochemical,primary_perp15,1.613376,-6.958954
YP_009137131.1,UL55,Late,Physicochemical,primary_perp15,-0.367397,7.517037
YP_009137132.1,UL56,Late,Physicochemical,primary_perp15,-1.917673,-8.200124
YP_009137135.1,RS1,Immediate-Early,Physicochemical,primary_perp15,-2.765999,-5.421876
YP_009137136.1,US1,Immediate-Early,Physicochemical,primary_perp15,2.5745,-7.303096
YP_009137137.1,US2,Late,Physicochemical,primary_perp15,-0.291934,-3.195362
YP_009137138.1,US3,Early,Physicochemical,primary_perp15,-3.112541,6.038336
YP_009137139.1,US4,Late,Physicochemical,primary_perp15,-6.455126,-8.293866
YP_009137140.1,US5,Late,Physicochemical,primary_perp15,-7.845661,-1.950686
YP_009137141.1,US6,Late,Physicochemical,primary_perp15,-3.799143,4.932507
YP_009137142.1,US7,Late,Physicochemical,primary_perp15,-5.317779,-7.187651
YP_009137143.1,US8,Late,Physicochemical,primary_perp15,-0.35585,-6.587922
YP_009137144.1,US8A,Late,Physicochemical,primary_perp15,-2.631417,-7.353533
YP_009137145.1,US9,Late,Physicochemical,primary_perp15,4.831241,-9.450155
YP_009137146.1,US10,Late,Physicochemical,primary_perp15,-6.854765,3.786548
YP_009137147.1,US11,Late,Physicochemical,primary_perp15,-2.08563,-10.725636
YP_009137148.1,US12,Immediate-Early,Physicochemical,primary_perp15,0.087566,-11.5227
YP_009137073.1,RL1,Late,Physicochemical,sensitivity_perp5,-9.389268,-23.5751
YP_009137073.1,RL1,Late,Physicochemical,sensitivity_perp25,-2.301848,-1.691588
YP_009137074.1,RL2,Immediate-Early,Physicochemical,sensitivity_perp5,-17.221516,-17.092093
YP_009137074.1,RL2,Immediate-Early,Physicochemical,sensitivity_perp25,-0.857183,-0.584291
YP_009137075.1,UL1,Late,Physicochemical,sensitivity_perp5,20.680998,15.019133
YP_009137075.1,UL1,Late,Physicochemical,sensitivity_perp25,-1.234337,2.796719
YP_009137076.1,UL2,Early,Physicochemical,sensitivity_perp5,-16.397814,-8.601929
YP_009137076.1,UL2,Early,Physicochemical,sensitivity_perp25,-1.690289,0.867087
YP_009137077.1,UL3,Late,Physicochemical,sensitivity_perp5,-18.520212,-6.458524
YP_009137077.1,UL3,Late,Physicochemical,sensitivity_perp25,-1.863009,0.647788
YP_009137078.1,UL4,Late,Physicochemical,sensitivity_perp5,26.465395,14.829337
YP_009137078.1,UL4,Late,Physicochemical,sensitivity_perp25,-0.460467,2.834613
YP_009137079.1,UL5,Early,Physicochemical,sensitivity_perp5,7.139619,24.855015
YP_009137079.1,UL5,Early,Physicochemical,sensitivity_perp25,1.26062,4.515764
YP_009137080.1,UL6,Late,Physicochemical,sensitivity_perp5,5.900317,-4.241237
YP_009137080.1,UL6,Late,Physicochemical,sensitivity_perp25,0.909102,1.76151
YP_009137081.1,UL7,Late,Physicochemical,sensitivity_perp5,12.462036,20.100782
YP_009137081.1,UL7,Late,Physicochemical,sensitivity_perp25,2.946499,3.112103
YP_009137082.1,UL8,Early,Physicochemical,sensitivity_perp5,-0.826233,4.666201
YP_009137082.1,UL8,Early,Physicochemical,sensitivity_perp25,2.777822,1.565437
YP_009137083.1,UL9,Early,Physicochemical,sensitivity_perp5,8.82734,20.175728
YP_009137083.1,UL9,Early,Physicochemical,sensitivity_perp25,1.278174,3.665264
YP_009137084.1,UL10,Late,Physicochemical,sensitivity_perp5,15.733366,-2.5683
YP_009137084.1,UL10,Late,Physicochemical,sensitivity_perp25,3.549695,1.75465
YP_009137085.1,UL11,Late,Physicochemical,sensitivity_perp5,-24.699636,-16.323084
YP_009137085.1,UL11,Late,Physicochemical,sensitivity_perp25,-2.963227,0.39595
YP_009137086.1,UL12,Early,Physicochemical,sensitivity_perp5,-18.265215,-11.857112
YP_009137086.1,UL12,Early,Physicochemical,sensitivity_perp25,-1.010213,0.599324
YP_009137087.1,UL13,Early,Physicochemical,sensitivity_perp5,23.642664,5.743761
YP_009137087.1,UL13,Early,Physicochemical,sensitivity_perp25,-0.920975,4.407437
YP_009137088.1,UL14,Late,Physicochemical,sensitivity_perp5,4.12763,-29.12047
YP_009137088.1,UL14,Late,Physicochemical,sensitivity_perp25,-0.220801,1.273056
YP_009137089.1,UL15,Late,Physicochemical,sensitivity_perp5,8.604114,26.116518
YP_009137089.1,UL15,Late,Physicochemical,sensitivity_perp25,1.200762,4.553228
YP_009137090.1,UL16,Late,Physicochemical,sensitivity_perp5,-15.519657,9.119825
YP_009137090.1,UL16,Late,Physicochemical,sensitivity_perp25,-2.168262,1.981201
YP_009137091.1,UL17,Late,Physicochemical,sensitivity_perp5,2.860367,-8.351856
YP_009137091.1,UL17,Late,Physicochemical,sensitivity_perp25,1.219014,0.874551
YP_009137092.1,UL18,Late,Physicochemical,sensitivity_perp5,-1.601062,-6.882864
YP_009137092.1,UL18,Late,Physicochemical,sensitivity_perp25,2.014028,1.383546
YP_009137093.1,UL19,Late,Physicochemical,sensitivity_perp5,3.437593,17.313524
YP_009137093.1,UL19,Late,Physicochemical,sensitivity_perp25,2.217402,3.877371
YP_009137094.1,UL20,Late,Physicochemical,sensitivity_perp5,14.724739,21.567671
YP_009137094.1,UL20,Late,Physicochemical,sensitivity_perp25,3.549421,3.036894
YP_009137095.1,UL21,Late,Physicochemical,sensitivity_perp5,2.078475,-6.069147
YP_009137095.1,UL21,Late,Physicochemical,sensitivity_perp25,1.578924,1.336407
YP_009137096.1,UL22,Late,Physicochemical,sensitivity_perp5,2.615093,3.617605
YP_009137096.1,UL22,Late,Physicochemical,sensitivity_perp25,1.947298,1.990543
YP_009137097.1,UL23,Early,Physicochemical,sensitivity_perp5,15.214976,9.608088
YP_009137097.1,UL23,Early,Physicochemical,sensitivity_perp25,0.156681,2.231405
YP_009137098.1,UL24,Late,Physicochemical,sensitivity_perp5,-20.707499,-3.97171
YP_009137098.1,UL24,Late,Physicochemical,sensitivity_perp25,-1.287628,-2.52556
YP_009137099.1,UL25,Late,Physicochemical,sensitivity_perp5,7.799778,10.024097
YP_009137099.1,UL25,Late,Physicochemical,sensitivity_perp25,1.186578,2.60983
YP_009137100.1,UL26,Late,Physicochemical,sensitivity_perp5,4.064118,-19.007868
YP_009137100.1,UL26,Late,Physicochemical,sensitivity_perp25,0.241749,0.097896
YP_009137101.1,UL26.5,Late,Physicochemical,sensitivity_perp5,6.063865,-19.325733
YP_009137101.1,UL26.5,Late,Physicochemical,sensitivity_perp25,0.318513,-0.315552
YP_009137102.1,UL27,Late,Physicochemical,sensitivity_perp5,3.093897,25.41762
YP_009137102.1,UL27,Late,Physicochemical,sensitivity_perp25,1.590027,4.89823
