row_index,protein_id,gene,temporal_class
0,YP_009137073.1,RL1,Late
1,YP_009137074.1,RL2,Immediate-Early
2,YP_009137075.1,UL1,Late
3,YP_009137076.1,UL2,Early
4,YP_009137077.1,UL3,Late
5,YP_009137078.1,UL4,Late
6,YP_009137079.1,UL5,Early
7,YP_009137080.1,UL6,Late
8,YP_009137081.1,UL7,Late
9,YP_009137082.1,UL8,Early
10,YP_009137083.1,UL9,Early
11,YP_009137084.1,UL10,Late
12,YP_009137085.1,UL11,Late
13,YP_009137086.1,UL12,Early
14,YP_009137087.1,UL13,Early
15,YP_009137088.1,UL14,Late
16,YP_009137089.1,UL15,Late
17,YP_009137090.1,UL16,Late
18,YP_009137091.1,UL17,Late
19,YP_009137092.1,UL18,Late
20,YP_009137093.1,UL19,Late
21,YP_009137094.1,UL20,Late
22,YP_009137095.1,UL21,Late
23,YP_009137096.1,UL22,Late
24,YP_009137097.1,UL23,Early
25,YP_009137098.1,UL24,Late
26,YP_009137099.1,UL25,Late
27,YP_009137100.1,UL26,Late
28,YP_009137101.1,UL26.5,Late
29,YP_009137102.1,UL27,Late
30,YP_009137103.1,UL28,Late
31,YP_009137104.1,UL29,Early
32,YP_009137105.1,UL30,Early
33,YP_009137106.1,UL31,Late
34,YP_009137107.1,UL32,Late
35,YP_009137108.1,UL33,Late
36,YP_009137109.1,UL34,Late
37,YP_009137110.1,UL35,Late
38,YP_009137111.1,UL36,Late
39,YP_009137112.1,UL37,Late
40,YP_009137113.1,UL38,Late
41,YP_009137114.1,UL39,Early
42,YP_009137115.1,UL40,Early
43,YP_009137116.1,UL41,Late
44,YP_009137117.1,UL42,Early
45,YP_009137118.1,UL43,Late
46,YP_009137119.1,UL44,Late
47,YP_009137120.1,UL45,Late
48,YP_009137121.1,UL46,Late
49,YP_009137122.1,UL47,Late
50,YP_009137123.1,UL48,Late
51,YP_009137124.1,UL49,Late
52,YP_009137125.1,UL49A,Late
53,YP_009137126.1,UL50,Early
54,YP_009137127.1,UL51,Late
55,YP_009137128.1,UL52,Early
56,YP_009137129.1,UL53,Late
57,YP_009137130.1,UL54,Immediate-Early
58,YP_009137131.1,UL55,Late
59,YP_009137132.1,UL56,Late
60,YP_009137135.1,RS1,Immediate-Early
61,YP_009137136.1,US1,Immediate-Early
62,YP_009137137.1,US2,Late
63,YP_009137138.1,US3,Early
64,YP_009137139.1,US4,Late
65,YP_009137140.1,US5,Late
66,YP_009137141.1,US6,Late
67,YP_009137142.1,US7,Late
68,YP_009137143.1,US8,Late
69,YP_009137144.1,US8A,Late
70,YP_009137145.1,US9,Late
71,YP_009137146.1,US10,Late
72,YP_009137147.1,US11,Late
73,YP_009137148.1,US12,Immediate-Early
