protein_id,gene,temporal_class,error_confidence_tier,computational_error_pattern,mean_decision_margin_delta_p,representation_disagreement_status,geometric_outlier_status,documented_function,functional_category,documented_localization,documented_biological_role,possible_contextual_explanation,evidence_reference,pmid,doi,interpretation_confidence
YP_009137073.1,RL1,Late,High-Confidence Incorrect (Delta_p > 0.35),"True Late -> Predicted Immediate-Early (Accuracy: 0%, Mean Margin Delta_p: 0.771)",0.7707311074807213,ALL_AGREE,PhysOutlier=True; PBOutlier=False,"Neurovirulence factor ICP34.5; recruits host protein phosphatase 1alpha (PP1a) to dephosphorylate eIF2alpha, reversing PKR-mediated host translational arrest; blocks autophagy via Beclin-1 binding.",host-interaction/regulatory,Cytoplasm and nucleus,Infection maintenance; neurovirulence; overcoming host antiviral innate immune defenses.,"INTERPRETIVE HYPOTHESIS: Although expressed late (gamma-1), ICP34.5 is a non-structural regulatory factor that recruits PP1alpha to counteract host PKR shutoff. Its sequence lacks structural capsid/envelope motifs and exhibits high proline content (20.2%) and extreme basic pI (11.8), creating an early-like regulatory sequence profile.",Chou & Roizman (1990) J Virol 64:1014-1020; He et al. (1997) PNAS 94:843-848,2172479,10.1128/jvi.64.3.1014-1020.1990,Moderate-to-High
YP_009137082.1,UL8,Early,High-Confidence Incorrect (Delta_p > 0.35),"True Early -> Predicted Late (Accuracy: 0%, Mean Margin Delta_p: 0.424)",0.4236039021784403,ALL_AGREE,PhysOutlier=False; PBOutlier=False,"Helicase-primase accessory factor; essential subunit of the UL5/UL8/UL52 complex that stabilizes the complex, stimulates primase activity, recruits UL9 and ICP8, and targets the complex to the nucleus.",DNA replication,Nucleus (viral replication compartments),Coordination of helicase-primase assembly and replication fork recruitment.,"INTERPRETIVE HYPOTHESIS: UL8 functions in DNA replication (beta) as an accessory scaffold linking helicase UL5 and primase UL52. Its massive multidomain structure (750 aa) and extensive hydrophobic binding interfaces resemble late structural tegument scaffolds, creating decision ambiguity between early enzyme and late structural properties.",Crute et al. (1989) PNAS 86:2186-2189; Carmichael et al. (1993) J Virol 67:3520-3529,2538836,10.1073/pnas.86.7.2186,Moderate
YP_009137085.1,UL11,Late,High-Confidence Incorrect (Delta_p > 0.35),"True Late -> Predicted Immediate-Early (Accuracy: 0%, Mean Margin Delta_p: 0.608)",0.607960222531408,ALL_AGREE,PhysOutlier=True; PBOutlier=False,Small myristoylated and palmitoylated membrane-associated tegument protein (96 aa); binds membranes and acts as a central hub interacting with UL16 and UL21 to mediate secondary envelopment.,tegument,"Golgi apparatus, trans-Golgi network, cytoplasmic membranes, virion tegument",Secondary envelopment at cytoplasmic membranes; virion egress.,"INTERPRETIVE HYPOTHESIS: UL11 is an extremely short (96 aa) dual-acylated membrane-associated tegument hub. Its lack of globular domains, extreme sequence brevity, and acidic charge profile (pI 4.8) place it at the periphery of late protein feature space.",MacLean et al. (1989) J Gen Virol 70:3147-3157; Baines et al. (1995) J Virol 69:825-833,2552093,10.1099/0022-1317-70-12-3147,Moderate-to-High
YP_009137087.1,UL13,Early,Moderate-Margin Incorrect (0.15 <= Delta_p <= 0.35),"True Early -> Predicted Late (Accuracy: 0%, Mean Margin Delta_p: 0.254)",0.2537603710439671,ALL_AGREE,PhysOutlier=False; PBOutlier=False,"Tegument-associated serine/threonine protein kinase; phosphorylates viral proteins (ICP0, ICP22, gE, gI, VP22, UL41) and host elongation factor EF-1delta, modulating transcription, translation, and tegument disassembly.",kinase,Nucleus and cytoplasm; packaged in virion tegument,Phosphorylation of viral and host factors immediately upon viral entry; regulatory kinase.,INTERPRETIVE HYPOTHESIS: UL13 is a protein kinase expressed with beta kinetics but packaged into virion tegument to phosphorylate substrates upon uncoating. Its structural kinase domain and packaging features share biochemical properties with both early metabolic enzymes and late tegument proteins.,Overton et al. (1992) Virology 190:184-192; Cunningham et al. (1992) J Gen Virol 73:303-311,1324546,10.1016/0042-6822(92)91204-i,Moderate
YP_009137089.1,UL15,Late,High-Confidence Incorrect (Delta_p > 0.35),"True Late -> Predicted Early (Accuracy: 0%, Mean Margin Delta_p: 0.849)",0.849033246444375,ALL_AGREE,PhysOutlier=False; PBOutlier=False,"DNA packaging terminase large subunit 1; forms the catalytic ATPase/endonuclease terminase heterotrimer with UL28 and UL33, cleaving concatemeric viral DNA at pac sites and translocating DNA into capsids.",DNA packaging,Nucleus (capsid assembly sites),Essential packaging of concatemeric DNA into viral procapsids.,"INTERPRETIVE HYPOTHESIS: UL15 is the large terminase subunit (735 aa) encoded by spliced exons. Its catalytic ATPase and endonuclease core resembles early replication enzymes (e.g. UL9 OBP), leading linear classifiers to predict early replication kinetics despite its late (gamma-2) packaging role.",Baines et al. (1994) J Virol 68:2929-2936; Yu & Weller (1998) J Virol 72:7428-7439,8189528,10.1128/jvi.68.5.2929-2936.1994,High
YP_009137098.1,UL24,Late,High-Confidence Incorrect (Delta_p > 0.35),"True Late -> Predicted Early (Accuracy: 0%, Mean Margin Delta_p: 0.361)",0.361184036795626,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,PhysOutlier=False; PBOutlier=False,"Nuclear protein UL24; induces dispersion of nucleolar proteins (B23, nucleolin), modulates syncytium formation, and participates in nuclear egress.",host-interaction/regulatory,Nucleus (nucleolus) and nuclear envelope,Nucleolar morphology alteration; viral egress modulation.,"INTERPRETIVE HYPOTHESIS: UL24 is a late non-structural protein that disperses host nucleoli. Its non-structural regulatory function, absence of transmembrane domains, and localization to host nuclear subcompartments differentiate it from canonical late structural capsid/envelope proteins.",Jacobson et al. (1998) J Virol 72:3325-3334; Lymberopoulos & Pearson (2007) J Virol 81:12564-12572,9525660,10.1128/jvi.72.4.3325-3334.1998,Moderate
YP_009137111.1,UL36,Late,Moderate-Margin Incorrect (0.15 <= Delta_p <= 0.35),"True Late -> Predicted Early (Accuracy: 0%, Mean Margin Delta_p: 0.333)",0.3329237578016062,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,PhysOutlier=True; PBOutlier=False,"Large tegument protein (VP1/2, 3,139 aa, 336 kDa); largest viral protein, serving as the master structural hub linking the outer capsid to the tegument and anchoring dynein/kinesin motors for axonal transport.",tegument,"Capsid-tegument interface, cytoplasm, nuclear pore complex","Retrograde/anterograde axonal transport, nuclear pore docking, genome injection, and secondary envelopment.","INTERPRETIVE HYPOTHESIS: UL36 is the giant tegument hub (3,139 aa, 336 kDa). Its massive sequence length, high proline content, deubiquitinase domain, and extensive disordered linker segments place it as a multi-modal outlier, resulting in moderate-margin classification difficulty (Delta p = 0.333).",McNabb & Courtney (1992) J Virol 66:2655-2663; Sandbaumhuter et al. (2013) PLoS Pathog 9:e1003230,1314958,10.1128/jvi.66.5.2655-2663.1992,High
YP_009137116.1,UL41,Late,High-Confidence Incorrect (Delta_p > 0.35),"True Late -> Predicted Early (Accuracy: 0%, Mean Margin Delta_p: 0.352)",0.3517349331568716,ALL_AGREE,PhysOutlier=False; PBOutlier=False,"Virion host shutoff (vhs) endoribonuclease; packaged into the tegument and released into host cytoplasm upon entry to non-specifically cleave host and viral mRNAs, shutting off host protein synthesis.",host-interaction/regulatory,Cytoplasm (mRNA decay sites) and virion tegument,Immediate host translational shutoff and viral mRNA turnover.,INTERPRETIVE HYPOTHESIS: vhs (UL41) is expressed late (gamma-1) but packaged into tegument and acts immediately as an endoribonuclease upon entry. Its catalytic ribonuclease fold resembles early enzymatic machinery rather than structural virion components.,Read & Frenkel (1983) J Virol 46:498-512; Kwong et al. (1988) J Virol 62:912-921,6300086,10.1128/jvi.46.2.498-512.1983,High
YP_009137124.1,UL49,Late,Moderate-Margin Incorrect (0.15 <= Delta_p <= 0.35),"True Late -> Predicted Immediate-Early (Accuracy: 0%, Mean Margin Delta_p: 0.335)",0.3346222726536043,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,PhysOutlier=False; PBOutlier=False,"Major tegument protein VP22 (301 aa); binds microtubules and viral mRNA, interacts with UL48 and UL16, and promotes efficient secondary envelopement.",tegument,"Cytoplasm (microtubules), nucleus, and virion tegument",Tegument bridge assembly and cytoplasmic secondary envelopment.,INTERPRETIVE HYPOTHESIS: VP22 (UL49) is a major tegument protein with high basic charge (pI 10.9) and strong nucleic acid binding activity. Its chromatin/microtubule-binding properties and non-globular regions differentiate it from core structural glycoproteins.,Elliott & O'Hare (1997) Cell 88:223-233; O'Regan et al. (2007) J Virol 81:13185-13195,9008163,10.1016/s0092-8674(00)81843-8,Moderate
YP_009137128.1,UL52,Early,Moderate-Margin Incorrect (0.15 <= Delta_p <= 0.35),"True Early -> Predicted Late (Accuracy: 0%, Mean Margin Delta_p: 0.274)",0.2740294290143587,ALL_AGREE,PhysOutlier=False; PBOutlier=False,Primase catalytic subunit of the helicase-primase complex (UL5/UL8/UL52); synthesizes short RNA primers (8-10 nt) on the lagging strand during viral DNA replication.,DNA replication,Nucleus (replication compartments),Lagging strand primer synthesis during viral DNA replication.,"INTERPRETIVE HYPOTHESIS: UL52 is the large catalytic primase subunit (1,058 aa). Its large size and tight structural complexing with helicase machinery place its representation near the boundary of large late structural assemblies.",Crute et al. (1989) PNAS 86:2186-2189; Killeen & Weller (2008) J Virol 82:4676-4682,2538836,10.1073/pnas.86.7.2186,Moderate
