protein_id,gene,protein_name,temporal_class,late_subclass,evidence_type,citation,pmid,doi,source,confidence,annotator,notes,verification_status
YP_009137073.1,RL1,neurovirulence protein ICP34.5,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (neurovirulence protein ICP34.5),Verified (Literature Ground Truth)
YP_009137074.1,RL2,ubiquitin E3 ligase ICP0,Immediate-Early,None,Transcriptional kinetics & cycloheximide reversal,Honess & Roizman (1974) J Virol; Roizman et al. (2013) Fields Virology,4365321,10.1128/jvi.14.1.8-19.1974,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (RL2),Verified (Literature Ground Truth)
YP_009137075.1,UL1,envelope glycoprotein L,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein L),Verified (Literature Ground Truth)
YP_009137076.1,UL2,uracil-DNA glycosylase,Early,None,Uracil-DNA glycosylase replication timing,Roizman (2013) Fields Virology,2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL2),Verified (Literature Ground Truth)
YP_009137077.1,UL3,nuclear protein UL3,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (nuclear protein UL3),Verified (Literature Ground Truth)
YP_009137078.1,UL4,nuclear protein UL4,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (nuclear protein UL4),Verified (Literature Ground Truth)
YP_009137079.1,UL5,helicase-primase helicase subunit,Early,None,Helicase-primase subunit replication timing,Crute et al. (1989) PNAS 86:2186-2189,2538836,10.1073/pnas.86.7.2186,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL5),Verified (Literature Ground Truth)
YP_009137080.1,UL6,capsid portal protein,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (capsid portal protein),Verified (Literature Ground Truth)
YP_009137081.1,UL7,tegument protein UL7,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein UL7),Verified (Literature Ground Truth)
YP_009137082.1,UL8,helicase-primase subunit,Early,None,Helicase-primase accessory factor,Crute et al. (1989) PNAS 86:2186-2189,2538836,10.1073/pnas.86.7.2186,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL8),Verified (Literature Ground Truth)
