protein_id,gene,true_class,disagreement_pattern,pred_physicochemical,pred_protbert,pred_combined_equal_block,protein_length,functional_category,primary_known_function,contextual_sequence_hypothesis,literature_reference
YP_009137074.1,RL2,Immediate-Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Immediate-Early,Late,Immediate-Early,775,transcriptional/regulatory,RING-finger ubiquitin E3 ligase ICP0; induces proteasomal degradation of host restriction factors including PML and Sp100 in ND10/PML nuclear bodies to promote viral transcription and reactivation from latency.,"Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Everett & Maul (1994) EMBO J 13:5062-5069; Boutell & Everett (2013) J Gen Virol 94:665-681
YP_009137075.1,UL1,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,224,envelope/glycoprotein,"Envelope glycoprotein L (gL); essential chaperone forming a functional heterodimer with glycoprotein H (gH), required for proper gH folding, cell-surface trafficking, and viral membrane fusion.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Hutchinson et al. (1992) J Virol 66:2240-2250; Roop et al. (1993) J Virol 67:2285-2297
YP_009137076.1,UL2,Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Late,Early,Late,334,nucleotide metabolism,Uracil-DNA glycosylase (UDG); excises premutagenic uracil residues from viral DNA during replication to preserve genomic fidelity.,"Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Mullaney et al. (1989) J Gen Virol 70:449-453; Caradonna & Cheng (1980) J Biol Chem 255:2293-2300
YP_009137077.1,UL3,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,224,host-interaction/regulatory,Nuclear phosphoprotein UL3; modulates viral gene expression and capsid maturation.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Baines et al. (1995) J Virol 69:825-833; Roizman et al. (2013) Fields Virology
YP_009137079.1,UL5,Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Early,Late,Early,882,DNA replication,Helicase subunit of the heterotrimeric helicase-primase complex (UL5/UL8/UL52); unwinds double-stranded viral DNA ahead of the replication fork with 5'-to-3' polarity driven by ATP hydrolysis.,"Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Crute et al. (1989) PNAS 86:2186-2189; Zhu & Weller (1992) J Virol 66:469-479
YP_009137080.1,UL6,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,676,DNA packaging,Capsid portal protein; forms a ring-shaped homododecameric portal structure at a single fivefold vertex of the icosahedral capsid through which viral dsDNA is packaged and injected.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Patel et al. (1996) J Virol 70:5206-5213; Newcomb et al. (2001) J Virol 75:10923-10932
YP_009137083.1,UL9,Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Early,Early,851,DNA replication,Origin-binding protein (OBP); ATP-dependent 3'-to-5' DNA helicase that specifically recognizes and binds the palindromic sequences within HSV-1 origins of replication (oriS and oriL) to initiate replication bubble opening.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Olivo et al. (1988) PNAS 85:5414-5418; Elias et al. (1986) PNAS 83:6322-6326
YP_009137092.1,UL18,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,318,capsid/structural,Capsid triplex subunit 2 (VP23); heterotrimerizes with two copies of UL38 (VP19C) to form the triplex structures (1:2 ratio) that link hexon and penton capsomers in the capsid shell.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Patel & MacLean (1995) Virology 206:1106-1112; Dai & Zhou (2018) Science 360:eaao7298
YP_009137093.1,UL19,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Early,Late,Early,1374,capsid/structural,"Major capsid protein (VP5, 149 kDa); primary structural building block forming 150 hexons and 11 pentons of the icosahedral capsid shell (960 copies per virion).","Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Costa et al. (1981) J Virol 38:483-496; Dai & Zhou (2018) Science 360:eaao7298
YP_009137094.1,UL20,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,222,nuclear egress,"Multi-pass transmembrane envelope protein UL20; forms an essential functional complex with glycoprotein K (UL53/gK), required for primary envelopement at the inner nuclear membrane and secondary envelopment.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Baines et al. (1991) J Virol 65:6414-6424; Ward et al. (1994) J Virol 68:7406-7414
