protein_id,gene,temporal_class,physicochemical_standardized_distance,protbert_knn_density_distance,pca_combined_pc1,pca_combined_pc2,is_physicochemical_outlier (top 10%),is_protbert_density_outlier (top 10%),supervised_accuracy_combined_model,supervised_consistency_category
YP_009137073.1,RL1,Late,7.919985754328775,1.1536186337471008,-1.613401078207487,-0.14027862842235297,True,False,0.0,Consistently_Misclassified
YP_009137074.1,RL2,Immediate-Early,4.912240292939605,1.308444118499756,-0.9598432686027604,0.25402588826145,False,True,1.0,Consistently_Correct
YP_009137075.1,UL1,Late,3.8424175096240436,0.681549608707428,0.020745411176770652,-0.02827741072898596,False,False,1.0,Consistently_Correct
YP_009137076.1,UL2,Early,3.5371438123342007,1.1306233167648316,-0.35624419801983226,0.343602004196629,False,False,0.4,Frequently_Misclassified
YP_009137077.1,UL3,Late,3.8413760394193215,0.7826599597930908,-0.24620698000990943,0.011583448380618871,False,False,1.0,Consistently_Correct
YP_009137078.1,UL4,Late,4.014290947969215,0.6220382213592529,0.20459578206225695,-0.0901202440604058,False,False,1.0,Consistently_Correct
YP_009137079.1,UL5,Early,4.628152002457397,0.6721838235855102,0.8739455525557555,-0.006292192352776297,False,False,1.0,Consistently_Correct
YP_009137080.1,UL6,Late,3.0001383620171285,0.49173192381858827,0.18747102031875948,-0.23399489004914265,False,False,1.0,Consistently_Correct
YP_009137081.1,UL7,Late,4.327681725085733,0.6046815991401673,0.47120751947937617,-0.2712158961802454,False,False,0.8,Consistently_Correct
YP_009137082.1,UL8,Early,4.727272179100914,0.663649070262909,0.31596787647658964,-0.6530301706881592,False,False,0.0,Consistently_Misclassified
YP_009137083.1,UL9,Early,3.07575935569377,1.0331111311912538,0.6158994219045014,0.3804217202884653,False,False,1.0,Consistently_Correct
YP_009137084.1,UL10,Late,5.05825303567611,0.8288858652114868,0.40236131126277225,-0.4287255077446225,False,False,1.0,Consistently_Correct
YP_009137085.1,UL11,Late,6.530682210972321,0.9128370642662048,-0.6133556866869693,0.16719738340014642,True,False,0.0,Consistently_Misclassified
YP_009137086.1,UL12,Early,2.457508005474084,1.0625261664390564,-0.08584918490062994,0.8013918937716059,False,False,1.0,Consistently_Correct
YP_009137087.1,UL13,Early,4.556859227211962,0.7993507504463195,0.3735392113001563,0.16937653308228307,False,False,0.0,Consistently_Misclassified
YP_009137088.1,UL14,Late,5.076984918903556,0.7041945338249207,-0.3713340667338703,-0.2691454557037826,False,False,0.4,Frequently_Misclassified
YP_009137089.1,UL15,Late,4.574379472817008,1.0480936408042907,0.8684406865460773,0.5614089099189612,False,False,0.0,Consistently_Misclassified
YP_009137090.1,UL16,Late,4.208309837950884,1.1733035087585448,-0.2902151713613621,-0.1746647009792029,False,True,1.0,Consistently_Correct
YP_009137091.1,UL17,Late,2.583760802005373,0.5129609823226928,-0.029741459708313482,-0.5042056313228769,False,False,1.0,Consistently_Correct
YP_009137092.1,UL18,Late,4.5349315537881125,0.6662452459335327,0.2702660259070744,-0.39623263376223733,False,False,1.0,Consistently_Correct
YP_009137093.1,UL19,Late,4.8512771947618,0.6338285088539124,0.7239508444659952,-0.49576215673606494,False,False,0.4,Frequently_Misclassified
YP_009137094.1,UL20,Late,6.399173711574443,0.76984144449234,0.7672466191075049,-0.3863265341421457,False,False,0.8,Consistently_Correct
YP_009137095.1,UL21,Late,3.0090328927434973,0.4913055717945099,0.21977714776070223,-0.3554175998246523,False,False,1.0,Consistently_Correct
YP_009137096.1,UL22,Late,3.0593248301435643,0.5378665506839753,0.3717696786113292,-0.4044635540863883,False,False,1.0,Consistently_Correct
YP_009137097.1,UL23,Early,3.7355730068058746,2.1799900770187377,0.28487148443082105,1.2362441097744301,False,True,0.8,Consistently_Correct
YP_009137098.1,UL24,Late,5.862452923196135,1.1025041103363038,-0.08697318604952001,0.709630217021341,False,False,0.0,Consistently_Misclassified
YP_009137099.1,UL25,Late,3.5239207615232577,0.45164409279823303,0.472154733270495,-0.4126921745973724,False,False,0.8,Consistently_Correct
