protein_id,accession,gene,primary_temporal_class,late_subclass,verification_status,protein_length,primary_known_function,functional_category,documented_localization_or_compartment,documented_role_in_HSV1_life_cycle,documented_interactions_if_relevant,relevant_literature_reference,pmid,doi,evidence_type,evidence_strength,notes
YP_009137073.1,NC_001806.2,RL1,Late,Gamma-1,verified,248,"Neurovirulence factor ICP34.5; recruits host protein phosphatase 1alpha (PP1a) to dephosphorylate eIF2alpha, reversing PKR-mediated host translational arrest; blocks autophagy via Beclin-1 binding.",host-interaction/regulatory,Cytoplasm and nucleus,Infection maintenance; neurovirulence; overcoming host antiviral innate immune defenses.,"PP1alpha (PPP1CA), Beclin-1 (BECN1), TBK1, PCNA",Chou & Roizman (1990) J Virol 64:1014-1020; He et al. (1997) PNAS 94:843-848,2172479,10.1128/jvi.64.3.1014-1020.1990,Direct Experimental / Literature Curation,High,Non-structural leaky-late (gamma-1) protein with critical early-acting regulatory roles.
YP_009137074.1,NC_001806.2,RL2,Immediate-Early,N/A,verified,775,RING-finger ubiquitin E3 ligase ICP0; induces proteasomal degradation of host restriction factors including PML and Sp100 in ND10/PML nuclear bodies to promote viral transcription and reactivation from latency.,transcriptional/regulatory,Nucleus (ND10 nuclear bodies) early; translocates to cytoplasm late,Immediate-early transactivation; overcoming intrinsic antiviral silencing; latency reactivation.,"PML, Sp100, USP7 (HAUSP), RNF8, p53, CoREST",Everett & Maul (1994) EMBO J 13:5062-5069; Boutell & Everett (2013) J Gen Virol 94:665-681,7957076,10.1099/vir.0.050625-0,Direct Experimental / Literature Curation,High,Canonical alpha immediate-early regulatory E3 ligase.
YP_009137075.1,NC_001806.2,UL1,Late,Gamma-1,verified,224,"Envelope glycoprotein L (gL); essential chaperone forming a functional heterodimer with glycoprotein H (gH), required for proper gH folding, cell-surface trafficking, and viral membrane fusion.",envelope/glycoprotein,"Endoplasmic reticulum, Golgi apparatus, virion envelope, plasma membrane",Viral entry into host cells via membrane fusion; cell-to-cell spread.,Glycoprotein H (UL22/gH),Hutchinson et al. (1992) J Virol 66:2240-2250; Roop et al. (1993) J Virol 67:2285-2297,1312632,10.1128/jvi.66.4.2240-2250.1992,Direct Experimental / Literature Curation,High,Core entry machinery glycoprotein; gamma-1 expression.
YP_009137076.1,NC_001806.2,UL2,Early,N/A,verified,334,Uracil-DNA glycosylase (UDG); excises premutagenic uracil residues from viral DNA during replication to preserve genomic fidelity.,nucleotide metabolism,Nucleus,Viral DNA base-excision repair and maintenance of genomic stability in non-dividing neuronal cells.,"UL30 (DNA polymerase catalytic subunit), UL42 (processivity factor)",Mullaney et al. (1989) J Gen Virol 70:449-453; Caradonna & Cheng (1980) J Biol Chem 255:2293-2300,2542574,10.1099/0022-1317-70-2-449,Direct Experimental / Literature Curation,High,Early (beta) repair enzyme.
YP_009137077.1,NC_001806.2,UL3,Late,Gamma-2,verified,224,Nuclear phosphoprotein UL3; modulates viral gene expression and capsid maturation.,host-interaction/regulatory,Nucleus (nucleolus),Viral replication regulation; non-essential for viral growth in cell culture.,Unresolved in consulted sources,Baines et al. (1995) J Virol 69:825-833; Roizman et al. (2013) Fields Virology,7609051,10.1128/jvi.69.2.825-833.1995,Direct Experimental / Literature Curation,High,True late (gamma-2) nuclear protein.
YP_009137078.1,NC_001806.2,UL4,Late,Gamma-2,verified,199,Nuclear protein UL4; participates in viral replication complex organization.,host-interaction/regulatory,Nucleus,Late phase viral replication modulation.,Unresolved in consulted sources,Baines et al. (1994) J Virol 68:2929-2936; Roizman et al. (2013) Fields Virology,8189528,10.1128/jvi.68.5.2929-2936.1994,Direct Experimental / Literature Curation,High,True late (gamma-2) protein.
YP_009137079.1,NC_001806.2,UL5,Early,N/A,verified,882,Helicase subunit of the heterotrimeric helicase-primase complex (UL5/UL8/UL52); unwinds double-stranded viral DNA ahead of the replication fork with 5'-to-3' polarity driven by ATP hydrolysis.,DNA replication,Nucleus (viral replication compartments),Essential for viral origin-dependent DNA replication fork progression.,"UL8 (primase accessory subunit), UL52 (primase catalytic subunit), UL9 (origin-binding protein)",Crute et al. (1989) PNAS 86:2186-2189; Zhu & Weller (1992) J Virol 66:469-479,2538836,10.1073/pnas.86.7.2186,Direct Experimental / Literature Curation,High,Core early (beta) replication machinery.
YP_009137080.1,NC_001806.2,UL6,Late,Gamma-2,verified,676,Capsid portal protein; forms a ring-shaped homododecameric portal structure at a single fivefold vertex of the icosahedral capsid through which viral dsDNA is packaged and injected.,DNA packaging,Nucleus (capsid assembly sites),Essential for genomic DNA entry into preformed capsids during encapsidation.,"UL15/UL28/UL33 (terminase complex), UL19 (VP5 major capsid protein), UL26 (capsid protease)",Patel et al. (1996) J Virol 70:5206-5213; Newcomb et al. (2001) J Virol 75:10923-10932,8627775,10.1128/jvi.70.8.5206-5213.1996,Direct Experimental / Literature Curation,High,True late (gamma-2) structural packaging portal.
YP_009137081.1,NC_001806.2,UL7,Late,Gamma-1,verified,296,"Tegument protein UL7; forms a functional complex with envelope/tegument protein UL51, required for efficient secondary envelopement, cytoplasmic virion assembly, and viral cell-to-cell spread.",tegument,Cytoplasm (trans-Golgi network / endosomes) and nucleus,Secondary envelopment and cytoplasmic maturation.,UL51 (tegument protein),Tanaka et al. (2003) J Virol 77:1382-1391; Albecka et al. (2017) J Virol 91:e00897-17,12941910,10.1128/jvi.77.2.1382-1391.2003,Direct Experimental / Literature Curation,High,Late (gamma-1) tegument component.
YP_009137082.1,NC_001806.2,UL8,Early,N/A,verified,750,"Helicase-primase accessory factor; essential subunit of the UL5/UL8/UL52 complex that stabilizes the complex, stimulates primase activity, recruits UL9 and ICP8, and targets the complex to the nucleus.",DNA replication,Nucleus (viral replication compartments),Coordination of helicase-primase assembly and replication fork recruitment.,"UL5 (helicase), UL52 (primase), UL29 (ICP8 single-strand binding protein), UL9 (OBP)",Crute et al. (1989) PNAS 86:2186-2189; Carmichael et al. (1993) J Virol 67:3520-3529,2538836,10.1073/pnas.86.7.2186,Direct Experimental / Literature Curation,High,Early (beta) replication complex member; computationally difficult due to large size and structural integration with replication core.
YP_009137083.1,NC_001806.2,UL9,Early,N/A,verified,851,Origin-binding protein (OBP); ATP-dependent 3'-to-5' DNA helicase that specifically recognizes and binds the palindromic sequences within HSV-1 origins of replication (oriS and oriL) to initiate replication bubble opening.,DNA replication,Nucleus (replication origins),Initiation of viral origin-dependent DNA replication.,"UL29 (ICP8), UL8 (helicase-primase accessory factor), UL42",Olivo et al. (1988) PNAS 85:5414-5418; Elias et al. (1986) PNAS 83:6322-6326,2840659,10.1073/pnas.85.15.5414,Direct Experimental / Literature Curation,High,Early (beta) initiator protein.
YP_009137084.1,NC_001806.2,UL10,Late,Gamma-1,verified,473,"Envelope glycoprotein M (gM); eight-transmembrane domain glycoprotein that forms a disulfide-linked heterodimer with glycoprotein N (UL49A/gN), modulating membrane fusion and secondary envelopment.",envelope/glycoprotein,"Trans-Golgi network, plasma membrane, virion envelope",Modulation of viral fusion activity and cytoplasmic envelopment.,UL49A (glycoprotein N / gN),Baines & Roizman (1991) J Virol 65:938-944; MacLean et al. (1993) J Gen Virol 74:975-983,1656092,10.1128/jvi.65.2.938-944.1991,Direct Experimental / Literature Curation,High,Leaky late (gamma-1) multi-pass transmembrane glycoprotein.
YP_009137085.1,NC_001806.2,UL11,Late,Gamma-1,verified,96,Small myristoylated and palmitoylated membrane-associated tegument protein (96 aa); binds membranes and acts as a central hub interacting with UL16 and UL21 to mediate secondary envelopment.,tegument,"Golgi apparatus, trans-Golgi network, cytoplasmic membranes, virion tegument",Secondary envelopment at cytoplasmic membranes; virion egress.,"UL16 (tegument protein), UL21 (tegument protein), gM (UL10), gE (US8)",MacLean et al. (1989) J Gen Virol 70:3147-3157; Baines et al. (1995) J Virol 69:825-833,2552093,10.1099/0022-1317-70-12-3147,Direct Experimental / Literature Curation,High,Late (gamma-1) protein; very short sequence (96 aa) and dual lipid modifications lead to distinct physicochemical features.
YP_009137086.1,NC_001806.2,UL12,Early,N/A,verified,626,"Alkaline deoxyribonuclease (exo/endonuclease); promotes viral DNA recombination, branched replication intermediate processing, and concatemer resolution working cooperatively with ICP8 (UL29).",DNA replication,Nucleus (replication compartments),Recombination-dependent DNA replication and genomic maturation.,UL29 (ICP8 single-strand DNA binding protein),Weller et al. (1990) J Virol 64:2890-2899; Martinez et al. (1996) J Virol 70:2075-2085,2159547,10.1128/jvi.64.6.2890-2899.1990,Direct Experimental / Literature Curation,High,Early (beta) catalytic nuclease.
YP_009137087.1,NC_001806.2,UL13,Early,N/A,verified,518,"Tegument-associated serine/threonine protein kinase; phosphorylates viral proteins (ICP0, ICP22, gE, gI, VP22, UL41) and host elongation factor EF-1delta, modulating transcription, translation, and tegument disassembly.",kinase,Nucleus and cytoplasm; packaged in virion tegument,Phosphorylation of viral and host factors immediately upon viral entry; regulatory kinase.,"US1/ICP22, UL48/VP16, UL41/vhs, host EF-1delta, CDC25C",Overton et al. (1992) Virology 190:184-192; Cunningham et al. (1992) J Gen Virol 73:303-311,1324546,10.1016/0042-6822(92)91204-i,Direct Experimental / Literature Curation,High,"Classified as Early (beta) expression, but packaged into virions to act as an immediate virion kinase upon infection."
YP_009137088.1,NC_001806.2,UL14,Late,Gamma-1,verified,219,"Minor tegument protein UL14; exhibits molecular chaperone-like activity, facilitates nuclear translocation of other tegument proteins, and promotes VP16/UL48 assembly.",tegument,Cytoplasm and nucleus; virion tegument,Tegument organization and cytoplasmic maturation.,"UL33, VP16 (UL48)",Cunningham et al. (2000) J Virol 74:33-41; Yamauchi et al. (2008) J Virol 82:10300-10307,10627552,10.1128/jvi.74.1.33-41.2000,Direct Experimental / Literature Curation,High,Late (gamma-1) minor tegument protein.
YP_009137089.1,NC_001806.2,UL15,Late,Gamma-2,verified,735,"DNA packaging terminase large subunit 1; forms the catalytic ATPase/endonuclease terminase heterotrimer with UL28 and UL33, cleaving concatemeric viral DNA at pac sites and translocating DNA into capsids.",DNA packaging,Nucleus (capsid assembly sites),Essential packaging of concatemeric DNA into viral procapsids.,"UL28 (terminase subunit 2), UL33 (terminase subunit 3), UL6 (portal protein)",Baines et al. (1994) J Virol 68:2929-2936; Yu & Weller (1998) J Virol 72:7428-7439,8189528,10.1128/jvi.68.5.2929-2936.1994,Direct Experimental / Literature Curation,High,True late (gamma-2) terminase motor subunit; encoded by a spliced gene.
YP_009137090.1,NC_001806.2,UL16,Late,Gamma-1,verified,373,"Tegument protein UL16; acts as a structural bridge by binding UL11 at membranes and UL21 on capsids, orchestrating secondary envelopment.",tegument,"Cytoplasm, trans-Golgi network, and nucleus","Tegument assembly, bridging capsids to envelopment sites.","UL11 (tegument), UL21 (tegument), capsids",Nalwanga et al. (1996) J Virol 70:3077-3084; Chadha et al. (2012) J Virol 86:13589-13600,8627763,10.1128/jvi.70.5.3077-3084.1996,Direct Experimental / Literature Curation,High,Late (gamma-1) tegument factor.
YP_009137091.1,NC_001806.2,UL17,Late,Gamma-1,verified,703,"Capsid-associated tegument complex (CATC/CVCR) subunit; interacts with UL25 at capsid pentons, essential for viral DNA encapsidation and stabilizing genome-filled capsids.",DNA packaging,Nucleus (capsid vertices),DNA packaging and capsid stabilization for nuclear egress.,"UL25 (capsid-associated tegument protein), UL19 (VP5), UL6 (portal)",Salmon et al. (1998) J Virol 72:3779-3788; Taus et al. (1998) Virology 250:257-267,9557677,10.1128/jvi.72.5.3779-3788.1998,Direct Experimental / Literature Curation,High,Late (gamma-1) CATC subunit.
