protein_id,gene,temporal_class,functional_category,ProtBERT_PC1,ProtBERT_PC2,ProtBERT_tSNE1,ProtBERT_tSNE2,ProtBERT_UMAP1,ProtBERT_UMAP2
YP_009137073.1,YP_009137073.1 RL1,Late,Neurovirulence/Host Defense,-1.3799379,-23.971272,-1.1316005,7.4455576,9.889416,8.486215
YP_009137074.1,YP_009137074.1 RL2,Immediate-Early,Regulatory/Transactivator,-10.920513,-19.809984,-0.7513689,7.926003,9.480305,8.653243
YP_009137075.1,YP_009137075.1 UL1,Late,Glycoprotein/Entry,4.860115,-1.3770066,6.54087,-2.870241,10.220877,4.697173
YP_009137076.1,YP_009137076.1 UL2,Early,DNA Replication/Repair,-9.488509,-0.96423,-4.4304843,-3.1892064,3.946253,9.967569
YP_009137077.1,YP_009137077.1 UL3,Late,Nuclear Egress,7.8628016,-6.124208,8.8090515,3.042434,9.946829,6.4127007
YP_009137078.1,YP_009137078.1 UL4,Late,Tegument,6.4602714,1.7327927,6.36156,-2.0726204,10.11022,5.045604
YP_009137079.1,YP_009137079.1 UL5,Early,DNA Replication/Replication Fork,4.109739,16.65479,-1.0147172,-3.1576455,11.934172,7.0581264
YP_009137080.1,YP_009137080.1 UL6,Late,Capsid Portal,8.332919,4.2734118,1.4294331,1.2676895,11.92683,7.308631
YP_009137081.1,YP_009137081.1 UL7,Late,Tegument,9.121829,9.067751,-0.8375587,-0.6526612,11.357323,6.817098
YP_009137082.1,YP_009137082.1 UL8,Early,DNA Replication/Replication Fork,11.508916,9.283407,-1.9868603,1.3118626,11.835266,8.111545
YP_009137083.1,YP_009137083.1 UL9,Early,DNA Replication/Origin Binding,-17.301939,14.069046,-5.224706,-6.757133,3.357562,10.416248
YP_009137084.1,YP_009137084.1 UL10,Late,Glycoprotein/Entry,6.215022,1.9630806,5.7316895,-7.1636653,11.115915,4.8916383
YP_009137085.1,YP_009137085.1 UL11,Late,Tegument/Secondary Envelopment,3.477396,-14.022054,8.106631,3.869829,9.823136,6.6771154
YP_009137086.1,YP_009137086.1 UL12,Early,DNA Recombination/Processing,-24.295952,0.9621549,-7.3596053,-6.384803,2.9652903,10.508816
YP_009137087.1,YP_009137087.1 UL13,Early,Protein Kinase,-0.54730666,7.314635,-2.9320536,-3.9276247,4.3242755,9.687291
YP_009137088.1,YP_009137088.1 UL14,Late,Tegument,8.88411,-5.2750573,8.711165,-0.7561404,9.378075,4.9739013
YP_009137089.1,YP_009137089.1 UL15,Late,DNA Packaging/Terminase,-12.898248,17.459818,-4.86665,-6.538447,3.382616,9.988659
YP_009137090.1,YP_009137090.1 UL16,Late,Tegument,5.526825,-16.800404,10.196981,3.3867366,9.545735,6.3867393
YP_009137091.1,YP_009137091.1 UL17,Late,Capsid Vertex/Packaging,11.9428005,2.4299622,-1.092601,2.8004112,11.713454,8.472112
YP_009137092.1,YP_009137092.1 UL18,Late,Capsid/Triplex,12.358715,9.640182,2.5446103,-2.4394286,12.326219,6.4204364
YP_009137093.1,YP_009137093.1 UL19,Late,Capsid/Major,16.893425,12.1315565,1.1865777,-2.0644844,12.47797,6.767384
YP_009137094.1,YP_009137094.1 UL20,Late,Envelope/Egress,5.7219014,7.4349933,4.1639247,-6.86567,11.372136,5.217725
YP_009137095.1,YP_009137095.1 UL21,Late,Tegument,10.690693,7.5983105,-0.1698143,2.045049,12.048763,8.055729
YP_009137096.1,YP_009137096.1 UL22,Late,Glycoprotein/Entry,10.121917,5.1498394,-2.2029514,2.6006758,12.16952,8.034518
YP_009137097.1,YP_009137097.1 UL23,Early,Nucleotide Metabolism,-45.42801,11.033809,-8.276979,-7.8378205,2.7566178,10.424373
YP_009137098.1,YP_009137098.1 UL24,Late,Pathogenicity/Egress,-17.22463,7.458277,-5.5708365,-4.966078,3.4589198,10.045508
YP_009137099.1,YP_009137099.1 UL25,Late,Capsid Vertex/Packaging,11.256136,8.980983,0.9744707,0.302586,12.278478,7.2212677
YP_009137100.1,YP_009137100.1 UL26,Late,Capsid Scaffolding/Protease,6.7129254,-9.209438,3.1856272,7.288436,9.793862,8.238109
YP_009137101.1,YP_009137101.1 UL26.5,Late,Capsid Scaffolding,3.5730958,-17.405838,2.9325016,7.6408486,9.69556,8.1354685
YP_009137102.1,YP_009137102.1 UL27,Late,Glycoprotein/Entry & Fusion,7.2204566,6.765461,2.1573577,0.22348113,12.446112,7.5672326
YP_009137103.1,YP_009137103.1 UL28,Late,DNA Packaging/Terminase,10.775379,6.273232,0.5060732,1.6914216,11.800136,7.7679653
YP_009137104.1,YP_009137104.1 UL29,Early,DNA Replication/SSB,11.680568,11.56915,1.0874246,-0.8694747,12.371411,6.9981804
YP_009137105.1,YP_009137105.1 UL30,Early,DNA Replication/Polymerase,-24.984037,16.251842,-6.169603,-7.5682297,3.0052257,10.1578865
YP_009137106.1,YP_009137106.1 UL31,Late,Nuclear Egress,8.789458,6.8726635,3.160013,-1.162766,11.942001,6.362129
YP_009137107.1,YP_009137107.1 UL32,Late,DNA Packaging,9.585607,3.8135293,-0.46421635,1.061151,11.342002,7.4646435
YP_009137108.1,YP_009137108.1 UL33,Late,DNA Packaging/Terminase,8.077342,3.208988,7.892937,-1.8099686,9.581327,4.9300265
YP_009137109.1,YP_009137109.1 UL34,Late,Nuclear Egress,8.113131,2.6644473,4.82219,-2.5092013,10.055829,4.5871334
YP_009137110.1,YP_009137110.1 UL35,Late,Capsid/Small Capsid,8.536328,-0.6128966,7.0589685,-0.6464971,9.899926,5.3450923
YP_009137111.1,YP_009137111.1 UL36,Late,Tegument/Large Tegument,7.146351,-4.6206555,3.6644053,2.189689,10.913808,8.1920595
YP_009137112.1,YP_009137112.1 UL37,Late,Tegument/Inner Tegument,12.648893,5.100862,2.9480026,1.7054963,11.530119,7.6766124
YP_009137113.1,YP_009137113.1 UL38,Late,Capsid/Triplex,9.669107,-0.22452149,5.547459,-1.3820134,10.140908,5.089144
