row_index,protein_id,gene,sequence_length,temporal_class
0,YP_009137073.1,RL1,248,Late
1,YP_009137074.1,RL2,775,Immediate-Early
2,YP_009137075.1,UL1,224,Late
3,YP_009137076.1,UL2,334,Early
4,YP_009137077.1,UL3,224,Late
5,YP_009137078.1,UL4,199,Late
6,YP_009137079.1,UL5,882,Early
7,YP_009137080.1,UL6,676,Late
8,YP_009137081.1,UL7,296,Late
9,YP_009137082.1,UL8,750,Early
10,YP_009137083.1,UL9,851,Early
11,YP_009137084.1,UL10,473,Late
12,YP_009137085.1,UL11,96,Late
13,YP_009137086.1,UL12,626,Early
14,YP_009137087.1,UL13,518,Early
15,YP_009137088.1,UL14,219,Late
16,YP_009137089.1,UL15,735,Late
17,YP_009137090.1,UL16,373,Late
18,YP_009137091.1,UL17,703,Late
19,YP_009137092.1,UL18,318,Late
20,YP_009137093.1,UL19,1374,Late
21,YP_009137094.1,UL20,222,Late
22,YP_009137095.1,UL21,535,Late
23,YP_009137096.1,UL22,838,Late
24,YP_009137097.1,UL23,376,Early
25,YP_009137098.1,UL24,269,Late
26,YP_009137099.1,UL25,580,Late
27,YP_009137100.1,UL26,635,Late
28,YP_009137101.1,UL26.5,329,Late
29,YP_009137102.1,UL27,904,Late
30,YP_009137103.1,UL28,785,Late
31,YP_009137104.1,UL29,1196,Early
32,YP_009137105.1,UL30,1235,Early
33,YP_009137106.1,UL31,306,Late
34,YP_009137107.1,UL32,596,Late
35,YP_009137108.1,UL33,130,Late
36,YP_009137109.1,UL34,275,Late
37,YP_009137110.1,UL35,112,Late
38,YP_009137111.1,UL36,3139,Late
39,YP_009137112.1,UL37,1123,Late
40,YP_009137113.1,UL38,465,Late
41,YP_009137114.1,UL39,1137,Early
42,YP_009137115.1,UL40,340,Early
43,YP_009137116.1,UL41,489,Late
44,YP_009137117.1,UL42,488,Early
45,YP_009137118.1,UL43,417,Late
46,YP_009137119.1,UL44,511,Late
47,YP_009137120.1,UL45,172,Late
48,YP_009137121.1,UL46,718,Late
49,YP_009137122.1,UL47,693,Late
50,YP_009137123.1,UL48,490,Late
51,YP_009137124.1,UL49,301,Late
52,YP_009137125.1,UL49A,91,Late
53,YP_009137126.1,UL50,371,Early
54,YP_009137127.1,UL51,244,Late
55,YP_009137128.1,UL52,1058,Early
56,YP_009137129.1,UL53,338,Late
57,YP_009137130.1,UL54,512,Immediate-Early
58,YP_009137131.1,UL55,186,Late
59,YP_009137132.1,UL56,234,Late
60,YP_009137135.1,RS1,1298,Immediate-Early
61,YP_009137136.1,US1,420,Immediate-Early
62,YP_009137137.1,US2,291,Late
63,YP_009137138.1,US3,481,Early
64,YP_009137139.1,US4,238,Late
65,YP_009137140.1,US5,92,Late
66,YP_009137141.1,US6,394,Late
67,YP_009137142.1,US7,390,Late
68,YP_009137143.1,US8,550,Late
69,YP_009137144.1,US8A,159,Late
70,YP_009137145.1,US9,90,Late
71,YP_009137146.1,US10,312,Late
72,YP_009137147.1,US11,161,Late
73,YP_009137148.1,US12,88,Immediate-Early
