protein_id,gene,true_class,late_subclass,verification_status,pred_physicochemical,accuracy_physicochemical,pred_protbert,accuracy_protbert,pred_combined_equal_block,accuracy_combined_equal_block,disagreement_pattern,all_representations_correct,all_representations_incorrect
YP_009137073.1,RL1,Late,Gamma-1,verified,Immediate-Early,0.0,Immediate-Early,0.0,Immediate-Early,0.0,ALL_AGREE,False,True
YP_009137074.1,RL2,Immediate-Early,,verified,Immediate-Early,1.0,Late,0.2,Immediate-Early,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137075.1,UL1,Late,Gamma-1,verified,Early,0.2,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137076.1,UL2,Early,,verified,Late,0.0,Early,1.0,Late,0.4,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137077.1,UL3,Late,Gamma-2,verified,Early,0.0,Late,0.8,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137078.1,UL4,Late,Gamma-2,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137079.1,UL5,Early,,verified,Early,0.6,Late,0.4,Early,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137080.1,UL6,Late,Gamma-2,verified,Early,0.0,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137081.1,UL7,Late,Gamma-1,verified,Late,0.6,Late,1.0,Late,0.8,ALL_AGREE,False,False
YP_009137082.1,UL8,Early,,verified,Late,0.0,Late,0.0,Late,0.0,ALL_AGREE,False,True
YP_009137083.1,UL9,Early,,verified,Late,0.0,Early,1.0,Early,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137084.1,UL10,Late,Gamma-1,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137085.1,UL11,Late,Gamma-1,verified,Immediate-Early,0.0,Immediate-Early,0.4,Immediate-Early,0.0,ALL_AGREE,False,False
YP_009137086.1,UL12,Early,,verified,Early,0.6,Early,1.0,Early,1.0,ALL_AGREE,False,False
YP_009137087.1,UL13,Early,,verified,Late,0.0,Late,0.2,Late,0.0,ALL_AGREE,False,False
YP_009137088.1,UL14,Late,Gamma-1,verified,Immediate-Early,0.2,Immediate-Early,0.2,Immediate-Early,0.4,ALL_AGREE,False,False
YP_009137089.1,UL15,Late,Gamma-2,verified,Early,0.0,Early,0.0,Early,0.0,ALL_AGREE,False,True
YP_009137090.1,UL16,Late,Gamma-1,verified,Late,0.8,Late,1.0,Late,1.0,ALL_AGREE,False,False
YP_009137091.1,UL17,Late,Gamma-1,verified,Late,1.0,Late,0.6,Late,1.0,ALL_AGREE,False,False
YP_009137092.1,UL18,Late,Gamma-2,verified,Early,0.4,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137093.1,UL19,Late,Gamma-2,verified,Early,0.2,Late,1.0,Early,0.4,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137094.1,UL20,Late,Gamma-2,verified,Early,0.2,Late,1.0,Late,0.8,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137095.1,UL21,Late,Gamma-1,verified,Late,0.8,Late,1.0,Late,1.0,ALL_AGREE,False,False
YP_009137096.1,UL22,Late,Gamma-1,verified,Early,0.4,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137097.1,UL23,Early,,verified,Late,0.0,Early,1.0,Early,0.8,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137098.1,UL24,Late,Gamma-2,verified,Late,0.8,Early,0.0,Early,0.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137099.1,UL25,Late,Gamma-1,verified,Early,0.0,Late,1.0,Late,0.8,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137100.1,UL26,Late,Gamma-2,verified,Late,1.0,Late,0.8,Late,1.0,ALL_AGREE,False,False
YP_009137101.1,UL26.5,Late,Gamma-2,verified,Late,1.0,Immediate-Early,0.2,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137102.1,UL27,Late,Gamma-1,verified,Early,0.0,Late,1.0,Early,0.2,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137103.1,UL28,Late,Gamma-2,verified,Late,1.0,Late,0.8,Late,1.0,ALL_AGREE,False,False
YP_009137104.1,UL29,Early,,verified,Early,1.0,Late,0.0,Early,0.6,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137105.1,UL30,Early,,verified,Early,1.0,Early,1.0,Early,1.0,ALL_AGREE,True,False
YP_009137106.1,UL31,Late,Gamma-2,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137107.1,UL32,Late,Gamma-2,verified,Late,0.8,Late,1.0,Late,0.6,ALL_AGREE,False,False
YP_009137108.1,UL33,Late,Gamma-2,verified,Late,1.0,Late,0.8,Late,1.0,ALL_AGREE,False,False
YP_009137109.1,UL34,Late,Gamma-2,verified,Late,0.6,Late,1.0,Late,1.0,ALL_AGREE,False,False
YP_009137110.1,UL35,Late,Gamma-2,verified,Early,0.4,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137111.1,UL36,Late,Gamma-1,verified,Early,0.0,Late,1.0,Early,0.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137112.1,UL37,Late,Gamma-1,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137113.1,UL38,Late,Gamma-2,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137114.1,UL39,Early,,verified,Early,1.0,Early,1.0,Early,1.0,ALL_AGREE,True,False
YP_009137115.1,UL40,Early,,verified,Early,0.8,Early,1.0,Early,1.0,ALL_AGREE,False,False
YP_009137116.1,UL41,Late,Gamma-1,verified,Early,0.2,Early,0.0,Early,0.0,ALL_AGREE,False,False
YP_009137117.1,UL42,Early,,verified,Late,0.0,Early,1.0,Early,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137118.1,UL43,Late,Gamma-2,verified,Late,0.8,Late,1.0,Late,1.0,ALL_AGREE,False,False
YP_009137119.1,UL44,Late,Conflicting,conflicting,Late,1.0,Early,0.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137120.1,UL45,Late,Gamma-2,verified,Late,0.6,Late,1.0,Late,1.0,ALL_AGREE,False,False
YP_009137121.1,UL46,Late,Gamma-1,verified,Late,0.8,Late,1.0,Late,1.0,ALL_AGREE,False,False
YP_009137122.1,UL47,Late,Gamma-1,verified,Late,1.0,Late,0.6,Late,1.0,ALL_AGREE,False,False
YP_009137123.1,UL48,Late,Gamma-1,verified,Late,0.8,Immediate-Early,0.4,Immediate-Early,0.2,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137124.1,UL49,Late,Gamma-1,verified,Late,0.8,Immediate-Early,0.0,Immediate-Early,0.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137125.1,UL49A,Late,Gamma-1,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137126.1,UL50,Early,,verified,Late,0.4,Early,1.0,Early,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137127.1,UL51,Late,Gamma-1,verified,Late,0.6,Late,1.0,Late,0.8,ALL_AGREE,False,False
YP_009137128.1,UL52,Early,,verified,Late,0.0,Late,0.0,Late,0.0,ALL_AGREE,False,True
YP_009137129.1,UL53,Late,Gamma-1,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137130.1,UL54,Immediate-Early,,verified,Immediate-Early,0.6,Immediate-Early,1.0,Immediate-Early,1.0,ALL_AGREE,False,False
YP_009137131.1,UL55,Late,Gamma-2,verified,Early,0.2,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137132.1,UL56,Late,Gamma-2,verified,Late,1.0,Late,0.6,Late,1.0,ALL_AGREE,False,False
YP_009137135.1,RS1,Immediate-Early,,verified,Immediate-Early,1.0,Immediate-Early,1.0,Immediate-Early,1.0,ALL_AGREE,True,False
YP_009137136.1,US1,Immediate-Early,,verified,Immediate-Early,1.0,Late,0.2,Immediate-Early,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
YP_009137137.1,US2,Late,Gamma-2,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137138.1,US3,Early,,verified,Early,0.8,Early,1.0,Early,0.6,ALL_AGREE,False,False
YP_009137139.1,US4,Late,Gamma-1,verified,Early,0.0,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137140.1,US5,Late,Gamma-1,verified,Late,0.8,Late,1.0,Late,1.0,ALL_AGREE,False,False
YP_009137141.1,US6,Late,Gamma-1,verified,Early,0.2,Late,1.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,False,False
YP_009137142.1,US7,Late,Gamma-1,verified,Late,1.0,Late,1.0,Late,1.0,ALL_AGREE,True,False
YP_009137143.1,US8,Late,Gamma-1,verified,Late,0.8,Early,0.0,Late,1.0,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,False,False
