protein_id,gene,temporal_class,supervised_accuracy,unsupervised_coclustering_cohesion,cross_phase_concordance_category
YP_009137073.1,RL1,Late,0.0,0.3055997331403119,D_Misclassified_and_Cluster_Ambiguous
YP_009137074.1,RL2,Immediate-Early,1.0,0.29232344531395354,B_Correct_but_Cluster_Ambiguous
YP_009137075.1,UL1,Late,1.0,0.5028443606178241,A_Correct_and_Clustered
YP_009137076.1,UL2,Early,0.4,0.3197265337886197,D_Misclassified_and_Cluster_Ambiguous
YP_009137077.1,UL3,Late,1.0,0.35800987657911554,B_Correct_but_Cluster_Ambiguous
YP_009137078.1,UL4,Late,1.0,0.5166794271276127,A_Correct_and_Clustered
YP_009137079.1,UL5,Early,1.0,0.4982420504914665,B_Correct_but_Cluster_Ambiguous
YP_009137080.1,UL6,Late,1.0,0.5101758041373655,A_Correct_and_Clustered
YP_009137081.1,UL7,Late,0.8,0.5125066310175476,A_Correct_and_Clustered
YP_009137082.1,UL8,Early,0.0,0.5037615992487314,C_Misclassified_but_Clustered
YP_009137083.1,UL9,Early,1.0,0.31910008053418865,B_Correct_but_Cluster_Ambiguous
YP_009137084.1,UL10,Late,1.0,0.5146855165819109,A_Correct_and_Clustered
YP_009137085.1,UL11,Late,0.0,0.30902254700887616,D_Misclassified_and_Cluster_Ambiguous
YP_009137086.1,UL12,Early,1.0,0.19266630095224457,B_Correct_but_Cluster_Ambiguous
YP_009137087.1,UL13,Early,0.0,0.4610215458783641,D_Misclassified_and_Cluster_Ambiguous
YP_009137088.1,UL14,Late,0.4,0.35805996353872965,D_Misclassified_and_Cluster_Ambiguous
YP_009137089.1,UL15,Late,0.0,0.3037057134952171,D_Misclassified_and_Cluster_Ambiguous
YP_009137090.1,UL16,Late,1.0,0.4561841924056947,B_Correct_but_Cluster_Ambiguous
YP_009137091.1,UL17,Late,1.0,0.5119003880604014,A_Correct_and_Clustered
YP_009137092.1,UL18,Late,1.0,0.5052097670608493,A_Correct_and_Clustered
YP_009137093.1,UL19,Late,0.4,0.5087609215209135,C_Misclassified_but_Clustered
YP_009137094.1,UL20,Late,0.8,0.5063302376845584,A_Correct_and_Clustered
YP_009137095.1,UL21,Late,1.0,0.5115950046077655,A_Correct_and_Clustered
YP_009137096.1,UL22,Late,1.0,0.5118932559330486,A_Correct_and_Clustered
YP_009137097.1,UL23,Early,0.8,0.18725855691202845,B_Correct_but_Cluster_Ambiguous
YP_009137098.1,UL24,Late,0.0,0.2339737144502867,D_Misclassified_and_Cluster_Ambiguous
YP_009137099.1,UL25,Late,0.8,0.508665605754732,A_Correct_and_Clustered
YP_009137100.1,UL26,Late,1.0,0.3639164030668556,B_Correct_but_Cluster_Ambiguous
YP_009137101.1,UL26.5,Late,1.0,0.3252075104683985,B_Correct_but_Cluster_Ambiguous
YP_009137102.1,UL27,Late,0.2,0.49885737022867793,D_Misclassified_and_Cluster_Ambiguous
YP_009137103.1,UL28,Late,1.0,0.5089665528295563,A_Correct_and_Clustered
YP_009137104.1,UL29,Early,0.6,0.5091925560722255,C_Misclassified_but_Clustered
YP_009137105.1,UL30,Early,1.0,0.30594401376204994,B_Correct_but_Cluster_Ambiguous
YP_009137106.1,UL31,Late,1.0,0.5149263379726399,A_Correct_and_Clustered
YP_009137107.1,UL32,Late,0.6,0.5153210488493799,C_Misclassified_but_Clustered
YP_009137108.1,UL33,Late,1.0,0.49812606226533535,B_Correct_but_Cluster_Ambiguous
YP_009137109.1,UL34,Late,1.0,0.4954691370275734,B_Correct_but_Cluster_Ambiguous
YP_009137110.1,UL35,Late,1.0,0.5027818298739375,A_Correct_and_Clustered
YP_009137111.1,UL36,Late,0.0,0.4790744119393403,D_Misclassified_and_Cluster_Ambiguous
YP_009137112.1,UL37,Late,1.0,0.5118645289683933,A_Correct_and_Clustered
YP_009137113.1,UL38,Late,1.0,0.5012365669499556,A_Correct_and_Clustered
YP_009137114.1,UL39,Early,1.0,0.3008577630475266,B_Correct_but_Cluster_Ambiguous
YP_009137115.1,UL40,Early,1.0,0.31184532980118684,B_Correct_but_Cluster_Ambiguous
YP_009137116.1,UL41,Late,0.0,0.31109441320493997,D_Misclassified_and_Cluster_Ambiguous
YP_009137117.1,UL42,Early,1.0,0.18512224047710538,B_Correct_but_Cluster_Ambiguous
YP_009137118.1,UL43,Late,1.0,0.48101156221617974,B_Correct_but_Cluster_Ambiguous
YP_009137119.1,UL44,Late,1.0,0.18285821278878905,B_Correct_but_Cluster_Ambiguous
YP_009137120.1,UL45,Late,1.0,0.48854389324228775,B_Correct_but_Cluster_Ambiguous
YP_009137121.1,UL46,Late,1.0,0.4790096808659508,B_Correct_but_Cluster_Ambiguous
YP_009137122.1,UL47,Late,1.0,0.4812070927975152,B_Correct_but_Cluster_Ambiguous
YP_009137123.1,UL48,Late,0.2,0.5059134917448467,C_Misclassified_but_Clustered
YP_009137124.1,UL49,Late,0.0,0.30190569967999603,D_Misclassified_and_Cluster_Ambiguous
YP_009137125.1,UL49A,Late,1.0,0.4471236050903153,B_Correct_but_Cluster_Ambiguous
YP_009137126.1,UL50,Early,1.0,0.49147204917565124,B_Correct_but_Cluster_Ambiguous
YP_009137127.1,UL51,Late,0.8,0.35439286852349894,B_Correct_but_Cluster_Ambiguous
YP_009137128.1,UL52,Early,0.0,0.5064559328608672,C_Misclassified_but_Clustered
YP_009137129.1,UL53,Late,1.0,0.5056759798872665,A_Correct_and_Clustered
YP_009137130.1,UL54,Immediate-Early,1.0,0.3080210392870281,B_Correct_but_Cluster_Ambiguous
YP_009137131.1,UL55,Late,1.0,0.4932002165629162,B_Correct_but_Cluster_Ambiguous
YP_009137132.1,UL56,Late,1.0,0.3004545074890926,B_Correct_but_Cluster_Ambiguous
YP_009137135.1,RS1,Immediate-Early,1.0,0.3229575179988841,B_Correct_but_Cluster_Ambiguous
YP_009137136.1,US1,Immediate-Early,1.0,0.30236493644764434,B_Correct_but_Cluster_Ambiguous
YP_009137137.1,US2,Late,1.0,0.49436706366939204,B_Correct_but_Cluster_Ambiguous
YP_009137138.1,US3,Early,0.6,0.4071067548963612,D_Misclassified_and_Cluster_Ambiguous
YP_009137139.1,US4,Late,1.0,0.1847705961379762,B_Correct_but_Cluster_Ambiguous
YP_009137140.1,US5,Late,1.0,0.4717937627080991,B_Correct_but_Cluster_Ambiguous
YP_009137141.1,US6,Late,1.0,0.19902829950183715,B_Correct_but_Cluster_Ambiguous
YP_009137142.1,US7,Late,1.0,0.1826465626141098,B_Correct_but_Cluster_Ambiguous
YP_009137143.1,US8,Late,1.0,0.18686181335600277,B_Correct_but_Cluster_Ambiguous
YP_009137144.1,US8A,Late,1.0,0.30705335188977523,B_Correct_but_Cluster_Ambiguous
YP_009137145.1,US9,Late,1.0,0.3234985999496463,B_Correct_but_Cluster_Ambiguous
YP_009137146.1,US10,Late,1.0,0.40258383087688615,B_Correct_but_Cluster_Ambiguous
