protein_id,gene,product,temporal_class,functional_category,length,mw_kda,isoelectric_point,instability_index,aromaticity,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y
YP_009137073.1,RL1,neurovirulence protein ICP34.5,Late,Neurovirulence/Host Defense,248,26.19534809999999,11.7960542678833,81.57862903225805,0.028225806451612902,17.338709677419356,0.8064516129032258,4.032258064516129,4.435483870967742,1.2096774193548387,7.258064516129032,2.4193548387096775,0.4032258064516129,0.0,6.048387096774194,0.4032258064516129,0.8064516129032258,20.161290322580644,1.2096774193548387,15.725806451612904,6.048387096774194,4.435483870967742,5.645161290322581,1.6129032258064515,0.0
YP_009137074.1,RL2,ubiquitin E3 ligase ICP0,Immediate-Early,Regulatory/Transactivator,775,78.4557141000006,6.951374626159668,58.35187096774227,0.02967741935483871,14.193548387096774,1.8064516129032258,5.032258064516129,4.645161290322581,1.1612903225806452,12.129032258064516,1.935483870967742,1.6774193548387097,1.032258064516129,4.645161290322581,1.4193548387096775,2.3225806451612905,13.290322580645162,2.5806451612903225,8.516129032258064,10.064516129032258,6.193548387096774,5.548387096774194,0.9032258064516129,0.9032258064516129
YP_009137075.1,UL1,envelope glycoprotein L,Late,Glycoprotein/Entry,224,24.933226,9.318018531799318,54.26875,0.08035714285714286,8.035714285714286,2.232142857142857,6.696428571428571,3.5714285714285716,2.6785714285714284,7.142857142857143,1.7857142857142858,4.464285714285714,3.125,9.821428571428571,0.44642857142857145,2.232142857142857,9.821428571428571,2.6785714285714284,10.267857142857142,5.357142857142857,7.142857142857143,7.142857142857143,1.7857142857142858,3.5714285714285716
YP_009137076.1,UL2,uracil-DNA glycosylase,Early,DNA Replication/Repair,334,36.46902460000005,9.83840732574463,62.01077844311376,0.06586826347305388,9.880239520958083,2.694610778443114,5.089820359281437,3.592814371257485,2.9940119760479043,7.18562874251497,2.9940119760479043,2.395209580838323,2.095808383233533,7.18562874251497,1.4970059880239521,2.9940119760479043,12.574850299401197,1.7964071856287425,10.778443113772456,8.083832335329342,5.9880239520958085,6.586826347305389,2.095808383233533,1.4970059880239521
YP_009137077.1,UL3,nuclear protein UL3,Late,Nuclear Egress,224,24.4473409,9.732098960876463,53.56696428571427,0.06696428571428571,9.375,1.7857142857142858,5.803571428571429,4.017857142857143,4.464285714285714,7.589285714285714,3.125,3.125,3.125,6.696428571428571,2.232142857142857,1.7857142857142858,8.035714285714286,2.6785714285714284,10.267857142857142,10.714285714285714,6.696428571428571,6.25,0.8928571428571429,1.3392857142857142
YP_009137078.1,UL4,nuclear protein UL4,Late,Tegument,199,21.517155699999993,5.704213523864747,40.45075376884421,0.08040201005025126,12.56281407035176,2.0100502512562812,4.522613065326633,5.527638190954774,2.512562814070352,7.5376884422110555,2.512562814070352,6.030150753768845,1.0050251256281406,8.040201005025125,1.5075376884422111,1.0050251256281406,7.5376884422110555,3.5175879396984926,7.035175879396985,7.035175879396985,8.040201005025125,6.532663316582915,1.5075376884422111,4.0201005025125625
YP_009137079.1,UL5,helicase-primase helicase subunit,Early,DNA Replication/Replication Fork,882,98.71428530000065,6.293974876403809,42.84174603174621,0.09977324263038548,9.523809523809524,1.2471655328798186,4.308390022675737,6.349206349206349,5.555555555555555,6.349206349206349,2.494331065759637,3.854875283446712,2.380952380952381,11.11111111111111,2.0408163265306123,3.854875283446712,4.648526077097506,4.535147392290249,7.369614512471656,6.122448979591836,6.575963718820861,7.2562358276643995,0.7936507936507936,3.6281179138321997
YP_009137080.1,UL6,capsid portal protein,Late,Capsid Portal,676,74.08864290000037,9.20042819976807,46.31671597633148,0.07248520710059171,11.094674556213018,1.331360946745562,6.21301775147929,5.029585798816568,3.2544378698224854,9.911242603550296,2.514792899408284,3.698224852071006,2.0710059171597632,9.467455621301776,0.7396449704142012,2.8106508875739644,5.325443786982248,3.9940828402366866,10.798816568047338,5.325443786982248,5.621301775147929,6.804733727810651,1.331360946745562,2.662721893491124
YP_009137081.1,UL7,tegument protein UL7,Late,Tegument,296,33.032651800000046,7.014352226257324,55.64935810810808,0.1081081081081081,11.14864864864865,4.054054054054054,4.72972972972973,4.72972972972973,5.743243243243243,4.054054054054054,2.364864864864865,1.6891891891891893,1.6891891891891893,11.486486486486486,2.027027027027027,2.364864864864865,7.4324324324324325,2.7027027027027026,7.77027027027027,8.108108108108109,5.0675675675675675,7.77027027027027,2.027027027027027,3.0405405405405403
YP_009137082.1,UL8,helicase-primase subunit,Early,DNA Replication/Replication Fork,750,79.92487820000048,5.88859920501709,43.24348000000015,0.08933333333333332,17.2,2.0,4.933333333333334,5.2,4.266666666666667,8.133333333333333,1.7333333333333334,2.1333333333333333,1.2,10.666666666666666,0.6666666666666666,1.3333333333333333,8.0,1.6,7.733333333333333,3.466666666666667,4.933333333333334,10.133333333333333,2.533333333333333,2.1333333333333333
YP_009137083.1,UL9,DNA replication origin-binding helicase,Early,DNA Replication/Origin Binding,851,94.2346104000006,8.233982658386232,42.34242068155127,0.0846063454759107,8.46063454759107,2.8202115158636896,5.052878965922444,4.465334900117509,4.582843713278496,7.285546415981199,2.8202115158636896,3.290246768507638,1.9976498237367804,12.103407755581669,2.8202115158636896,2.8202115158636896,5.640423031727379,2.8202115158636896,8.108108108108109,6.580493537015276,6.698002350176263,7.755581668625147,1.1750881316098707,2.7027027027027026
YP_009137084.1,UL10,envelope glycoprotein M,Late,Glycoprotein/Entry,473,51.3919172000001,8.99541873931885,37.33215644820297,0.09513742071881606,13.10782241014799,2.3255813953488373,4.439746300211416,2.3255813953488373,3.171247357293869,7.822410147991543,4.016913319238901,2.748414376321353,0.8456659619450317,10.782241014799155,2.1141649048625792,1.4799154334038056,5.496828752642706,2.1141649048625792,7.822410147991543,4.862579281183932,6.342494714587738,11.839323467230445,1.2684989429175475,5.07399577167019
YP_009137085.1,UL11,myristylated tegument protein,Late,Tegument/Secondary Envelopment,96,10.486516399999989,5.261665153503418,72.83343749999999,0.05208333333333334,5.208333333333333,4.166666666666667,8.333333333333334,6.25,4.166666666666667,8.333333333333334,3.125,2.0833333333333335,0.0,4.166666666666667,3.125,3.125,11.458333333333334,2.0833333333333335,10.416666666666666,9.375,6.25,7.291666666666667,0.0,1.0416666666666667
YP_009137086.1,UL12,deoxyribonuclease,Early,DNA Recombination/Processing,626,67.50745550000038,6.559242439270019,53.360894568690256,0.06389776357827476,11.501597444089457,1.597444089456869,6.389776357827476,4.63258785942492,3.194888178913738,7.0287539936102235,3.0351437699680512,3.0351437699680512,1.9169329073482428,8.78594249201278,1.4376996805111821,1.7571884984025559,11.980830670926517,2.236421725239617,8.466453674121405,8.30670926517572,5.7507987220447285,5.7507987220447285,1.597444089456869,1.597444089456869
YP_009137087.1,UL13,tegument serine/threonine protein kinase,Early,Protein Kinase,518,57.19612970000006,10.20432987213135,54.15926640926656,0.0694980694980695,9.652509652509652,1.9305019305019304,2.8957528957528957,3.474903474903475,3.667953667953668,6.177606177606178,4.44015444015444,3.667953667953668,2.8957528957528957,12.741312741312742,1.1583011583011582,4.2471042471042475,6.563706563706564,3.474903474903475,9.073359073359073,8.494208494208495,5.7915057915057915,6.370656370656371,0.5791505791505791,2.7027027027027026
YP_009137088.1,UL14,tegument protein UL14,Late,Tegument,219,23.93348749999997,5.828122520446779,47.846575342465734,0.0502283105022831,15.981735159817351,0.45662100456621,7.762557077625571,6.8493150684931505,1.82648401826484,5.936073059360731,3.1963470319634704,1.36986301369863,2.2831050228310503,9.58904109589041,2.73972602739726,0.91324200913242,9.132420091324201,3.65296803652968,10.045662100456621,5.47945205479452,6.392694063926941,3.1963470319634704,1.36986301369863,1.82648401826484
YP_009137089.1,UL15,DNA packaging terminase subunit 1,Late,DNA Packaging/Terminase,735,80.92156330000037,8.54852390289307,33.352938775510246,0.09523809523809523,10.884353741496598,1.3605442176870748,5.034013605442177,4.35374149659864,6.666666666666667,6.530612244897959,3.401360544217687,3.8095238095238093,3.2653061224489797,9.931972789115646,1.7687074829931972,3.2653061224489797,4.625850340136054,3.673469387755102,6.802721088435374,6.122448979591836,7.346938775510204,8.299319727891156,0.272108843537415,2.5850340136054424
YP_009137090.1,UL16,tegument protein UL16,Late,Tegument,373,40.442329200000074,8.055469703674316,53.08471849865948,0.06970509383378017,10.455764075067025,5.361930294906166,4.825737265415549,4.021447721179625,3.485254691689008,6.434316353887399,1.876675603217158,3.2171581769436997,1.0723860589812333,11.26005361930295,0.8042895442359249,1.876675603217158,11.796246648793566,2.1447721179624666,8.579088471849866,5.898123324396783,6.702412868632708,6.702412868632708,2.1447721179624666,1.3404825737265416
YP_009137091.1,UL17,DNA packaging tegument protein UL17,Late,Capsid Vertex/Packaging,703,74.6084183000004,8.945520210266114,52.844238975818094,0.06685633001422475,15.362731152204836,2.1337126600284493,4.551920341394026,4.125177809388336,2.987197724039829,9.388335704125177,2.7027027027027026,2.987197724039829,0.8534850640113798,10.241820768136558,1.1379800853485065,1.8492176386913228,8.250355618776672,2.987197724039829,9.246088193456615,5.832147937411095,3.6984352773826457,7.965860597439545,1.1379800853485065,2.5604551920341394
YP_009137092.1,UL18,capsid triplex subunit 2,Late,Capsid/Triplex,318,34.27032230000003,5.83767147064209,50.11698113207545,0.05031446540880503,10.062893081761006,1.2578616352201257,5.9748427672955975,3.459119496855346,2.5157232704402515,6.918238993710692,1.2578616352201257,4.716981132075472,0.0,15.09433962264151,1.5723270440251573,3.1446540880503147,8.49056603773585,3.459119496855346,8.49056603773585,5.345911949685535,5.9748427672955975,9.748427672955975,0.31446540880503143,2.20125786163522
YP_009137093.1,UL19,major capsid protein,Late,Capsid/Major,1374,149.06802969999987,6.0267747879028315,35.59943959243109,0.08005822416302766,13.755458515283843,1.819505094614265,5.676855895196507,4.366812227074236,4.294032023289665,7.27802037845706,3.3478893740902476,1.8922852983988354,1.3828238719068413,10.844250363901018,2.183406113537118,4.2212518195050945,6.914119359534206,3.8573508005822417,6.914119359534206,3.566229985443959,5.240174672489083,8.733624454148472,0.6550218340611353,3.056768558951965
YP_009137094.1,UL20,envelope protein UL20,Late,Envelope/Egress,222,24.230900599999988,5.566776847839355,35.46171171171171,0.13513513513513514,14.864864864864865,1.3513513513513513,4.504504504504505,3.6036036036036037,8.108108108108109,6.306306306306307,1.3513513513513513,3.1531531531531534,1.3513513513513513,12.612612612612613,3.1531531531531534,1.8018018018018018,6.306306306306307,1.3513513513513513,5.405405405405405,6.756756756756757,4.954954954954955,7.657657657657658,2.2522522522522523,3.1531531531531534
