protein_id,gene,temporal_class,representation,configuration,UMAP1,UMAP2
YP_009137073.1,RL1,Late,Physicochemical,primary_n10,3.26234,7.94124
YP_009137074.1,RL2,Immediate-Early,Physicochemical,primary_n10,4.131681,7.435957
YP_009137075.1,UL1,Late,Physicochemical,primary_n10,5.341791,5.582303
YP_009137076.1,UL2,Early,Physicochemical,primary_n10,4.625595,6.860698
YP_009137077.1,UL3,Late,Physicochemical,primary_n10,5.207015,7.063218
YP_009137078.1,UL4,Late,Physicochemical,primary_n10,5.972695,5.291852
YP_009137079.1,UL5,Early,Physicochemical,primary_n10,4.94274,3.627206
YP_009137080.1,UL6,Late,Physicochemical,primary_n10,3.336786,5.052985
YP_009137081.1,UL7,Late,Physicochemical,primary_n10,4.318576,4.854608
YP_009137082.1,UL8,Early,Physicochemical,primary_n10,2.952573,5.216155
YP_009137083.1,UL9,Early,Physicochemical,primary_n10,4.502874,4.231929
YP_009137084.1,UL10,Late,Physicochemical,primary_n10,2.32487,5.141109
YP_009137085.1,UL11,Late,Physicochemical,primary_n10,5.082518,7.544279
YP_009137086.1,UL12,Early,Physicochemical,primary_n10,4.598633,7.153583
YP_009137087.1,UL13,Early,Physicochemical,primary_n10,4.940317,4.91698
YP_009137088.1,UL14,Late,Physicochemical,primary_n10,4.437109,7.792229
YP_009137089.1,UL15,Late,Physicochemical,primary_n10,4.705785,3.803134
YP_009137090.1,UL16,Late,Physicochemical,primary_n10,4.390754,5.645092
YP_009137091.1,UL17,Late,Physicochemical,primary_n10,2.759293,5.609087
YP_009137092.1,UL18,Late,Physicochemical,primary_n10,2.550389,4.784128
YP_009137093.1,UL19,Late,Physicochemical,primary_n10,4.010711,3.596653
YP_009137094.1,UL20,Late,Physicochemical,primary_n10,4.08048,4.556758
YP_009137095.1,UL21,Late,Physicochemical,primary_n10,2.659854,4.99243
YP_009137096.1,UL22,Late,Physicochemical,primary_n10,2.961948,4.713967
YP_009137097.1,UL23,Early,Physicochemical,primary_n10,3.780522,5.70687
YP_009137098.1,UL24,Late,Physicochemical,primary_n10,5.557196,6.874224
YP_009137099.1,UL25,Late,Physicochemical,primary_n10,2.92287,4.156471
YP_009137100.1,UL26,Late,Physicochemical,primary_n10,3.833873,6.96522
YP_009137101.1,UL26.5,Late,Physicochemical,primary_n10,3.738949,6.742654
YP_009137102.1,UL27,Late,Physicochemical,primary_n10,4.750471,3.398179
YP_009137103.1,UL28,Late,Physicochemical,primary_n10,3.117128,4.268175
YP_009137104.1,UL29,Early,Physicochemical,primary_n10,4.411229,3.341997
