embedding_index,protein_id,gene,sequence_length,number_of_chunks,covered_residues,coverage_fraction
38,YP_009137111.1,UL36,3139,8,3139,1.0
20,YP_009137093.1,UL19,1374,4,1374,1.0
60,YP_009137135.1,RS1,1298,3,1298,1.0
32,YP_009137105.1,UL30,1235,3,1235,1.0
31,YP_009137104.1,UL29,1196,3,1196,1.0
41,YP_009137114.1,UL39,1137,3,1137,1.0
39,YP_009137112.1,UL37,1123,3,1123,1.0
55,YP_009137128.1,UL52,1058,3,1058,1.0
29,YP_009137102.1,UL27,904,3,904,1.0
6,YP_009137079.1,UL5,882,2,882,1.0
10,YP_009137083.1,UL9,851,2,851,1.0
23,YP_009137096.1,UL22,838,2,838,1.0
30,YP_009137103.1,UL28,785,2,785,1.0
1,YP_009137074.1,RL2,775,2,775,1.0
9,YP_009137082.1,UL8,750,2,750,1.0
16,YP_009137089.1,UL15,735,2,735,1.0
48,YP_009137121.1,UL46,718,2,718,1.0
18,YP_009137091.1,UL17,703,2,703,1.0
49,YP_009137122.1,UL47,693,2,693,1.0
7,YP_009137080.1,UL6,676,2,676,1.0
27,YP_009137100.1,UL26,635,2,635,1.0
13,YP_009137086.1,UL12,626,2,626,1.0
34,YP_009137107.1,UL32,596,2,596,1.0
26,YP_009137099.1,UL25,580,2,580,1.0
68,YP_009137143.1,US8,550,2,550,1.0
22,YP_009137095.1,UL21,535,2,535,1.0
14,YP_009137087.1,UL13,518,2,518,1.0
57,YP_009137130.1,UL54,512,2,512,1.0
46,YP_009137119.1,UL44,511,2,511,1.0
50,YP_009137123.1,UL48,490,1,490,1.0
43,YP_009137116.1,UL41,489,1,489,1.0
44,YP_009137117.1,UL42,488,1,488,1.0
63,YP_009137138.1,US3,481,1,481,1.0
11,YP_009137084.1,UL10,473,1,473,1.0
40,YP_009137113.1,UL38,465,1,465,1.0
61,YP_009137136.1,US1,420,1,420,1.0
45,YP_009137118.1,UL43,417,1,417,1.0
66,YP_009137141.1,US6,394,1,394,1.0
67,YP_009137142.1,US7,390,1,390,1.0
24,YP_009137097.1,UL23,376,1,376,1.0
17,YP_009137090.1,UL16,373,1,373,1.0
53,YP_009137126.1,UL50,371,1,371,1.0
42,YP_009137115.1,UL40,340,1,340,1.0
56,YP_009137129.1,UL53,338,1,338,1.0
3,YP_009137076.1,UL2,334,1,334,1.0
28,YP_009137101.1,UL26.5,329,1,329,1.0
19,YP_009137092.1,UL18,318,1,318,1.0
71,YP_009137146.1,US10,312,1,312,1.0
33,YP_009137106.1,UL31,306,1,306,1.0
51,YP_009137124.1,UL49,301,1,301,1.0
8,YP_009137081.1,UL7,296,1,296,1.0
62,YP_009137137.1,US2,291,1,291,1.0
36,YP_009137109.1,UL34,275,1,275,1.0
25,YP_009137098.1,UL24,269,1,269,1.0
0,YP_009137073.1,RL1,248,1,248,1.0
54,YP_009137127.1,UL51,244,1,244,1.0
64,YP_009137139.1,US4,238,1,238,1.0
59,YP_009137132.1,UL56,234,1,234,1.0
2,YP_009137075.1,UL1,224,1,224,1.0
4,YP_009137077.1,UL3,224,1,224,1.0
21,YP_009137094.1,UL20,222,1,222,1.0
15,YP_009137088.1,UL14,219,1,219,1.0
5,YP_009137078.1,UL4,199,1,199,1.0
58,YP_009137131.1,UL55,186,1,186,1.0
47,YP_009137120.1,UL45,172,1,172,1.0
72,YP_009137147.1,US11,161,1,161,1.0
69,YP_009137144.1,US8A,159,1,159,1.0
35,YP_009137108.1,UL33,130,1,130,1.0
37,YP_009137110.1,UL35,112,1,112,1.0
12,YP_009137085.1,UL11,96,1,96,1.0
65,YP_009137140.1,US5,92,1,92,1.0
52,YP_009137125.1,UL49A,91,1,91,1.0
70,YP_009137145.1,US9,90,1,90,1.0
73,YP_009137148.1,US12,88,1,88,1.0
