protein_id,gene,temporal_class,functional_category,tSNE_1,tSNE_2,UMAP_1,UMAP_2
YP_009137073.1,RL1,Late,Neurovirulence/Host Defense,-2.7614663,-9.6589775,6.5766306,6.7046423
YP_009137074.1,RL2,Immediate-Early,Regulatory/Transactivator,0.37543026,-8.277693,5.5890107,7.1633525
YP_009137075.1,UL1,Late,Glycoprotein/Entry,-2.855576,3.91752,5.132681,4.847543
YP_009137076.1,UL2,Early,DNA Replication/Repair,0.40051687,-5.0130067,6.1339874,6.2814517
YP_009137077.1,UL3,Late,Nuclear Egress,1.6191201,-4.9306235,5.9465265,6.371467
YP_009137078.1,UL4,Late,Tegument,-4.373845,6.4217124,4.535791,3.7688186
YP_009137079.1,UL5,Early,DNA Replication/Replication Fork,2.6241696,4.909286,2.5545542,4.891173
YP_009137080.1,UL6,Late,Capsid Portal,-2.229614,-1.6257095,4.120742,6.1773095
YP_009137081.1,UL7,Late,Tegument,-0.60565364,2.4995542,3.5480223,5.1597695
YP_009137082.1,UL8,Early,DNA Replication/Replication Fork,-1.4261392,-0.30581564,3.6641989,6.266499
YP_009137083.1,UL9,Early,DNA Replication/Origin Binding,1.1349051,3.7079318,3.188365,4.9410696
YP_009137084.1,UL10,Late,Glycoprotein/Entry,-8.708968,0.31364754,3.9988837,5.414801
YP_009137085.1,UL11,Late,Tegument/Secondary Envelopment,3.5399728,-7.459381,5.7735367,7.7713566
YP_009137086.1,UL12,Early,DNA Recombination/Processing,0.48543972,-6.043983,5.43195,6.9022994
YP_009137087.1,UL13,Early,Protein Kinase,-0.22234899,5.682608,3.6638794,4.5474443
YP_009137088.1,UL14,Late,Tegument,5.7358284,-3.407568,4.9922113,7.652098
YP_009137089.1,UL15,Late,DNA Packaging/Terminase,1.986764,5.3439837,2.7808073,4.7075405
YP_009137090.1,UL16,Late,Tegument,-0.070274696,-2.7339344,5.59487,5.199414
YP_009137091.1,UL17,Late,Capsid Vertex/Packaging,-2.810694,-3.1569111,4.5792685,6.3341365
YP_009137092.1,UL18,Late,Capsid/Triplex,-4.634977,-3.8443077,3.842512,5.9003024
YP_009137093.1,UL19,Late,Capsid/Major,3.557281,2.324952,2.3974767,5.6590967
YP_009137094.1,UL20,Late,Envelope/Egress,-1.356941,1.9164776,3.3097036,5.4480624
YP_009137095.1,UL21,Late,Tegument,-3.2783217,-2.6515672,4.1051865,6.0582757
YP_009137096.1,UL22,Late,Glycoprotein/Entry,-0.28617314,-0.009704379,3.5610282,5.9232187
