protein_id,gene,temporal_class,Physicochemical_PC1,Physicochemical_PC2,Physicochemical_PC3,Physicochemical_PC4,Physicochemical_PC5,Physicochemical_PC6,Physicochemical_PC7,Physicochemical_PC8,Physicochemical_PC9,Physicochemical_PC10,ProtBERT_PC1,ProtBERT_PC2,ProtBERT_PC3,ProtBERT_PC4,ProtBERT_PC5,ProtBERT_PC6,ProtBERT_PC7,ProtBERT_PC8,ProtBERT_PC9,ProtBERT_PC10,Combined_PC1,Combined_PC2,Combined_PC3,Combined_PC4,Combined_PC5,Combined_PC6,Combined_PC7,Combined_PC8,Combined_PC9,Combined_PC10
YP_009137073.1,RL1,Late,-6.877009,-0.548693,1.254665,-0.534396,-1.931359,-0.349172,-1.247311,0.691703,0.470611,1.156685,-0.060483,1.061042,-0.032473,0.527623,-0.081193,-0.150796,0.096113,0.121766,-0.280759,-0.122406,-0.699655,26.66858,15.35809,6.291962,2.202697,11.554485,-3.953584,-10.427684,8.887296,-3.52895
YP_009137074.1,RL2,Immediate-Early,-3.315289,1.301427,0.857568,0.841062,-0.239729,0.681883,0.946205,-1.58794,-0.651967,-0.379713,-0.676066,0.923279,0.138605,0.364091,0.065716,-0.113752,-0.127614,0.134289,-0.019332,0.08945,-8.087449,22.878849,15.997063,6.215186,3.890995,6.500412,-4.152249,-5.070744,-1.25156,9.233514
YP_009137075.1,UL1,Late,0.237929,-0.674101,-1.507021,-0.719306,-1.407508,0.759683,-0.251572,2.166871,0.311067,-0.259011,0.61903,-0.185754,0.170157,-0.238242,0.149407,0.168288,0.141206,-0.082253,-0.095587,0.117798,5.856098,0.437433,-7.153372,-7.270096,-3.88871,-4.25173,1.285349,0.638308,3.63731,3.34003
YP_009137076.1,UL2,Early,-1.684181,-1.158611,-1.235145,-0.762037,-1.460163,-0.106257,-0.357474,-0.129351,-0.588927,0.820841,-1.054061,-0.013922,-0.023406,0.400731,-0.036838,0.263771,0.146147,0.111127,-0.139963,0.009224,-8.763854,1.292844,9.457829,-13.481469,-4.991904,6.678625,1.150067,-5.814338,5.628886,8.754708
YP_009137077.1,UL3,Late,-0.908808,-0.121564,-2.375166,-0.03041,-0.364998,-0.234628,0.272684,0.177488,-0.286042,0.628203,0.823233,-0.14722,0.639704,0.046498,-0.195021,-0.061615,0.054229,0.295958,0.006825,0.059233,8.512872,6.502828,0.734102,2.967203,-18.328387,-0.778494,8.033781,-7.929578,-5.199734,-0.919384
YP_009137078.1,UL4,Late,1.070052,-0.085886,-0.633521,0.128689,0.495553,2.609127,-0.268578,0.377399,0.497645,-1.85546,0.697415,-0.173828,0.0015,-0.169424,-0.001126,0.153982,0.255218,-0.139643,0.05305,-0.084547,7.551844,-3.144869,-10.527243,-6.063965,-4.40694,-2.026943,-2.966334,4.569885,1.682523,2.492788
YP_009137079.1,UL5,Early,3.691805,1.639318,-0.848925,0.527065,0.030996,-0.804103,0.512637,-0.143477,0.832584,-0.442442,0.539816,-0.632214,0.003875,-0.044339,0.175353,-0.091199,0.016133,-0.070497,-0.072265,0.041012,4.511559,-15.046293,2.603579,0.515636,-3.115264,-1.1902,4.158458,4.339039,0.822033,4.344345
YP_009137080.1,UL6,Late,0.622226,0.799652,0.28231,0.679413,-0.392809,-0.208228,0.179691,1.780475,0.61221,0.29382,0.617807,-0.140153,-0.109671,0.041307,0.125116,-0.112852,0.094985,-0.068406,-0.074707,0.149991,7.590111,-5.070317,1.488263,2.51642,-0.96144,-1.227461,-2.284747,1.184739,3.346254,2.133095
YP_009137081.1,UL7,Late,1.772402,-1.014013,-0.827951,-2.698926,-0.031302,-0.086587,-0.072329,-0.750951,0.006863,0.038417,0.783542,-0.325785,0.125312,-0.031054,-0.144493,-0.294516,-0.016521,0.134853,-0.048602,-0.068306,9.401532,-8.90109,0.020971,10.606498,-7.16328,0.324157,6.243995,-3.959194,-0.009752,-3.222191
YP_009137082.1,UL8,Early,0.949118,-0.180384,3.19422,-2.158299,-0.614101,0.166649,-0.540569,0.981537,-0.938861,-0.987204,0.556954,0.199039,-0.444238,0.200924,-0.215996,-0.375438,-0.088036,-0.16923,-0.038514,-0.039666,10.778594,-8.32784,2.606495,15.453072,8.8623,9.803034,-3.962367,-0.001625,3.648832,0.411798
