protein_id,gene,temporal_class,sequence_length,molecular_weight,aromaticity,instability_index,isoelectric_point,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y
YP_009137073.1,RL1,Late,248.0,26195.34809999999,0.028225806451612902,81.57862903225805,11.7960542678833,0.17338709677419356,0.008064516129032258,0.04032258064516129,0.04435483870967742,0.012096774193548387,0.07258064516129033,0.024193548387096774,0.004032258064516129,0.0,0.06048387096774194,0.004032258064516129,0.008064516129032258,0.20161290322580644,0.012096774193548387,0.15725806451612903,0.06048387096774194,0.04435483870967742,0.056451612903225805,0.016129032258064516,0.0
YP_009137074.1,RL2,Immediate-Early,775.0,78455.71410000061,0.02967741935483871,58.35187096774227,6.951374626159668,0.14193548387096774,0.01806451612903226,0.05032258064516129,0.04645161290322581,0.011612903225806452,0.12129032258064516,0.01935483870967742,0.016774193548387096,0.01032258064516129,0.04645161290322581,0.014193548387096775,0.023225806451612905,0.1329032258064516,0.025806451612903226,0.08516129032258064,0.10064516129032258,0.06193548387096774,0.05548387096774193,0.00903225806451613,0.00903225806451613
YP_009137075.1,UL1,Late,224.0,24933.226000000002,0.08035714285714286,54.26875,9.318018531799318,0.08035714285714286,0.022321428571428572,0.06696428571428571,0.03571428571428571,0.026785714285714284,0.07142857142857142,0.017857142857142856,0.044642857142857144,0.03125,0.09821428571428571,0.004464285714285714,0.022321428571428572,0.09821428571428571,0.026785714285714284,0.10267857142857142,0.05357142857142857,0.07142857142857142,0.07142857142857142,0.017857142857142856,0.03571428571428571
YP_009137076.1,UL2,Early,334.0,36469.02460000005,0.06586826347305388,62.01077844311376,9.83840732574463,0.09880239520958084,0.02694610778443114,0.05089820359281437,0.03592814371257485,0.029940119760479042,0.0718562874251497,0.029940119760479042,0.023952095808383235,0.020958083832335328,0.0718562874251497,0.014970059880239521,0.029940119760479042,0.12574850299401197,0.017964071856287425,0.10778443113772455,0.08083832335329341,0.059880239520958084,0.0658682634730539,0.020958083832335328,0.014970059880239521
YP_009137077.1,UL3,Late,224.0,24447.3409,0.06696428571428571,53.56696428571427,9.732098960876463,0.09375,0.017857142857142856,0.05803571428571429,0.04017857142857143,0.044642857142857144,0.07589285714285714,0.03125,0.03125,0.03125,0.06696428571428571,0.022321428571428572,0.017857142857142856,0.08035714285714286,0.026785714285714284,0.10267857142857142,0.10714285714285714,0.06696428571428571,0.0625,0.008928571428571428,0.013392857142857142
YP_009137078.1,UL4,Late,199.0,21517.155699999992,0.08040201005025126,40.45075376884421,5.704213523864747,0.12562814070351758,0.020100502512562814,0.04522613065326633,0.05527638190954774,0.02512562814070352,0.07537688442211055,0.02512562814070352,0.06030150753768844,0.010050251256281407,0.08040201005025126,0.01507537688442211,0.010050251256281407,0.07537688442211055,0.035175879396984924,0.07035175879396985,0.07035175879396985,0.08040201005025126,0.06532663316582915,0.01507537688442211,0.04020100502512563
YP_009137079.1,UL5,Early,882.0,98714.28530000066,0.09977324263038548,42.84174603174621,6.293974876403809,0.09523809523809523,0.012471655328798186,0.04308390022675737,0.06349206349206349,0.05555555555555555,0.06349206349206349,0.024943310657596373,0.03854875283446712,0.023809523809523808,0.1111111111111111,0.02040816326530612,0.03854875283446712,0.046485260770975055,0.045351473922902494,0.07369614512471655,0.061224489795918366,0.06575963718820861,0.07256235827664399,0.007936507936507936,0.036281179138321996
YP_009137080.1,UL6,Late,676.0,74088.64290000037,0.07248520710059171,46.31671597633148,9.20042819976807,0.11094674556213018,0.013313609467455622,0.0621301775147929,0.05029585798816568,0.03254437869822485,0.09911242603550297,0.02514792899408284,0.03698224852071006,0.020710059171597635,0.09467455621301775,0.0073964497041420114,0.028106508875739646,0.05325443786982249,0.03994082840236687,0.10798816568047337,0.05325443786982249,0.05621301775147929,0.06804733727810651,0.013313609467455622,0.026627218934911243
YP_009137081.1,UL7,Late,296.0,33032.65180000004,0.1081081081081081,55.64935810810808,7.014352226257324,0.11148648648648649,0.04054054054054054,0.0472972972972973,0.0472972972972973,0.057432432432432436,0.04054054054054054,0.02364864864864865,0.016891891891891893,0.016891891891891893,0.11486486486486487,0.02027027027027027,0.02364864864864865,0.07432432432432433,0.02702702702702703,0.0777027027027027,0.08108108108108109,0.05067567567567568,0.0777027027027027,0.02027027027027027,0.030405405405405407
YP_009137082.1,UL8,Early,750.0,79924.87820000047,0.08933333333333332,43.24348000000015,5.88859920501709,0.172,0.02,0.04933333333333333,0.052,0.042666666666666665,0.08133333333333333,0.017333333333333333,0.021333333333333333,0.012,0.10666666666666667,0.006666666666666667,0.013333333333333334,0.08,0.016,0.07733333333333334,0.034666666666666665,0.04933333333333333,0.10133333333333333,0.025333333333333333,0.021333333333333333
