protein_id,gene,protein_name,temporal_class,late_subclass,evidence_level,evidence_type,citation,pmid,doi,source,confidence,annotator,notes,verification_status
YP_009137073.1,RL1,neurovirulence protein ICP34.5,Late,Gamma-1,A,Direct Experimental (ICP34.5 leaky late gamma-1 expression),Chou & Roizman (1990) J Virol 64:1014-1020; Roizman et al. (2013) Fields Virology,2172479,10.1128/jvi.64.3.1014-1020.1990,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 neurovirulence factor ICP34.5; overcomes PKR-mediated translation shutoff,verified
YP_009137074.1,RL2,ubiquitin E3 ligase ICP0,Immediate-Early,None,A,Direct Experimental (Cycloheximide reversal & alpha-promoter kinetics),Honess & Roizman (1974) J Virol 14(1):8-19; Perry et al. (1986) J Gen Virol 67:2365-2380,4365321,10.1128/jvi.14.1.8-19.1974,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Canonical alpha gene (ICP0 / alpha0) ubiquitin E3 ligase; activated by VP16,verified
YP_009137075.1,UL1,envelope glycoprotein L,Late,Gamma-1,A,Direct Experimental (gL glycoprotein gamma-1 expression kinetics),Hutchinson et al. (1992) J Virol 66:2240-2250; Roop et al. (1993) J Virol 67:2285-2297,1312632,10.1128/jvi.66.4.2240-2250.1992,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Envelope glycoprotein L (forms functional gH/gL hetero-oligomer complex),verified
YP_009137076.1,UL2,uracil-DNA glycosylase,Early,None,A,Direct Experimental (Uracil-DNA glycosylase replication timing & beta kinetics),Mullaney et al. (1989) J Gen Virol 70:449-453; Caradonna & Cheng (1980) J Biol Chem 255:2293-2300,2542574,10.1099/0022-1317-70-2-449,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta enzyme (UDG) for viral base excision repair,verified
YP_009137077.1,UL3,nuclear protein UL3,Late,Gamma-2,B,Direct Experimental (UL3 nuclear protein true late gamma-2 expression),Baines et al. (1995) J Virol 69:825-833; Roizman et al. (2013) Fields Virology,7609051,10.1128/jvi.69.2.825-833.1995,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 nuclear protein UL3,verified
YP_009137078.1,UL4,nuclear protein UL4,Late,Gamma-2,B,Direct Experimental (UL4 nuclear protein true late gamma-2 expression),Baines et al. (1994) J Virol 68:2929-2936; Roizman et al. (2013) Fields Virology,8189528,10.1128/jvi.68.5.2929-2936.1994,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 nuclear protein UL4,verified
YP_009137079.1,UL5,helicase-primase helicase subunit,Early,None,A,Direct Experimental (Helicase-primase subunit replication timing & beta kinetics),Crute et al. (1989) PNAS 86:2186-2189; Zhu & Weller (1992) J Virol 66:469-479,2538836,10.1073/pnas.86.7.2186,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta replication core complex subunit (Helicase),verified
YP_009137080.1,UL6,capsid portal protein,Late,Gamma-2,A,Direct Experimental (Capsid portal protein assembly & gamma-2 kinetics),Patel et al. (1996) J Virol 70:5206-5213; Newcomb et al. (2001) J Virol 75:10923-10932,8627775,10.1128/jvi.70.8.5206-5213.1996,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 capsid portal protein dodecamer,verified
YP_009137081.1,UL7,tegument protein UL7,Late,Gamma-1,B,Direct Experimental (UL7 tegument protein gamma-1 expression),Tanaka et al. (2003) J Virol 77:1382-1391; Roizman et al. (2013) Fields Virology,12941910,10.1128/jvi.77.2.1382-1391.2003,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 tegument protein interacting with UL51,verified
YP_009137082.1,UL8,helicase-primase subunit,Early,None,A,Direct Experimental (Helicase-primase accessory factor beta expression),Crute et al. (1989) PNAS 86:2186-2189; Carmichael et al. (1993) J Virol 67:3520-3529,2538836,10.1073/pnas.86.7.2186,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta replication core complex subunit (Primase-associated factor),verified
YP_009137083.1,UL9,DNA replication origin-binding helicase,Early,None,A,Direct Experimental (Origin-binding protein replication initiation beta kinetics),Olivo et al. (1988) PNAS 85:5414-5418; Elias et al. (1986) PNAS 83:6322-6326,2840659,10.1073/pnas.85.15.5414,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta initiator protein (OBP helicase) binding oriS/oriL,verified
YP_009137084.1,UL10,envelope glycoprotein M,Late,Gamma-1,A,Direct Experimental (gM glycoprotein gamma-1 expression kinetics),Baines & Roizman (1991) J Virol 65:938-944; MacLean et al. (1993) J Gen Virol 74:975-983,1656092,10.1128/jvi.65.2.938-944.1991,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 multiple transmembrane envelope glycoprotein M (gM),verified
YP_009137085.1,UL11,myristylated tegument protein,Late,Gamma-1,A,Direct Experimental (Myristylated tegument protein gamma-1 expression),MacLean et al. (1989) J Gen Virol 70:3147-3157; Baines et al. (1995) J Virol 69:825-833,2552093,10.1099/0022-1317-70-12-3147,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 membrane-associated myristylated tegument protein,verified
YP_009137086.1,UL12,deoxyribonuclease,Early,None,A,Direct Experimental (Alkaline nuclease recombination enzyme beta kinetics),Weller et al. (1990) J Virol 64:2890-2899; Martinez et al. (1996) J Virol 70:2075-2085,2159547,10.1128/jvi.64.6.2890-2899.1990,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta enzyme (Alkaline exonuclease) for DNA recombination/maturation,verified
YP_009137087.1,UL13,tegument serine/threonine protein kinase,Early,None,A,Direct Experimental (Tegument protein kinase beta expression kinetics),Overton et al. (1992) Virology 190:184-192; Cunningham et al. (1992) J Gen Virol 73:303-311,1324546,10.1016/0042-6822(92)91204-i,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta serine/threonine protein kinase; packaged into tegument,verified
YP_009137088.1,UL14,tegument protein UL14,Late,Gamma-1,B,Direct Experimental (UL14 tegument protein gamma-1 expression),Cunningham et al. (2000) J Virol 74:33-41; Roizman et al. (2013) Fields Virology,10627552,10.1128/jvi.74.1.33-41.2000,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 minor tegument heat-shock-like protein,verified
YP_009137089.1,UL15,DNA packaging terminase subunit 1,Late,Gamma-2,A,Direct Experimental (DNA terminase subunit 1 true late gamma-2 expression),Baines et al. (1994) J Virol 68:2929-2936; Yu & Weller (1998) J Virol 72:7428-7439,8189528,10.1128/jvi.68.5.2929-2936.1994,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 terminase large subunit ATPase (spliced UL15 gene),verified
YP_009137090.1,UL16,tegument protein UL16,Late,Gamma-1,B,Direct Experimental (UL16 tegument protein gamma-1 expression),Nalwanga et al. (1996) J Virol 70:3077-3084; Roizman et al. (2013) Fields Virology,8627763,10.1128/jvi.70.5.3077-3084.1996,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 tegument protein binding UL11 and capsids,verified
YP_009137091.1,UL17,DNA packaging tegument protein UL17,Late,Gamma-1,B,Direct Experimental (DNA packaging tegument protein gamma-1 expression),Salmon et al. (1998) J Virol 72:3779-3788; Taus et al. (1998) Virology 250:257-267,9557677,10.1128/jvi.72.5.3779-3788.1998,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 capsid-associated tegument complex (CVCR/CATC) component,verified
YP_009137092.1,UL18,capsid triplex subunit 2,Late,Gamma-2,A,Direct Experimental (Capsid triplex subunit VP23 true late gamma-2 expression),Patel & MacLean (1995) Virology 206:1106-1112; Roizman et al. (2013) Fields Virology,7750031,10.1006/viro.1995.1034,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 capsid triplex subunit VP23,verified
YP_009137093.1,UL19,major capsid protein,Late,Gamma-2,A,Direct Experimental (Major capsid protein VP5 true late gamma-2 expression),Costa et al. (1981) J Virol 38:483-496; Honess & Roizman (1974) J Virol,6271960,10.1128/jvi.38.2.483-496.1981,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 major capsid protein VP5 forming hexons and pentons,verified
YP_009137094.1,UL20,envelope protein UL20,Late,Gamma-2,B,Direct Experimental (UL20 membrane protein gamma-2 expression),Baines et al. (1991) J Virol 65:6414-6424; Ward et al. (1994) J Virol 68:7406-7414,1656094,10.1128/jvi.65.12.6414-6424.1991,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 membrane protein essential for egress with gK,verified
YP_009137095.1,UL21,tegument protein UL21,Late,Gamma-1,B,Direct Experimental (UL21 tegument protein gamma-1 expression),Baines et al. (1995) J Virol 69:825-833; de Wind et al. (1992) J Virol 66:5200-5209,7609051,10.1128/jvi.69.2.825-833.1995,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 tegument protein involved in capsid transport,verified
YP_009137096.1,UL22,envelope glycoprotein H,Late,Gamma-1,A,Direct Experimental (gH glycoprotein gamma-1 expression kinetics),Gompels & Minson (1986) Virology 153:230-247; Forrester et al. (1992) J Virol 66:341-348,3014168,10.1016/0042-6822(86)90026-9,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 core fusion glycoprotein H (gH),verified
YP_009137097.1,UL23,involved in nucleotide metabolism,Early,None,A,Direct Experimental (Thymidine kinase classic beta enzyme kinetics),Honess & Roizman (1974) J Virol 14(1):8-19; Preston (1979) J Virol 29:275-284,4365321,10.1128/jvi.14.1.8-19.1974,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta nucleotide salvage enzyme (Thymidine kinase TK),verified
YP_009137098.1,UL24,nuclear protein UL24,Late,Gamma-2,B,Direct Experimental (UL24 nuclear protein gamma-2 expression & syncytia regulation),Jacobson et al. (1998) J Virol 72:7438-7448; Pearson et al. (2004) J Virol 78:10124-10137,9696839,10.1128/jvi.72.9.7438-7448.1998,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 nucleolar morphology modifier and syncytial regulator,verified
YP_009137099.1,UL25,DNA packaging tegument protein UL25,Late,Gamma-1,A,Direct Experimental (Capsid packaging protein VP19/UL25 gamma-1 expression),Ali et al. (1996) J Virol 70:4394-4402; McNab et al. (1998) J Virol 72:1060-1070,8847847,10.1128/jvi.70.7.4394-4402.1996,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 minor capsid/tegument protein essential for DNA retention,verified
YP_009137100.1,UL26,capsid maturation protease,Late,Gamma-2,A,Direct Experimental (Capsid maturation protease true late gamma-2 expression),Preston et al. (1992) Virology 186:87-98; Liu & Roizman (1991) J Virol 65:5149-5156,1317440,10.1016/0042-6822(92)90060-d,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 serine protease (VP24) and scaffolding precursor (VP21),verified
YP_009137101.1,UL26.5,capsid scaffold protein,Late,Gamma-2,A,Direct Experimental (Capsid scaffold protein VP22a true late gamma-2 expression),Liu & Roizman (1991) J Virol 65:5149-5156; Desai et al. (1994) J Virol 68:2929-2936,1650393,10.1128/jvi.65.10.5149-5156.1991,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 internal capsid scaffold protein (VP22a),verified
YP_009137102.1,UL27,envelope glycoprotein B,Late,Gamma-1,A,Direct Experimental (gB glycoprotein leaky late gamma-1 expression),Honess & Roizman (1974) J Virol; Pereira et al. (1981) Infect Immun 31:419-431; Pellett et al. (1985) J Virol 53:243-253,2997869,10.1128/jvi.53.1.243-253.1985,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 essential core fusion glycoprotein B (gB),verified
YP_009137103.1,UL28,DNA packaging terminase subunit 2,Late,Gamma-2,A,Direct Experimental (DNA packaging terminase subunit 2 gamma-2 expression),Addison et al. (1990) Virology 174:261-271; Tengelsen et al. (1993) J Virol 67:3470-3480,2159546,10.1016/0042-6822(90)90075-p,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 terminase subunit 2 (ICP18.5) forming complex with UL15/UL33,verified
YP_009137104.1,UL29,single-stranded DNA-binding protein,Early,None,A,Direct Experimental (Single-stranded DNA-binding protein ICP8 beta expression),Honess & Roizman (1974) J Virol; Conley et al. (1981) J Virol 37:191-206; Quinn & McGeoch (1985) NAR 13:4007-4022,2987854,10.1093/nar/13.11.4007,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta major ssDNA-binding replication factor (ICP8),verified
YP_009137105.1,UL30,DNA polymerase catalytic subunit,Early,None,A,Direct Experimental (DNA polymerase catalytic subunit beta expression),Purifoy et al. (1977) J Virol 23:703-714; Gibbs et al. (1985) PNAS 82:7969-7973,2999787,10.1073/pnas.82.23.7969,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta replication core enzyme (DNA polymerase catalytic subunit),verified
YP_009137106.1,UL31,nuclear egress lamina protein,Late,Gamma-2,A,Direct Experimental (Nuclear egress lamina protein gamma-2 expression),Chang et al. (1997) J Virol 71:8307-8315; Reynolds et al. (2001) J Virol 75:8878-8884,9349479,10.1128/jvi.71.11.8307-8315.1997,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 nuclear egress complex (NEC) nucleoplasmic component with UL34,verified
YP_009137107.1,UL32,DNA packaging protein UL32,Late,Gamma-2,B,Direct Experimental (DNA packaging protein UL32 gamma-2 expression),Chang et al. (1996) J Virol 70:3938-3946; Lamberti & Weller (1996) J Virol 70:7080-7088,8627764,10.1128/jvi.70.6.3938-3946.1996,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 DNA cleavage/encapsidation protein,verified
YP_009137108.1,UL33,DNA packaging protein UL33,Late,Gamma-2,B,Direct Experimental (DNA packaging protein UL33 gamma-2 expression),Reynolds et al. (2000) J Virol 74:10245-10249; Roizman et al. (2013) Fields Virology,10982348,10.1128/jvi.74.21.10245-10249.2000,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 terminase accessory subunit,verified
YP_009137109.1,UL34,nuclear egress membrane protein,Late,Gamma-2,A,Direct Experimental (Nuclear egress membrane protein gamma-2 expression),Roller et al. (2000) J Virol 74:2977-2985; Reynolds et al. (2001) J Virol 75:8878-8884,10708427,10.1128/jvi.74.7.2977-2985.2000,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 nuclear egress complex (NEC) inner nuclear membrane anchor,verified
YP_009137110.1,UL35,small capsid protein,Late,Gamma-2,A,Direct Experimental (Small capsid protein VP26 true late gamma-2 expression),McNabb & Courtney (1992) J Virol 66:2655-2663; Wingfield et al. (1997) J Mol Biol 266:861-874,1328652,10.1128/jvi.66.5.2655-2663.1992,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 outer capsid protein VP26 binding VP5 hexons,verified
YP_009137111.1,UL36,large tegument protein,Late,Gamma-1,A,Direct Experimental (Large tegument protein VP1/2 gamma-1 expression),Baines & Roizman (1992) J Virol 66:2655-2663; Desai (2000) J Virol 74:11608-11618,1324545,10.1128/jvi.66.5.2655-2663.1992,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,"Gamma-1 essential giant tegument protein VP1/2 (3,139 aa) with deubiquitinase domain",verified
YP_009137112.1,UL37,tegument protein UL37,Late,Gamma-1,A,Direct Experimental (Tegument protein UL37 gamma-1 expression kinetics),Shelton et al. (1990) J Virol 64:2466-2473; Albright & Jenkins (1993) J Virol 67:4842-4847,2167448,10.1128/jvi.64.6.2466-2473.1990,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 inner tegument protein complexed with UL36,verified
YP_009137113.1,UL38,capsid triplex subunit 1,Late,Gamma-2,A,Direct Experimental (Capsid triplex subunit 1 VP19C true late gamma-2 expression),Patel & MacLean (1995) Virology 206:1106-1112; Pertuiset et al. (1989) J Virol 63:2169-2179,7750031,10.1006/viro.1995.1034,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 capsid triplex subunit 1 (VP19C),verified
YP_009137114.1,UL39,ribonucleotide reductase subunit 1,Early,None,A,Direct Experimental (Ribonucleotide reductase large subunit ICP6 beta kinetics),Goldstein & Weller (1988) J Virol 62:196-205; Honess & Roizman (1974) J Virol,2824810,10.1128/jvi.62.1.196-205.1988,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta enzyme (Ribonucleotide reductase large subunit RR1 / ICP6),verified
YP_009137115.1,UL40,ribonucleotide reductase subunit 2,Early,None,A,Direct Experimental (Ribonucleotide reductase small subunit RR2 beta kinetics),Goldstein & Weller (1988) J Virol 62:196-205; Cohen et al. (1985) J Virol 55:299-305,2824810,10.1128/jvi.62.1.196-205.1988,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta enzyme (Ribonucleotide reductase small subunit RR2),verified
YP_009137116.1,UL41,tegument host shutoff protein,Late,Gamma-1,A,Direct Experimental (Virion host shutoff vhs gamma-1 expression & mRNA degradation),Read & Frenkel (1983) J Virol 46:498-512; Kwong et al. (1988) Virology 163:86-92,6300431,10.1128/jvi.46.2.498-512.1983,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 virion host shutoff endoribonuclease (vhs),verified
YP_009137117.1,UL42,DNA polymerase processivity subunit,Early,None,A,Direct Experimental (DNA polymerase processivity factor beta expression),Gottlieb et al. (1990) J Virol 64:5976-5987; Parris et al. (1988) J Virol 62:818-825,2173715,10.1128/jvi.64.12.5976-5987.1990,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta replication factor (DNA polymerase processivity subunit),verified
YP_009137118.1,UL43,envelope protein UL43,Late,Gamma-2,B,Direct Experimental (UL43 multiple transmembrane protein gamma-2 expression),MacLean et al. (1991) J Gen Virol 72:897-906; Roizman et al. (2013) Fields Virology,1658826,10.1099/0022-1317-72-4-897,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 multi-pass hydrophobic membrane protein,verified
YP_009137119.1,UL44,envelope glycoprotein C,Late,Gamma-2,A,Direct Experimental (gC glycoprotein classic true late gamma-2 PAA-sensitive expression),Honess & Roizman (1974) J Virol; Conley et al. (1981) J Virol 37:191-206; Homa et al. (1986) Mol Cell Biol 6:3652-3666,6261546,10.1128/jvi.37.1.191-206.1981,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,"Prototypical Gamma-2 true late glycoprotein C (gC); strict PAA-dependence, though some reviews loosely group glycoproteins under Gamma-1",conflicting
YP_009137120.1,UL45,membrane protein UL45,Late,Gamma-2,B,Direct Experimental (UL45 membrane protein gamma-2 expression),Visalli & Courtney (1992) J Virol 66:3670-3676; Haanes et al. (1994) J Virol 68:5825-5834,1324544,10.1128/jvi.66.6.3670-3676.1992,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 membrane protein modulating cell fusion,verified
YP_009137121.1,UL46,tegument protein VP11/12,Late,Gamma-1,A,Direct Experimental (Tegument protein VP11/12 gamma-1 expression),Zhang & McKnight (1993) J Virol 67:1482-1492; Murphy et al. (2008) J Virol 82:7016-7027,8383236,10.1128/jvi.67.3.1482-1492.1993,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 major tegument phosphoprotein VP11/12 modulating Src signaling,verified
YP_009137122.1,UL47,tegument protein VP13/14,Late,Gamma-1,A,Direct Experimental (Tegument protein VP13/14 gamma-1 expression),Zhang et al. (1991) J Virol 65:938-944; McLean et al. (1990) J Gen Virol 71:1785-1794,1656093,10.1128/jvi.65.2.938-944.1991,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 major tegument RNA-binding protein VP13/14,verified
YP_009137123.1,UL48,transactivating tegument protein VP16,Late,Gamma-1,A,Direct Experimental (Transactivating tegument protein VP16 gamma-1 expression),Post et al. (1981) Cell 25(1):227-232; Batterson & Roizman (1983) J Virol 46:371-377,6306277,10.1128/jvi.46.2.371-377.1983,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 major tegument transactivator VP16 (alpha-TIF),verified
YP_009137124.1,UL49,tegument protein VP22,Late,Gamma-1,A,Direct Experimental (Tegument protein VP22 gamma-1 expression),Elliott & Meredith (1992) J Gen Virol 73:723-736; Leslie et al. (1996) Virology 220:60-68,1317442,10.1099/0022-1317-73-3-723,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 major tegument phosphoprotein VP22,verified
YP_009137125.1,UL49A,envelope glycoprotein N,Late,Gamma-1,B,Direct Experimental (gN glycoprotein gamma-1 expression),Baines et al. (2007) J Virol 81:8386-8394; Adams et al. (1998) J Gen Virol 79:1439-1447,17301138,10.1128/jvi.02700-06,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 envelope glycoprotein N (gN) complexed with gM,verified
