protein_id,gene,sequence_length,chunk_size,nominal_overlap,step,number_of_chunks,first_chunk_start,first_chunk_end,last_chunk_start,last_chunk_end,boundary_overlap,covered_residues,coverage_fraction,min_coverage_multiplicity,max_coverage_multiplicity,mean_coverage_multiplicity
YP_009137073.1,RL1,248,500,100,400,1,0,248,0,248,0,248,1.0,1,1,1.0
YP_009137074.1,RL2,775,500,100,400,2,0,500,275,775,225,775,1.0,1,2,1.2903
YP_009137075.1,UL1,224,500,100,400,1,0,224,0,224,0,224,1.0,1,1,1.0
YP_009137076.1,UL2,334,500,100,400,1,0,334,0,334,0,334,1.0,1,1,1.0
YP_009137077.1,UL3,224,500,100,400,1,0,224,0,224,0,224,1.0,1,1,1.0
YP_009137078.1,UL4,199,500,100,400,1,0,199,0,199,0,199,1.0,1,1,1.0
YP_009137079.1,UL5,882,500,100,400,2,0,500,382,882,118,882,1.0,1,2,1.1338
YP_009137080.1,UL6,676,500,100,400,2,0,500,176,676,324,676,1.0,1,2,1.4793
YP_009137081.1,UL7,296,500,100,400,1,0,296,0,296,0,296,1.0,1,1,1.0
YP_009137082.1,UL8,750,500,100,400,2,0,500,250,750,250,750,1.0,1,2,1.3333
YP_009137083.1,UL9,851,500,100,400,2,0,500,351,851,149,851,1.0,1,2,1.1751
YP_009137084.1,UL10,473,500,100,400,1,0,473,0,473,0,473,1.0,1,1,1.0
YP_009137085.1,UL11,96,500,100,400,1,0,96,0,96,0,96,1.0,1,1,1.0
YP_009137086.1,UL12,626,500,100,400,2,0,500,126,626,374,626,1.0,1,2,1.5974
YP_009137087.1,UL13,518,500,100,400,2,0,500,18,518,482,518,1.0,1,2,1.9305
YP_009137088.1,UL14,219,500,100,400,1,0,219,0,219,0,219,1.0,1,1,1.0
YP_009137089.1,UL15,735,500,100,400,2,0,500,235,735,265,735,1.0,1,2,1.3605
YP_009137090.1,UL16,373,500,100,400,1,0,373,0,373,0,373,1.0,1,1,1.0
YP_009137091.1,UL17,703,500,100,400,2,0,500,203,703,297,703,1.0,1,2,1.4225
YP_009137092.1,UL18,318,500,100,400,1,0,318,0,318,0,318,1.0,1,1,1.0
YP_009137093.1,UL19,1374,500,100,400,4,0,500,874,1374,426,1374,1.0,1,3,1.4556
YP_009137094.1,UL20,222,500,100,400,1,0,222,0,222,0,222,1.0,1,1,1.0
YP_009137095.1,UL21,535,500,100,400,2,0,500,35,535,465,535,1.0,1,2,1.8692
YP_009137096.1,UL22,838,500,100,400,2,0,500,338,838,162,838,1.0,1,2,1.1933
YP_009137097.1,UL23,376,500,100,400,1,0,376,0,376,0,376,1.0,1,1,1.0
YP_009137098.1,UL24,269,500,100,400,1,0,269,0,269,0,269,1.0,1,1,1.0
YP_009137099.1,UL25,580,500,100,400,2,0,500,80,580,420,580,1.0,1,2,1.7241
YP_009137100.1,UL26,635,500,100,400,2,0,500,135,635,365,635,1.0,1,2,1.5748
YP_009137101.1,UL26.5,329,500,100,400,1,0,329,0,329,0,329,1.0,1,1,1.0
YP_009137102.1,UL27,904,500,100,400,3,0,500,404,904,496,904,1.0,1,3,1.6593
YP_009137103.1,UL28,785,500,100,400,2,0,500,285,785,215,785,1.0,1,2,1.2739
YP_009137104.1,UL29,1196,500,100,400,3,0,500,696,1196,204,1196,1.0,1,2,1.2542
YP_009137105.1,UL30,1235,500,100,400,3,0,500,735,1235,165,1235,1.0,1,2,1.2146
YP_009137106.1,UL31,306,500,100,400,1,0,306,0,306,0,306,1.0,1,1,1.0
YP_009137107.1,UL32,596,500,100,400,2,0,500,96,596,404,596,1.0,1,2,1.6779
YP_009137108.1,UL33,130,500,100,400,1,0,130,0,130,0,130,1.0,1,1,1.0
YP_009137109.1,UL34,275,500,100,400,1,0,275,0,275,0,275,1.0,1,1,1.0
YP_009137110.1,UL35,112,500,100,400,1,0,112,0,112,0,112,1.0,1,1,1.0
YP_009137111.1,UL36,3139,500,100,400,8,0,500,2639,3139,261,3139,1.0,1,2,1.2743
YP_009137112.1,UL37,1123,500,100,400,3,0,500,623,1123,277,1123,1.0,1,2,1.3357
YP_009137113.1,UL38,465,500,100,400,1,0,465,0,465,0,465,1.0,1,1,1.0
YP_009137114.1,UL39,1137,500,100,400,3,0,500,637,1137,263,1137,1.0,1,2,1.3193
YP_009137115.1,UL40,340,500,100,400,1,0,340,0,340,0,340,1.0,1,1,1.0
YP_009137116.1,UL41,489,500,100,400,1,0,489,0,489,0,489,1.0,1,1,1.0
YP_009137117.1,UL42,488,500,100,400,1,0,488,0,488,0,488,1.0,1,1,1.0
YP_009137118.1,UL43,417,500,100,400,1,0,417,0,417,0,417,1.0,1,1,1.0
YP_009137119.1,UL44,511,500,100,400,2,0,500,11,511,489,511,1.0,1,2,1.9569
YP_009137120.1,UL45,172,500,100,400,1,0,172,0,172,0,172,1.0,1,1,1.0
YP_009137121.1,UL46,718,500,100,400,2,0,500,218,718,282,718,1.0,1,2,1.3928
YP_009137122.1,UL47,693,500,100,400,2,0,500,193,693,307,693,1.0,1,2,1.443
YP_009137123.1,UL48,490,500,100,400,1,0,490,0,490,0,490,1.0,1,1,1.0
YP_009137124.1,UL49,301,500,100,400,1,0,301,0,301,0,301,1.0,1,1,1.0
YP_009137125.1,UL49A,91,500,100,400,1,0,91,0,91,0,91,1.0,1,1,1.0
YP_009137126.1,UL50,371,500,100,400,1,0,371,0,371,0,371,1.0,1,1,1.0
YP_009137127.1,UL51,244,500,100,400,1,0,244,0,244,0,244,1.0,1,1,1.0
YP_009137128.1,UL52,1058,500,100,400,3,0,500,558,1058,342,1058,1.0,1,2,1.4178
YP_009137129.1,UL53,338,500,100,400,1,0,338,0,338,0,338,1.0,1,1,1.0
YP_009137130.1,UL54,512,500,100,400,2,0,500,12,512,488,512,1.0,1,2,1.9531
YP_009137131.1,UL55,186,500,100,400,1,0,186,0,186,0,186,1.0,1,1,1.0
YP_009137132.1,UL56,234,500,100,400,1,0,234,0,234,0,234,1.0,1,1,1.0
YP_009137135.1,RS1,1298,500,100,400,3,0,500,798,1298,102,1298,1.0,1,2,1.1556
YP_009137136.1,US1,420,500,100,400,1,0,420,0,420,0,420,1.0,1,1,1.0
YP_009137137.1,US2,291,500,100,400,1,0,291,0,291,0,291,1.0,1,1,1.0
YP_009137138.1,US3,481,500,100,400,1,0,481,0,481,0,481,1.0,1,1,1.0
YP_009137139.1,US4,238,500,100,400,1,0,238,0,238,0,238,1.0,1,1,1.0
YP_009137140.1,US5,92,500,100,400,1,0,92,0,92,0,92,1.0,1,1,1.0
YP_009137141.1,US6,394,500,100,400,1,0,394,0,394,0,394,1.0,1,1,1.0
YP_009137142.1,US7,390,500,100,400,1,0,390,0,390,0,390,1.0,1,1,1.0
YP_009137143.1,US8,550,500,100,400,2,0,500,50,550,450,550,1.0,1,2,1.8182
YP_009137144.1,US8A,159,500,100,400,1,0,159,0,159,0,159,1.0,1,1,1.0
YP_009137145.1,US9,90,500,100,400,1,0,90,0,90,0,90,1.0,1,1,1.0
YP_009137146.1,US10,312,500,100,400,1,0,312,0,312,0,312,1.0,1,1,1.0
YP_009137147.1,US11,161,500,100,400,1,0,161,0,161,0,161,1.0,1,1,1.0
YP_009137148.1,US12,88,500,100,400,1,0,88,0,88,0,88,1.0,1,1,1.0
