representation,method,protein_id,gene,temporal_class,coordinate_1,coordinate_2,extreme_observation
Physicochemical,PCA,YP_009137073.1,RL1,Late,-6.877,-0.5487,"Z-score exceeds 2.5 (PC1_z=-3.13, PC2_z=-0.30)"
Physicochemical,PCA,YP_009137111.1,UL36,Late,0.6002,5.8047,"Z-score exceeds 2.5 (PC1_z=0.27, PC2_z=3.19)"
Physicochemical,PCA,YP_009137140.1,US5,Late,-0.9938,-6.2991,"Z-score exceeds 2.5 (PC1_z=-0.45, PC2_z=-3.46)"
Physicochemical,PCA,YP_009137147.1,US11,Late,-7.1464,0.7437,"Z-score exceeds 2.5 (PC1_z=-3.25, PC2_z=0.41)"
ProtBERT,PCA,YP_009137073.1,RL1,Late,-0.0605,1.061,"Z-score exceeds 2.5 (PC1_z=-0.06, PC2_z=2.89)"
ProtBERT,PCA,YP_009137074.1,RL2,Immediate-Early,-0.6761,0.9233,"Z-score exceeds 2.5 (PC1_z=-0.62, PC2_z=2.51)"
ProtBERT,PCA,YP_009137097.1,UL23,Early,-3.996,-0.0562,"Z-score exceeds 2.5 (PC1_z=-3.69, PC2_z=-0.15)"
ProtBERT,PCA,YP_009137115.1,UL40,Early,-2.179,-0.9507,"Z-score exceeds 2.5 (PC1_z=-2.01, PC2_z=-2.59)"
ProtBERT,PCA,YP_009137119.1,UL44,Late,-2.7217,0.1056,"Z-score exceeds 2.5 (PC1_z=-2.51, PC2_z=0.29)"
ProtBERT,PCA,YP_009137139.1,US4,Late,-2.7711,0.4725,"Z-score exceeds 2.5 (PC1_z=-2.56, PC2_z=1.29)"
Combined,PCA,YP_009137073.1,RL1,Late,-0.6997,26.6686,"Z-score exceeds 2.5 (PC1_z=-0.05, PC2_z=2.55)"
Combined,PCA,YP_009137097.1,UL23,Early,-45.9629,-9.9368,"Z-score exceeds 2.5 (PC1_z=-3.15, PC2_z=-0.95)"
Combined,PCA,YP_009137119.1,UL44,Late,-37.3981,10.5008,"Z-score exceeds 2.5 (PC1_z=-2.56, PC2_z=1.00)"
Combined,PCA,YP_009137139.1,US4,Late,-43.5542,15.857,"Z-score exceeds 2.5 (PC1_z=-2.98, PC2_z=1.52)"
Combined,PCA,YP_009137142.1,US7,Late,-36.559,8.9019,"Z-score exceeds 2.5 (PC1_z=-2.50, PC2_z=0.85)"
Combined,PCA,YP_009137147.1,US11,Late,0.6759,30.9451,"Z-score exceeds 2.5 (PC1_z=0.05, PC2_z=2.96)"
